comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;2;256;5;1;0;9;0;0;10000000;0;3;1;.002032;NA;.049131;.094201;.094201;.103541;2446;2332
0.02;3;1;0;2;256;5;1;0;9;0;1000;10000000;0;3;1;.002408;NA;.063027;.084517;.084517;.094791;2449;3376
0.02;3;1;0;2;256;5;1;0;9;0;10000;10000000;0;3;1;.003004;NA;.062314;.085343;.085342;.097083;2453;3229
0.02;3;1;0;2;256;5;1;0;9;0;100000;10000000;0;3;1;.002108;NA;.065658;.088166;.088166;.097291;2446;3326
0.02;3;1;0;2;256;5;1;0;9;1000;0;10000000;0;3;1;.002129;NA;.057487;.086682;.086681;.096666;2448;3044
0.02;3;1;0;2;256;5;1;0;9;1000;1000;10000000;0;3;1;.002231;NA;.074266;.097715;.097715;.113541;2451;3396
0.02;3;1;0;2;256;5;1;0;9;1000;10000;10000000;0;3;1;.002107;NA;.071823;.086943;.086943;.104791;2458;3629
0.02;3;1;0;2;256;5;1;0;9;1000;100000;10000000;0;3;1;.002170;NA;.073076;.089353;.089352;.102500;2448;3629
0.02;3;1;0;2;256;5;1;0;9;10000;0;10000000;0;3;1;.002024;NA;.057421;.088473;.088472;.098750;2451;3042
0.02;3;1;0;2;256;5;1;0;9;10000;1000;10000000;0;3;1;.002177;NA;.076809;.087437;.087436;.102708;2454;3915
0.02;3;1;0;2;256;5;1;0;9;10000;10000;10000000;0;3;1;.002312;NA;.076854;.083958;.083957;.101458;2458;4064
0.02;3;1;0;2;256;5;1;0;9;10000;100000;10000000;0;3;1;.002164;NA;.075073;.088197;.088197;.101250;2452;3752
0.02;3;1;0;2;256;5;1;0;9;100000;0;10000000;0;3;1;.002073;NA;.056311;.088813;.088812;.097500;2445;2914
0.02;3;1;0;2;256;5;1;0;9;100000;1000;10000000;0;3;1;.002695;NA;.072410;.089200;.089200;.103125;2448;3664
0.02;3;1;0;2;256;5;1;0;9;100000;10000;10000000;0;3;1;.002246;NA;.073740;.085066;.085066;.121250;2452;3199
0.02;3;1;0;2;256;5;1;0;9;100000;100000;10000000;0;3;1;.002147;NA;.076572;.089692;.089692;.101875;2445;3779
0.02;3;1;0;2;256;5;1;0;10;0;0;10000000;0;3;1;.000773;NA;.024121;.056727;.056726;.067708;2140;1752
0.02;3;1;0;2;256;5;1;0;10;0;1000;10000000;0;3;1;.001849;NA;.032433;.054656;.054656;.068958;2144;2357
0.02;3;1;0;2;256;5;1;0;10;0;10000;10000000;0;3;1;.000884;NA;.031752;.055704;.055704;.068541;2147;2311
0.02;3;1;0;2;256;5;1;0;10;0;100000;10000000;0;3;1;.000914;NA;.031842;.057378;.057378;.070833;2141;2228
0.02;3;1;0;2;256;5;1;0;10;1000;0;10000000;0;3;1;.000896;NA;.030725;.055906;.055906;.067083;2148;2335
0.02;3;1;0;2;256;5;1;0;10;1000;1000;10000000;0;3;1;.001210;NA;.043493;.059272;.059271;.071458;2152;3207
0.02;3;1;0;2;256;5;1;0;10;1000;10000;10000000;0;3;1;.001063;NA;.043807;.060034;.060034;.073541;2153;3107
0.02;3;1;0;2;256;5;1;0;10;1000;100000;10000000;0;3;1;.000912;NA;.042866;.058018;.058017;.068958;2147;3261
0.01;3;1;0;2;256;5;1;0;10;10000;0;10000000;0;3;1;.000785;NA;.029657;.057645;.057644;.069166;2146;2178
0.02;3;1;0;2;256;5;1;0;10;10000;1000;10000000;0;3;1;.000904;NA;.043286;.057218;.057218;.079375;2150;2951
0.02;3;1;0;2;256;5;1;0;10;10000;10000;10000000;0;3;1;.000837;NA;.043656;.057637;.057637;.070833;2153;3302
0.02;3;1;0;2;256;5;1;0;10;10000;100000;10000000;0;3;1;.001012;NA;.042635;.058162;.058162;.070208;2147;3303
0.02;3;1;0;2;256;5;1;0;10;100000;0;10000000;0;3;1;.000727;NA;.029903;.060677;.060677;.072083;2141;2067
0.02;3;1;0;2;256;5;1;0;10;100000;1000;10000000;0;3;1;.001068;NA;.042429;.061041;.061041;.070833;2143;3089
0.02;3;1;0;2;256;5;1;0;10;100000;10000;10000000;0;3;1;.001838;NA;.040248;.056193;.056193;.069375;2150;3089
0.02;3;1;0;2;256;5;1;0;10;100000;100000;10000000;0;3;1;.000823;NA;.040808;.059531;.059531;.069166;2140;2999
0.02;3;1;0;2;256;5;1;0;11;0;0;10000000;0;3;1;.000431;NA;.021860;.061282;.061281;.067083;2446;1588
0.02;3;1;0;2;256;5;1;0;11;0;1000;10000000;0;3;1;.000563;NA;.031236;.056889;.056889;.066666;2457;2322
0.02;3;1;0;2;256;5;1;0;11;0;10000;10000000;0;3;1;.000607;NA;.031840;.057361;.057361;.066458;2457;2368
0.02;3;1;0;2;256;5;1;0;11;0;100000;10000000;0;3;1;.000636;NA;.030162;.057662;.057662;.066666;2447;2220
0.02;3;1;0;2;256;5;1;0;11;1000;0;10000000;0;3;1;.000530;NA;.028226;.059254;.059253;.071666;2452;1974
0.02;3;1;0;2;256;5;1;0;11;1000;1000;10000000;0;3;1;.000828;NA;.041454;.056256;.056255;.070833;2463;3043
0.02;3;1;0;2;256;5;1;0;11;1000;10000;10000000;0;3;1;.000695;NA;.040912;.055767;.055767;.069583;2462;3081
0.02;3;1;0;2;256;5;1;0;11;1000;100000;10000000;0;3;1;.000755;NA;.038068;.056262;.056262;.071666;2452;2699
0.02;3;1;0;2;256;5;1;0;11;10000;0;10000000;0;3;1;.000512;NA;.028311;.058892;.058891;.067500;2452;2108
0.02;3;1;0;2;256;5;1;0;11;10000;1000;10000000;0;3;1;.001756;NA;.040071;.058665;.058665;.074791;2467;2723
0.02;3;1;0;2;256;5;1;0;11;10000;10000;10000000;0;3;1;.001631;NA;.040231;.055545;.055545;.073125;2463;2815
0.02;3;1;0;2;256;5;1;0;11;10000;100000;10000000;0;3;1;.000717;NA;.038191;.057543;.057543;.073750;2453;2614
0.02;3;1;0;2;256;5;1;0;11;100000;0;10000000;0;3;1;.000452;NA;.024806;.060668;.060668;.078125;2445;1578
0.02;3;1;0;2;256;5;1;0;11;100000;1000;10000000;0;3;1;.000744;NA;.038434;.056609;.056609;.073125;2456;2640
0.02;3;1;0;2;256;5;1;0;11;100000;10000;10000000;0;3;1;.000868;NA;.038254;.057778;.057777;.074375;2456;2589
0.02;3;1;0;2;256;5;1;0;11;100000;100000;10000000;0;3;1;.000698;NA;.037550;.057377;.057377;.071875;2446;2610
0.02;3;1;0;2;256;5;1;0;12;0;0;10000000;0;3;1;.000833;NA;.023325;.054863;.054863;.068750;2140;1667
0.02;3;1;0;2;256;5;1;0;12;0;1000;10000000;0;3;1;.000776;NA;.032182;.053638;.053638;.068750;2144;2342
0.02;3;1;0;2;256;5;1;0;12;0;10000;10000000;0;3;1;.001620;NA;.029173;.051474;.051474;.071666;2147;2043
0.02;3;1;0;2;256;5;1;0;12;0;100000;10000000;0;3;1;.000863;NA;.032433;.054314;.054314;.072500;2141;2222
0.02;3;1;0;2;256;5;1;0;12;1000;0;10000000;0;3;1;.000717;NA;.028684;.053970;.053970;.072083;2146;2017
