comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.49;233;1;0;42;256;2;1;0;10;1000;1000;10000000;0;0;1;.001064;NA;.056407;.100963;.100963;.124285;1841;2060
1.49;234;1;0;42;256;2;1;0;10;1000;1000;10000000;0;0;10;.000973;NA;.065137;.103872;.103872;.128571;1841;2275
1.48;235;1;0;42;256;2;1;0;10;1000;1000;100000000;0;0;1;.000152;NA;.011946;.019328;.019328;10.000000;18389;50
