comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.01;3;1;0;1;512;2;1;0;2;0;0;1000000;0;2;0;NA;.010231;.012160;.012160;.013333;247;1392
0.02;3;1;0;1;512;2;1;0;2;0;50;1000000;0;2;.000193;NA;.020847;.011972;.011972;.013888;255;2748
0.02;3;1;0;1;512;2;1;0;2;0;100;1000000;0;2;.000164;NA;.019036;.011215;.011215;.012777;250;2782
0.02;3;1;0;1;512;2;1;0;2;0;200;1000000;0;2;.000179;NA;.016599;.010453;.010453;.012222;249;2551
0.02;3;1;0;1;512;2;1;0;2;0;1000;1000000;0;2;.000181;NA;.014037;.009349;.009349;.011111;248;2376
0.02;3;1;0;1;512;2;1;0;2;50;0;1000000;0;2;.000175;NA;.015874;.012146;.012146;.015000;253;1982
0.01;3;1;0;1;512;2;1;0;2;50;50;1000000;0;2;.000334;NA;.024256;.012323;.012322;.015000;259;3056
0.02;3;1;0;1;512;2;1;0;2;50;100;1000000;0;2;.000334;NA;.021436;.011178;.011178;.013333;256;3019
0.02;3;1;0;1;512;2;1;0;2;50;200;1000000;0;2;.000330;NA;.019735;.010246;.010246;.012777;255;2963
0.02;3;1;0;1;512;2;1;0;2;50;1000;1000000;0;2;.000347;NA;.018607;.009568;.009568;.012222;253;2960
0.02;3;1;0;1;512;2;1;0;2;100;0;1000000;0;2;.000161;NA;.014158;.011576;.011576;.015000;250;1780
0.02;3;1;0;1;512;2;1;0;2;100;50;1000000;0;2;.000335;NA;.022956;.011860;.011860;.014444;256;3041
0.02;3;1;0;1;512;2;1;0;2;100;100;1000000;0;2;.000335;NA;.020380;.010832;.010832;.013333;253;2951
0.02;3;1;0;1;512;2;1;0;2;100;200;1000000;0;2;.000344;NA;.018330;.010050;.010049;.012777;252;2811
0.02;3;1;0;1;512;2;1;0;2;100;1000;1000000;0;2;.000334;NA;.017721;.009225;.009225;.011666;251;2922
0.02;3;1;0;1;512;2;1;0;2;200;0;1000000;0;2;.000176;NA;.012410;.011388;.011388;.013333;249;1716
0.02;3;1;0;1;512;2;1;0;2;200;50;1000000;0;2;.000350;NA;.022373;.011702;.011702;.014444;255;3015
0.02;3;1;0;1;512;2;1;0;2;200;100;1000000;0;2;.000329;NA;.020081;.010826;.010826;.013333;253;2898
0.02;3;1;0;1;512;2;1;0;2;200;200;1000000;0;2;.000322;NA;.017794;.009884;.009884;.012222;250;2797
0.02;3;1;0;1;512;2;1;0;2;200;1000;1000000;0;2;.000324;NA;.016189;.009062;.009062;.011666;249;2720
0.01;3;1;0;1;512;2;1;0;2;1000;0;1000000;0;2;.000162;NA;.011883;.011164;.011164;.013333;248;1676
0.02;3;1;0;1;512;2;1;0;2;1000;50;1000000;0;2;.000324;NA;.021736;.011469;.011468;.013888;253;2969
0.02;3;1;0;1;512;2;1;0;2;1000;100;1000000;0;2;.000322;NA;.019366;.010610;.010610;.013333;251;2866
0.02;3;1;0;1;512;2;1;0;2;1000;200;1000000;0;2;.000290;NA;.017043;.009590;.009590;.012222;251;2738
0.02;3;1;0;1;512;2;1;0;2;1000;1000;1000000;0;2;.000273;NA;.015155;.008716;.008716;.011111;248;2677
0.02;3;1;0;1;512;2;1;0;3;0;0;1000000;0;2;.000074;NA;.008903;.013841;.013841;.016111;312;1002
0.02;3;1;0;1;512;2;1;0;3;0;50;1000000;0;2;.000150;NA;.020168;.016284;.016284;.018333;314;2002
0.02;3;1;0;1;512;2;1;0;3;0;100;1000000;0;2;.000118;NA;.016377;.014418;.014418;.017222;311;1782
0.01;3;1;0;1;512;2;1;0;3;0;200;1000000;0;2;.000107;NA;.013454;.012354;.012354;.015000;310;1683
0.02;3;1;0;1;512;2;1;0;3;0;1000;1000000;0;2;.000112;NA;.010717;.011114;.011114;.013333;309;1495
0.02;3;1;0;1;512;2;1;0;3;50;0;1000000;0;2;.000128;NA;.014292;.016682;.016682;.020000;320;1341
0.02;3;1;0;1;512;2;1;0;3;50;50;1000000;0;2;.000181;NA;.023973;.012421;.012421;.015000;325;3040
0.02;3;1;0;1;512;2;1;0;3;50;100;1000000;0;2;.000156;NA;.020914;.011324;.011324;.013888;322;2867
0.02;3;1;0;1;512;2;1;0;3;50;200;1000000;0;2;.000167;NA;.017919;.010195;.010195;.012222;321;2701
0.02;3;1;0;1;512;2;1;0;3;50;1000;1000000;0;2;.000135;NA;.016467;.010185;.010185;.012222;320;2507
0.02;3;1;0;1;512;2;1;0;3;100;0;1000000;0;2;.000119;NA;.013709;.015874;.015874;.020000;314;1258
0.02;3;1;0;1;512;2;1;0;3;100;50;1000000;0;2;.000164;NA;.022813;.012103;.012103;.014444;321;2971
0.02;3;1;0;1;512;2;1;0;3;100;100;1000000;0;2;.000131;NA;.019810;.010799;.010799;.012777;319;2861
0.02;3;1;0;1;512;2;1;0;3;100;200;1000000;0;2;.000141;NA;.017589;.009881;.009881;.012222;315;2733
0.02;3;1;0;1;512;2;1;0;3;100;1000;1000000;0;2;.000123;NA;.015544;.009242;.009241;.011666;314;2496
0.02;3;1;0;1;512;2;1;0;3;200;0;1000000;0;2;.000098;NA;.011779;.013934;.013934;.016666;311;1319
0.02;3;1;0;1;512;2;1;0;3;200;50;1000000;0;2;.000164;NA;.022667;.012115;.012115;.014444;317;2911
0.01;3;1;0;1;512;2;1;0;3;200;100;1000000;0;2;.000132;NA;.019448;.010877;.010877;.013333;314;2762
0.02;3;1;0;1;512;2;1;0;3;200;200;1000000;0;2;.000130;NA;.016826;.009778;.009778;.012222;314;2622
0.02;3;1;0;1;512;2;1;0;3;200;1000;1000000;0;2;.000117;NA;.014967;.008746;.008746;.010555;312;2606
0.02;3;1;0;1;512;2;1;0;3;1000;0;1000000;0;2;.000096;NA;.010671;.012859;.012859;.015555;309;1267
0.02;3;1;0;1;512;2;1;0;3;1000;50;1000000;0;2;.000146;NA;.021454;.011614;.011614;.013888;316;2905
0.02;3;1;0;1;512;2;1;0;3;1000;100;1000000;0;2;.000127;NA;.019040;.010662;.010662;.012777;312;2783
0.02;3;1;0;1;512;2;1;0;3;1000;200;1000000;0;2;.000124;NA;.016373;.009589;.009589;.011666;311;2650
0.02;3;1;0;1;512;2;1;0;3;1000;1000;1000000;0;2;.000106;NA;.014064;.008600;.008600;.010555;309;2521
0.02;3;1;0;1;512;2;1;0;5;0;0;1000000;0;2;.000082;NA;.008780;.013802;.013802;.016111;248;992
0.02;3;1;0;1;512;2;1;0;5;0;50;1000000;0;2;.000146;NA;.019822;.016066;.016066;.018888;253;1944
0.01;3;1;0;1;512;2;1;0;5;0;100;1000000;0;2;.000110;NA;.016317;.013785;.013785;.015555;251;1925
0.02;3;1;0;1;512;2;1;0;5;0;200;1000000;0;2;.000097;NA;.013054;.012043;.012043;.014444;249;1702
0.02;3;1;0;1;512;2;1;0;5;0;1000;1000000;0;2;.000088;NA;.010342;.010639;.010639;.012777;248;1529
0.02;3;1;0;1;512;2;1;0;5;50;0;1000000;0;2;.000108;NA;.014475;.017279;.017278;.022777;258;1188
0.02;3;1;0;1;512;2;1;0;5;50;50;1000000;0;2;.000163;NA;.023551;.011946;.011946;.014444;264;2994
