comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.53          290                1                  0    1        32        60        1         0         5         10000     10000     100              300         1           0           16            .047017      .103922     .012623           4.535543            4.535540           4.690000             5             0
2.39          280                1                  0    1        32        60        1         0         5         10000     10000     100              300         0           0           16            .018479      NA          .019628           4.711767            4.711760           4.730000             5             0
2.77          290                1                  0    1        32        60        1         0         5         10000     10000     100              300         1           0           16            .049638      .105069     .013899           4.701862            4.701859           4.860000             5             0
2.36          281                1                  0    1        32        60        1         0         5         10000     10000     100              300         0           0           16            .008325      NA          .020585           4.657481            4.657470           4.670000             5             0
2.52          291                1                  0    1        32        60        1         0         5         10000     10000     100              300         1           0           16            .043973      .107085     .011324           4.526666            4.526662           4.680000             5             0
2.37          284                1                  0    1        32        60        1         0         5         10000     10000     1000             300         0           0           16            .008541      NA          .020733           4.571499            4.571492           4.580000             4             0
2.54          291                1                  0    1        32        60        1         0         5         10000     10000     1000             300         1           0           16            .016225      .010251     .007742           4.520563            4.520559           4.550000             5             0
2.37          280                1                  0    1        32        60        1         0         5         10000     10000     1000             300         0           0           16            .008364      NA          .028439           4.490080            4.490073           4.500000             4             0
2.74          291                1                  0    1        32        60        1         0         5         10000     10000     1000             300         1           0           16            .031381      .010737     .006954           4.541097            4.541094           4.580000             5             0
2.45          279                1                  0    1        32        60        1         0         5         10000     10000     1000             300         0           0           16            .017524      NA          .020293           4.511862            4.511856           4.530000             4             0
2.56          291                1                  0    1        32        60        1         0         5         10000     10000     1000             300         1           0           16            .016966      .010126     .007683           4.691776            4.691773           4.720000             5             0
2.38          281                1                  0    1        32        60        1         0         5         10000     10000     1000             300         0           0           16            .005810      NA          .030788           4.464042            4.464030           4.470000             4             0
2.53          291                1                  0    1        32        60        1         0         5         10000     10000     1000             300         1           0           16            .015058      .011350     .007817           4.641640            4.641637           4.670000             5             0
2.38          280                1                  0    1        32        60        1         0         5         10000     10000     1000             300         0           0           16            .007820      NA          .027560           4.606590            4.606578           4.610000             4             0
2.53          292                1                  0    1        32        60        1         0         5         10000     10000     1000             300         1           0           16            .022182      .009921     .008245           4.623733            4.623730           4.660000             5             0
2.55          281                1                  0    1        32        60        1         0         5         10000     10000     10000            300         0           0           16            .007835      NA          .028224           4.570945            4.570941           4.580000             4             0
2.52          290                1                  0    1        32        60        1         0         5         10000     10000     10000            300         1           0           16            .019376      .010485     .009548           4.664388            4.664385           4.690000             5             0
2.36          281                1                  0    1        32        60        1         0         5         10000     10000     10000            300         0           0           16            .009065      NA          .027065           4.654836            4.654831           4.660000             4             0
2.69          291                1                  0    1        32        60        1         0         5         10000     10000     10000            300         1           0           16            .014253      .010186     .009340           4.648020            4.648016           4.670000             5             0
2.33          280                1                  0    1        32        60        1         0         5         10000     10000     10000            300         0           0           16            .007860      NA          .028083           4.600302            4.600290           4.610000             4             0
2.71          291                1                  0    1        32        60        1         0         5         10000     10000     10000            300         1           0           16            .013874      .010019     .007880           4.625593            4.625590           4.650000             5             0
2.54          281                1                  0    1        32        60        1         0         5         10000     10000     10000            300         0           0           16            .006779      NA          .025122           4.628894            4.628877           4.630000             4             0
2.53          291                1                  0    1        32        60        1         0         5         10000     10000     10000            300         1           0           16            .010559      .009426     .008397           4.602007            4.602003           4.620000             5             0
2.36          280                1                  0    1        32        60        1         0         5         10000     10000     25000            300         0           0           16            .013622      NA          .023442           4.575840            4.575832           4.590000             4             0
2.51          291                1                  0    1        32        60        1         0         5         10000     10000     25000            300         1           0           16            .019733      .010837     .009289           4.712201            4.712198           4.740000             5             0
2.55          280                1                  0    1        32        60        1         0         5         10000     10000     25000            300         0           0           16            .013945      NA          .029091           4.622578            4.622573           4.640000             4             0
2.52          291                1                  0    1        32        60        1         0         5         10000     10000     25000            300         1           0           16            .014404      .010228     .006423           4.646446            4.646443           4.670000             5             0
2.40          280                1                  0    1        32        60        1         0         5         10000     10000     25000            300         0           0           16            .004217      NA          .028685           4.551314            4.551301           4.560000             4             0
2.74          292                1                  0    1        32        60        1         0         5         10000     10000     25000            300         1           0           16            .013598      .010520     .008058           4.557327            4.557323           4.580000             5             0
2.39          281                1                  0    1        32        60        1         0         5         10000     10000     25000            300         0           0           16            .008941      NA          .026906           4.551762            4.551758           4.560000             4             0
2.54          292                1                  0    1        32        60        1         0         5         10000     10000     25000            300         1           0           16            .013390      .010072     .006891           4.524074            4.524071           4.550000             5             0
2.56          280                1                  0    1        32        60        1         0         5         10000     10000     25000            300         0           0           16            .008797      NA          .027286           4.694385            4.694373           4.700000             4             0
2.52          290                1                  0    1        32        60        1         0         5         10000     10000     25000            300         1           0           16            .013955      .009294     .009988           4.573362            4.573358           4.590000             5             0
2.87          302                1                  0    1        32        61        1         0         5         10000     10000     100              300         0           0           16            .005438      NA          .022844           4.275284            4.275272           4.280000             6             0
2.90          313                1                  0    1        32        61        1         0         5         10000     10000     100              300         1           0           16            .037933      .201385     .012701           4.282314            4.282310           4.520000             6             0
3.06          304                1                  0    1        32        61        1         0         5         10000     10000     100              300         0           0           16            .008851      NA          .023879           4.275728            4.275715           4.280000             6             0
2.90          312                1                  0    1        32        61        1         0         5         10000     10000     100              300         1           0           16            .036809      .205371     .011522           4.286148            4.286143           4.530000             6             0
3.07          303                1                  0    1        32        61        1         0         5         10000     10000     100              300         0           0           16            .008741      NA          .022193           4.279643            4.279628           4.290000             6             0
2.90          313                1                  0    1        32        61        1         0         5         10000     10000     100              300         1           0           16            .037978      .204900     .011192           4.307499            4.307494           4.550000             6             0
3.11          303                1                  0    1        32        61        1         0         5         10000     10000     100              300         0           0           16            .014097      NA          .021888           4.339506            4.339496           4.350000             6             0
