program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               162.013              162.38               1089          614%       ~999706       4730.03         14105.4          592.93           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         0               160.252              160.73               1090          615%       ~999708       4730.03         14105.4          590.73           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               265.693              266.92               1092          395%       ~999706       4730.03         14105.4          618.47           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               260.062              261.48               1084          401%       ~999706       4730.03         14105.4          614.57           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               263.481              264.75               1097          397%       ~999706       4730.03         14105.4          619.70           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               263.539              264.78               1083          395%       ~999706       4730.03         14105.4          614.53           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               261.186              261.69               1076          401%       ~999706       4730.03         14105.4          617.67           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               267.917              269.17               1090          390%       ~999706       4730.03         14105.4          613.99           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               263.645              264.87               1086          397%       ~999706       4730.03         14105.4          618.89           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               263.231              264.63               1069          394%       ~999706       4730.03         14105.4          613.54           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               262.234              263.45               1070          396%       ~999706       4730.03         14105.4          614.51           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         1               263.507              263.94               1068          399%       ~999706       4730.03         14105.4          617.64           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         2               342.932              343.50               1071          308%       ~999706       4730.03         14105.4          618.44           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         2               352.696              353.95               1087          299%       ~999706       4730.03         14105.4          620.67           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         2               350.464              351.72               1088          300%       ~999706       4730.03         14105.4          619.51           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         2               351.39               352.61               1085          300%       ~999706       4730.03         14105.4          617.94           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         2               347.286              348.70               1090          302%       ~999706       4730.03         14105.4          616.49           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         2               350.601              351.83               1079          301%       ~999706       4730.03         14105.4          620.81           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         2               343.196              344.45               1107          305%       ~999706       4730.03         14105.4          618.22           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         2               347.52               348.75               1053          303%       ~999706       4730.03         14105.4          618.94           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         2               351.952              353.21               1113          299%       ~999706       4730.03         14105.4          618.62           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         2               345.428              346.81               1072          304%       ~999706       4730.03         14105.4          619.46           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         5               816.772              820.59               1112          136%       ~999706       4730.03         14105.4          647.43           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         5               830.236              832.73               1064          134%       ~999706       4730.03         14105.4          643.59           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 300         5               818.199              822.14               1123          136%       ~999706       4730.03         14105.4          650.21           on,threads             
