comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000574;NA;.000114;.000155;.000282;.000833;5;813
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000344;NA;.000115;.000147;.000204;.000833;5;850
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000379;NA;.000110;.000163;.000285;.000833;5;791
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000309;NA;.000117;.000163;.000216;.000416;5;973
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000324;NA;.000127;.000123;.000216;.000833;5;980
0.01;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000352;NA;.000142;.000166;.000222;.000833;5;927
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000313;NA;.000135;.000155;.000251;.000833;5;1075
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000321;NA;.000111;.000124;.000217;.000833;5;890
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000365;NA;.000109;.000121;.000197;.000416;5;957
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000373;NA;.000118;.000138;.000250;.000833;5;910
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000345;NA;.000104;.000122;.000155;.000416;5;863
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000387;NA;.000137;.000182;.000252;.000833;5;833
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000990;NA;.000113;.000212;.000293;.001250;5;559
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000565;NA;.000107;.000158;.000286;.000833;5;640
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000378;NA;.000109;.000174;.000355;.000833;5;765
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.001011;NA;.000104;.000155;.000254;.001250;5;502
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000574;NA;.000117;.000172;.000355;.000833;5;683
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000412;NA;.000132;.000296;.000470;.000833;5;773
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000546;NA;.000132;.000168;.000257;.000833;5;730
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000740;NA;.000128;.000179;.000371;.000833;5;725
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000377;NA;.000146;.000201;.000253;.000833;5;869
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000442;NA;.000100;.000162;.000314;.000833;5;790
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000380;NA;.000144;.000212;.000316;.000833;5;832
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000400;NA;.000142;.000157;.000282;.000833;5;971
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000997;NA;.000107;.000186;.000332;.001250;5;440
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000596;NA;.000113;.000174;.000343;.000833;5;741
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000341;NA;.000109;.000176;.000242;.000833;5;855
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000379;NA;.000109;.000173;.000219;.000833;5;823
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000583;NA;.000108;.000189;.000361;.000833;5;680
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000358;NA;.000134;.000156;.000232;.000833;5;845
