comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
6.83          555                1                  0    1        256       37        1         0         5         10000     10000     32          0           0           2             program      NA          clock             getTime             chrono             0.15                 49            96
6.75          555                1                  0    1        256       37        1         0         5         10000     10000     64          0           0           2             program      NA          clock             getTime             chrono             0.39                 184           99
6.83          555                1                  0    1        256       37        1         0         5         10000     10000     224         0           0           2             program      NA          clock             getTime             chrono             4.58                 2209          100
6.87          555                1                  0    1        256       38        1         0         5         10000     10000     32          0           0           2             program      NA          clock             getTime             chrono             0.09                 45            90
6.93          555                1                  0    1        256       38        1         0         5         10000     10000     64          0           0           2             program      NA          clock             getTime             chrono             0.24                 165           99
6.82          556                1                  0    1        256       38        1         0         5         10000     10000     224         0           0           2             program      NA          clock             getTime             chrono             2.38                 1966          100
6.90          555                1                  0    1        256       39        1         0         5         10000     10000     32          0           0           2             program      NA          clock             getTime             chrono             0.08                 45            97
6.89          555                1                  0    1        256       39        1         0         5         10000     10000     64          0           0           2             program      NA          clock             getTime             chrono             0.22                 167           99
6.87          555                1                  0    1        256       39        1         0         5         10000     10000     224         0           0           2             program      NA          clock             getTime             chrono             2.15                 1966          100
6.88          555                1                  0    1        256       40        1         0         5         10000     10000     32          0           0           2             program      NA          clock             getTime             chrono             0.07                 45            67
6.82          555                1                  0    1        256       40        1         0         5         10000     10000     64          0           0           2             program      NA          clock             getTime             chrono             0.22                 165           100
6.92          556                1                  0    1        256       40        1         0         5         10000     10000     224         0           0           2             program      NA          clock             getTime             chrono             2.18                 1966          100
6.86          555                1                  0    1        256       41        1         0         5         10000     10000     32          0           0           2             program      NA          clock             getTime             chrono             0.08                 45            97
6.87          555                1                  0    1        256       41        1         0         5         10000     10000     64          0           0           2             program      NA          clock             getTime             chrono             0.21                 166           96
6.83          555                1                  0    1        256       41        1         0         5         10000     10000     224         0           0           2             program      NA          clock             getTime             chrono             2.04                 1966          101
6.85          555                1                  0    1        256       42        1         0         5         10000     10000     32          0           0           2             program      NA          clock             getTime             chrono             0.08                 45            95
6.86          556                1                  0    1        256       42        1         0         5         10000     10000     64          0           0           2             program      NA          clock             getTime             chrono             0.21                 166           96
6.79          556                1                  0    1        256       42        1         0         5         10000     10000     224         0           0           2             program      NA          clock             getTime             chrono             2.08                 1966          101
6.88          555                1                  0    1        256       43        1         0         5         10000     10000     32          0           0           2             program      NA          clock             getTime             chrono             0.09                 45            90
6.92          555                1                  0    1        256       43        1         0         5         10000     10000     64          0           0           2             program      NA          clock             getTime             chrono             0.23                 166           99
6.92          555                1                  0    1        256       43        1         0         5         10000     10000     224         0           0           2             program      NA          clock             getTime             chrono             2.19                 1966          100
6.84          555                1                  0    10       256       37        1         0         5         10000     10000     32          0           0           2             .001261      NA          .013789           .013773             .015135            .016000              48            843
6.79          555                1                  0    10       256       37        1         0         5         10000     10000     64          0           0           2             .001507      NA          .039474           .040717             .046937            .048000              183           820
6.83          555                1                  0    10       256       37        1         0         5         10000     10000     224         0           0           2             .005632      NA          .494596           .500049             .508292            .513000              2208          970
6.87          555                1                  0    10       256       38        1         0         5         10000     10000     32          0           0           2             .001729      NA          .008108           .008323             .009279            .011000              44            770
6.91          555                1                  0    10       256       38        1         0         5         10000     10000     64          0           0           2             .001194      NA          .023665           .023990             .024810            .025000              165           926
6.90          555                1                  0    10       256       38        1         0         5         10000     10000     224         0           0           2             .002201      NA          .260629           .279751             .296241            .297000              1967          877
6.85          555                1                  0    10       256       39        1         0         5         10000     10000     32          0           0           2             .000511      NA          .007334           .008205             .009434            .010000              44            731
6.88          555                1                  0    10       256       39        1         0         5         10000     10000     64          0           0           2             .001696      NA          .021264           .023975             .025022            .026000              165           807
6.84          555                1                  0    10       256       39        1         0         5         10000     10000     224         0           0           2             .003446      NA          .232658           .273979             .292555            .295000              1965          790
6.95          555                1                  0    10       256       40        1         0         5         10000     10000     32          0           0           2             .001192      NA          .007831           .007743             .008073            .009000              44            845
6.88          555                1                  0    10       256       40        1         0         5         10000     10000     64          0           0           2             .000615      NA          .020737           .027414             .032824            .033000              165           620
6.83          555                1                  0    10       256       40        1         0         5         10000     10000     224         0           0           2             .004299      NA          .230812           .274656             .296454            .297000              1965          777
6.85          556                1                  0    10       256       41        1         0         5         10000     10000     32          0           0           2             .001148      NA          .006983           .007399             .008073            .009000              44            755
6.87          555                1                  0    10       256       41        1         0         5         10000     10000     64          0           0           2             .001208      NA          .019673           .022231             .030579            .032000              165           620
6.82          555                1                  0    10       256       41        1         0         5         10000     10000     224         0           0           2             .003464      NA          .221888           .234841             .247488            .249000              1965          891
6.91          555                1                  0    10       256       42        1         0         5         10000     10000     32          0           0           2             .000702      NA          .007366           .008656             .011302            .012000              44            612
6.79          556                1                  0    10       256       42        1         0         5         10000     10000     64          0           0           2             .001245      NA          .020371           .025312             .035506            .037000              165           557
6.83          556                1                  0    10       256       42        1         0         5         10000     10000     224         0           0           2             .002218      NA          .228376           .262146             .282795            .284000              1965          805
6.93          555                1                  0    10       256       43        1         0         5         10000     10000     32          0           0           2             .000615      NA          .007201           .008254             .009947            .010000              44            685
