comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.80;249;1;0;1;256;2;1;0;2;10000;10000;1;1000000;0;0;1;0.014000;NA;0.098704;0.088938;0.088932;0.11;126;99
1.80;247;1;0;1;256;2;1;0;2;10000;10000;5;1000000;0;0;1;0.023262;NA;0.099980;0.166140;0.166129;0.19;126;57
1.76;249;1;0;1;256;2;1;0;2;10000;10000;10;1000000;0;0;1;0.047398;NA;0.059825;0.365041;0.365029;0.42;126;16
1.78;247;1;0;1;256;2;1;0;2;10000;10000;50;1000000;0;0;1;0.161851;NA;0.103064;1.742967;1.742961;1.91;126;6
1.78;248;1;0;1;256;2;1;0;2;10000;10000;100;1000000;0;0;1;0.295433;NA;0.102248;3.923101;3.923088;4.22;126;2
1.78;247;1;0;1;256;2;1;0;2;10000;10000;1000;1000000;0;0;1;2.998435;NA;0.100283;39.020515;39.020509;42.02;126;0
1.79;247;1;0;1;256;2;1;0;5;10000;10000;1;1000000;0;0;1;0.018364;NA;0.079989;0.100949;0.100939;0.12;95;70
1.78;249;1;0;1;256;2;1;0;5;10000;10000;5;1000000;0;0;1;0.015458;NA;0.078954;0.199399;0.199392;0.22;95;38
1.75;249;1;0;1;256;2;1;0;5;10000;10000;10;1000000;0;0;1;0.024972;NA;0.082378;0.410924;0.410901;0.44;95;20
1.78;248;1;0;1;256;2;1;0;5;10000;10000;50;1000000;0;0;1;0.152222;NA;0.047263;2.018116;2.018106;2.17;95;2
1.75;247;1;0;1;256;2;1;0;5;10000;10000;100;1000000;0;0;1;0.304506;NA;0.094647;4.018860;4.018854;4.32;95;2
1.79;248;1;0;1;256;2;1;0;5;10000;10000;1000;1000000;0;0;1;3.002965;NA;0.093859;42.021164;42.021158;45.03;95;0
