comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.26          324                1                  0    1        256       19        1         0         2         10000     10000     10000000    0           0           0             0.045972     NA          0.617238          0.327950            0.327938           0.39                 1231          171
2.23          324                1                  0    1        256       19        1         0         3         10000     10000     10000000    0           0           0             0.029853     NA          0.447897          0.410097            0.410092           0.45                 617           102
2.25          324                1                  0    1        256       19        1         0         5         10000     10000     10000000    0           0           0             0.034948     NA          0.504177          0.448512            0.448505           0.49                 922           105
2.38          328                1                  0    1        256       19        1         0         8         10000     10000     10000000    0           0           0             0.043971     NA          1.513724          1.289412            1.289397           1.35                 2757          115
2.40          329                1                  0    1        256       19        1         0         9         10000     10000     10000000    0           0           0             0.093346     NA          2.090585          1.286300            1.286276           1.42                 3985          153
2.37          328                1                  0    1        256       19        1         0         10        10000     10000     10000000    0           0           0             0.046308     NA          1.554058          0.959182            0.959169           1.03                 2151          156
2.37          328                1                  0    1        256       19        1         0         11        10000     10000     10000000    0           0           0             0.052683     NA          1.430657          1.281339            1.281310           1.36                 2456          109
2.34          328                1                  0    1        256       19        1         0         12        10000     10000     10000000    0           0           0             0.048127     NA          1.404868          0.979226            0.979215           1.05                 2147          138
2.27          324                1                  0    2        256       19        1         0         2         10000     10000     10000000    0           0           0             .022296      NA          .306941           .167382             .171474            .205000              1231          324
2.24          323                1                  0    2        256       19        1         0         3         10000     10000     10000000    0           0           0             .020415      NA          .239902           .216866             .217517            .245000              617           202
2.26          323                1                  0    2        256       19        1         0         5         10000     10000     10000000    0           0           0             .019860      NA          .256424           .229243             .231247            .260000              922           206
2.32          328                1                  0    2        256       19        1         0         8         10000     10000     10000000    0           0           0             .016678      NA          .737477           .668593             .671720            .705000              2756          215
2.38          330                1                  0    2        256       19        1         0         9         10000     10000     10000000    0           0           0             .063053      NA          1.050612          .659865             .661874            .745000              3984          293
2.34          328                1                  0    2        256       19        1         0         10        10000     10000     10000000    0           0           0             .028520      NA          .720018           .497386             .505191            .550000              2150          271
2.39          327                1                  0    2        256       19        1         0         11        10000     10000     10000000    0           0           0             .033230      NA          .780062           .704629             .707918            .760000              2455          212
2.35          327                1                  0    2        256       19        1         0         12        10000     10000     10000000    0           0           0             .032689      NA          .754676           .504944             .505022            .555000              2146          282
2.24          323                1                  0    4        256       19        1         0         2         10000     10000     10000000    0           0           0             .013191      NA          .165247           .104888             .105559            .135000              1231          560
2.23          324                1                  0    4        256       19        1         0         3         10000     10000     10000000    0           0           0             .007493      NA          .112356           .118130             .120954            .132500              617           354
2.25          323                1                  0    4        256       19        1         0         5         10000     10000     10000000    0           0           0             .007547      NA          .118190           .121579             .125549            .137500              922           362
2.36          328                1                  0    4        256       19        1         0         8         10000     10000     10000000    0           0           0             .011177      NA          .397577           .365444             .379262            .397500              2756          414
2.41          330                1                  0    4        256       19        1         0         9         10000     10000     10000000    0           0           0             .032429      NA          .537638           .350024             .351604            .405000              3984          560
2.34          328                1                  0    4        256       19        1         0         10        10000     10000     10000000    0           0           0             .016773      NA          .392525           .259341             .263361            .292500              2150          569
2.32          328                1                  0    4        256       19        1         0         11        10000     10000     10000000    0           0           0             .013962      NA          .429670           .432766             .457877            .482500              2455          367
2.36          328                1                  0    4        256       19        1         0         12        10000     10000     10000000    0           0           0             .011738      NA          .370205           .258393             .262300            .282500              2146          543
2.25          324                1                  0    8        256       19        1         0         2         10000     10000     10000000    0           0           0             .005472      NA          .090328           .102695             .104419            .122500              1231          706
2.25          323                1                  0    8        256       19        1         0         3         10000     10000     10000000    0           0           0             .003932      NA          .056744           .103681             .113100            .120000              617           403
2.20          323                1                  0    8        256       19        1         0         5         10000     10000     10000000    0           0           0             .004391      NA          .060586           .117598             .118348            .127500              922           421
2.38          328                1                  0    8        256       19        1         0         8         10000     10000     10000000    0           0           0             .006740      NA          .211848           .240158             .259920            .267500              2756          654
2.36          329                1                  0    8        256       19        1         0         9         10000     10000     10000000    0           0           0             .014874      NA          .305832           .208963             .212826            .243750              3984          1074
2.34          328                1                  0    8        256       19        1         0         10        10000     10000     10000000    0           0           0             .005787      NA          .203028           .163375             .177746            .188750              2150          899
2.32          328                1                  0    8        256       19        1         0         11        10000     10000     10000000    0           0           0             .006955      NA          .235292           .337880             .367798            .378750              2456          514
2.37          328                1                  0    8        256       19        1         0         12        10000     10000     10000000    0           0           0             .006108      NA          .200473           .169973             .179635            .190000              2146          873
2.23          323                1                  0    16       256       19        1         0         2         10000     10000     10000000    0           0           0             .003078      NA          .052572           .099346             .105857            .113750              1231          861
2.21          323                1                  0    16       256       19        1         0         3         10000     10000     10000000    0           0           0             .002336      NA          .029844           .093605             .112788            .116250              617           432
2.27          323                1                  0    16       256       19        1         0         5         10000     10000     10000000    0           0           0             .002203      NA          .031940           .097561             .116537            .119375              922           452
2.39          328                1                  0    16       256       19        1         0         8         10000     10000     10000000    0           0           0             .002784      NA          .115799           .174759             .202917            .207500              2756          919
2.37          328                1                  0    16       256       19        1         0         9         10000     10000     10000000    0           0           0             .008193      NA          .222187           .157235             .160769            .181250              3984          2076
2.34          329                1                  0    16       256       19        1         0         10        10000     10000     10000000    0           0           0             .002878      NA          .113391           .130665             .148553            .153750              2150          1238
2.31          329                1                  0    16       256       19        1         0         11        10000     10000     10000000    0           0           0             .002885      NA          .116715           .251621             .301050            .307500              2455          631
2.38          328                1                  0    16       256       19        1         0         12        10000     10000     10000000    0           0           0             .004640      NA          .116225           .135271             .141753            .148750              2146          1290
2.24          323                1                  0    32       256       19        1         0         2         10000     10000     10000000    0           0           0             .001486      NA          .037366           .096148             .104661            .109375              1231          1221
2.19          324                1                  0    32       256       19        1         0         3         10000     10000     10000000    0           0           0             .000862      NA          .016326           .092288             .106545            .107812              617           511
2.24          324                1                  0    32       256       19        1         0         5         10000     10000     10000000    0           0           0             .000672      NA          .019019           .094521             .109774            .110937              922           582
2.33          329                1                  0    32       256       19        1         0         8         10000     10000     10000000    0           0           0             .001646      NA          .075288           .162262             .191147            .193437              2756          1274
2.33          329                1                  0    32       256       19        1         0         9         10000     10000     10000000    0           0           0             .003711      NA          .159895           .150085             .162693            .171250              3984          3080
2.37          327                1                  0    32       256       19        1         0         10        10000     10000     10000000    0           0           0             .001897      NA          .072665           .113944             .126199            .129687              2150          1890
2.36          328                1                  0    32       256       19        1         0         11        10000     10000     10000000    0           0           0             .001991      NA          .065477           .224400             .280160            .284375              2455          760
2.36          327                1                  0    32       256       19        1         0         12        10000     10000     10000000    0           0           0             .001385      NA          .072023           .114008             .128886            .131250              2146          1810
