comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;1;256;87;1;0;12;10000;10000;1;0;3;2;.035694;NA;1.464934;3.506538;3.596922;3.633750;16909;985
0.02;3;1;0;1;256;87;1;0;12;10000;10000;1;1;3;2;2.921429;3.275233;.976233;1.429626;1.552548;4.695416;21221;689
0.01;3;1;0;1;256;87;1;1;12;10000;10000;1;0;3;2;.023667;NA;1.152032;2.526933;2.608644;2.631666;12069;1067
0.02;3;1;0;1;256;87;1;1;12;10000;10000;1;1;3;2;2.076397;2.115272;.830844;1.269583;1.395827;3.275833;14674;802
0.02;3;1;0;1;256;78;1;0;12;10000;10000;1;0;3;2;.031322;NA;1.721068;3.714139;3.788726;3.827500;15178;1095
0.02;3;1;0;1;256;78;1;0;12;10000;10000;1;1;3;2;2.541744;2.755046;1.334271;2.260909;2.441085;4.810833;18343;839
0.01;3;1;0;1;256;78;1;1;12;10000;10000;1;0;3;2;.024366;NA;1.558490;3.219224;3.403596;3.430833;14871;1104
0.01;3;1;0;1;256;78;1;1;12;10000;10000;1;1;3;2;2.258601;2.597243;1.207503;1.973478;2.200967;4.367083;17347;848
0.02;3;1;0;1;256;88;1;0;12;10000;10000;1;0;3;2;.051048;NA;2.077114;4.903754;4.993582;5.037916;23350;1008
0.02;3;1;0;1;256;88;1;0;12;10000;10000;1;1;3;2;4.185823;4.635429;1.389739;2.018183;2.168050;6.525000;29508;701
0.02;3;1;0;1;256;88;1;1;12;10000;10000;1;0;3;2;.028737;NA;1.642511;3.442831;3.569867;3.601250;16557;1112
0.02;3;1;0;1;256;88;1;1;12;10000;10000;1;1;3;2;2.868296;2.982295;1.157768;1.797318;1.976131;4.630000;20527;797
0.01;3;1;0;1;256;79;1;0;12;10000;10000;1;0;3;2;.013548;NA;1.394734;2.302935;2.481550;2.495000;11029;1350
0.02;3;1;0;1;256;79;1;0;12;10000;10000;1;1;3;2;1.688128;1.723387;1.096827;1.584026;1.724363;3.273333;13619;1014
0.02;3;1;0;1;256;79;1;1;12;10000;10000;1;0;3;2;.010295;NA;1.338392;1.951255;2.087500;2.099166;10878;1538
0.02;3;1;0;1;256;79;1;1;12;10000;10000;1;1;3;2;1.454589;1.499618;1.072567;1.507556;1.571152;3.015416;13665;1072
0.01;3;1;0;1;256;89;1;0;12;10000;10000;1;0;3;2;.021140;NA;1.533305;2.900557;3.250331;3.275833;13739;1135
0.02;3;1;0;1;256;89;1;0;12;10000;10000;1;1;3;2;2.866667;2.810416;1.154008;1.583349;1.725012;4.414166;17667;832
0.02;3;1;0;1;256;89;1;1;12;10000;10000;1;0;3;2;.010730;NA;1.344469;2.092066;2.298469;2.309166;10997;1407
0.01;3;1;0;1;256;89;1;1;12;10000;10000;1;1;3;2;1.826863;1.917365;1.036650;1.425471;1.488654;3.307083;13646;971
