comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        512       71        1         0         5         10000     10000     100              1           0           1           1             .016835      NA          .287614           23.854201           24.160869          24.172500            4603          29
0.02          3                  1                  0    4        512       71        1         0         5         10000     10000     1000             1           0           1           1             .017947      NA          .185848           2.452975            2.760563           2.775833             4566          171
0.02          3                  1                  0    4        512       71        1         0         5         10000     10000     10000            1           0           1           1             .017362      NA          .161349           .579621             .662510            .676250              4172          613
0.03          3                  1                  0    4        512       71        1         0         5         10000     10000     25000            1           0           1           1             .018633      NA          .164860           .522617             .533712            .550416              3455          776
0.02          3                  1                  0    4        512       71        1         1         5         10000     10000     100              1           0           1           1             .018693      NA          .271406           23.580554           24.075789          24.087500            4744          28
0.02          3                  1                  0    4        512       71        1         1         5         10000     10000     1000             1           0           1           1             .010502      NA          .174697           2.187691            2.487006           2.498750             4570          178
0.02          3                  1                  0    4        512       71        1         1         5         10000     10000     10000            1           0           1           1             .018331      NA          .150968           .335062             .355551            .370416              4390          1060
0.02          3                  1                  0    4        512       71        1         1         5         10000     10000     25000            1           0           1           1             .017114      NA          .157952           .216262             .226372            .239583              3393          1710
0.02          3                  1                  0    4        512       171       1         0         5         10000     10000     100              1           0           1           1             .016782      NA          .270937           23.739838           24.934815          24.947500            4709          27
0.02          3                  1                  0    4        512       171       1         0         5         10000     10000     1000             1           0           1           1             .010082      NA          .173133           2.206057            2.497362           2.510000             4670          176
0.02          3                  1                  0    4        512       171       1         0         5         10000     10000     10000            1           0           1           1             .016941      NA          .145267           .260746             .270510            .282916              4246          1327
0.02          3                  1                  0    4        512       171       1         0         5         10000     10000     25000            1           0           1           1             .016693      NA          .156431           .133007             .138964            .150000              3457          2670
0.02          3                  1                  0    4        512       171       1         1         5         10000     10000     100              1           0           1           1             .018280      NA          .274582           23.494962           24.175484          24.191666            4775          28
0.02          3                  1                  0    4        512       171       1         1         5         10000     10000     1000             1           0           1           1             .016612      NA          .166607           2.121147            2.421859           2.434583             4589          175
0.02          3                  1                  0    4        512       171       1         1         5         10000     10000     10000            1           0           1           1             .015755      NA          .144487           .255279             .263985            .277083              4108          1342
0.03          3                  1                  0    4        512       171       1         1         5         10000     10000     25000            1           0           1           1             .009872      NA          .159827           .131153             .136553            .147083              3525          2774
0.02          3                  1                  0    4        512       271       1         0         5         10000     10000     100              1           0           1           1             .014409      NA          .278831           24.322178           24.840261          24.855833            4803          28
0.02          3                  1                  0    4        512       271       1         0         5         10000     10000     1000             1           0           1           1             .018137      NA          .171910           2.200092            2.485737           2.498750             4607          176
0.02          3                  1                  0    4        512       271       1         0         5         10000     10000     10000            1           0           1           1             .019552      NA          .142327           .260756             .269961            .285416              4259          1296
0.02          3                  1                  0    4        512       271       1         0         5         10000     10000     25000            1           0           1           1             .018247      NA          .153054           .132589             .141760            .155000              3524          2524
0.01          3                  1                  0    4        512       271       1         1         5         10000     10000     100              1           0           1           1             .018210      NA          .261770           23.459981           24.203415          24.215000            4631          27
0.02          3                  1                  0    4        512       271       1         1         5         10000     10000     1000             1           0           1           1             .017196      NA          .166221           2.117134            2.422439           2.436250             4593          174
0.02          3                  1                  0    4        512       271       1         1         5         10000     10000     10000            1           0           1           1             .015933      NA          .137466           .253532             .261962            .275000              4133          1297
0.02          3                  1                  0    4        512       271       1         1         5         10000     10000     25000            1           0           1           1             .014261      NA          .155892           .130663             .139594            .150000              3336          2672
0.02          3                  1                  0    4        512       74        1         0         5         10000     10000     100              1           0           1           1             .011818      NA          .217874           15.790126           16.294063          16.305833            3163          33
0.02          3                  1                  0    4        512       74        1         0         5         10000     10000     1000             1           0           1           1             .011578      NA          .142836           1.483968            1.687645           1.697500             3095          213
0.02          3                  1                  0    4        512       74        1         0         5         10000     10000     10000            1           0           1           1             .011656      NA          .117318           .227553             .241158            .252916              2808          1187
0.02          3                  1                  0    4        512       74        1         0         5         10000     10000     25000            1           0           1           1             .007175      NA          .133131           .154232             .168754            .177083              2337          1901
0.02          3                  1                  0    4        512       74        1         1         5         10000     10000     100              1           0           1           1             .012444      NA          .212988           15.776203           16.251238          16.258750            3153          32
0.02          3                  1                  0    4        512       74        1         1         5         10000     10000     1000             1           0           1           1             .012359      NA          .136773           1.400308            1.650703           1.659583             3088          209
0.02          3                  1                  0    4        512       74        1         1         5         10000     10000     10000            1           0           1           1             .012314      NA          .114199           .191478             .205483            .213333              2753          1370
0.02          3                  1                  0    4        512       74        1         1         5         10000     10000     25000            1           0           1           1             .012269      NA          .130583           .124114             .133921            .145416              2155          2300
0.02          3                  1                  0    4        512       174       1         0         5         10000     10000     100              1           0           1           1             .012584      NA          .222482           16.385141           17.595318          17.605000            3304          31
0.02          3                  1                  0    4        512       174       1         0         5         10000     10000     1000             1           0           1           1             .012376      NA          .138756           1.504366            1.768646           1.778333             3227          197
0.02          3                  1                  0    4        512       174       1         0         5         10000     10000     10000            1           0           1           1             .007872      NA          .118583           .195214             .211938            .220416              2800          1369
0.02          3                  1                  0    4        512       174       1         0         5         10000     10000     25000            1           0           1           1             .012408      NA          .136516           .122549             .136882            .144583              2256          2378
0.02          3                  1                  0    4        512       174       1         1         5         10000     10000     100              1           0           1           1             .011879      NA          .215049           15.436585           16.403910          16.416250            3161          32
0.02          3                  1                  0    4        512       174       1         1         5         10000     10000     1000             1           0           1           1             .011420      NA          .133409           1.433058            1.661739           1.670416             3125          202
0.02          3                  1                  0    4        512       174       1         1         5         10000     10000     10000            1           0           1           1             .012720      NA          .115210           .183022             .201710            .213333              2858          1374
0.02          3                  1                  0    4        512       174       1         1         5         10000     10000     25000            1           0           1           1             .012961      NA          .132701           .119527             .136763            .143750              2313          2324
0.02          3                  1                  0    4        512       274       1         0         5         10000     10000     100              1           0           1           1             .007202      NA          .221684           16.384667           17.470040          17.477083            3182          31
0.02          3                  1                  0    4        512       274       1         0         5         10000     10000     1000             1           0           1           1             .012166      NA          .141235           1.472772            1.762345           1.771250             3149          201
0.02          3                  1                  0    4        512       274       1         0         5         10000     10000     10000            1           0           1           1             .013094      NA          .117062           .193182             .219004            .226250              2948          1331
0.03          3                  1                  0    4        512       274       1         0         5         10000     10000     25000            1           0           1           1             .011826      NA          .130374           .119565             .132226            41.666666            2325          6
