comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.27;261;1;0;1;32;22;1;0;5;10000;10000;10;50;0;0;16;.031123;NA;.001619;1.021376;1.021363;1.050000;4;0
2.31;265;1;0;1;32;22;1;0;5;10000;10000;10;50;1;0;16;.076153;.000456;.001427;1.019425;1.019420;1.090000;4;0
2.27;261;1;0;1;32;22;1;0;5;10000;10000;10;50;0;0;16;.034560;NA;.002091;1.021801;1.021797;1.060000;4;0
2.11;264;1;0;1;32;22;1;0;5;10000;10000;10;50;1;0;16;.084886;.000414;.001524;1.017462;1.017458;1.100000;4;0
2.24;260;1;0;1;32;22;1;0;5;10000;10000;10;50;0;0;16;.035271;NA;.002327;1.021233;1.021228;1.060000;4;0
2.29;264;1;0;1;32;22;1;0;5;10000;10000;10;50;1;0;16;.080973;.000378;.001382;1.021345;1.021339;1.100000;4;0
2.27;261;1;0;1;32;22;1;0;5;10000;10000;10;50;0;0;16;.031950;NA;.001946;1.021458;1.021453;1.050000;4;0
2.16;264;1;0;1;32;22;1;0;5;10000;10000;10;50;1;0;16;.077531;.000398;.001350;1.019583;1.019580;1.100000;4;0
1.95;262;1;0;1;32;22;1;0;5;10000;10000;10;50;0;0;16;.036817;NA;.003635;1.022349;1.022343;1.060000;8;0
2.28;264;1;0;1;32;22;1;0;5;10000;10000;10;50;1;0;16;.072617;.000500;.001596;1.017414;1.017409;1.090000;4;0
2.07;261;1;0;1;32;22;1;0;5;10000;10000;20;50;0;0;16;.060035;NA;.002075;2.020487;2.020483;2.080000;4;0
2.42;265;1;0;1;32;22;1;0;5;10000;10000;20;50;1;0;16;.141887;.000396;.001597;2.017889;2.017884;2.160000;4;0
2.24;262;1;0;1;32;22;1;0;5;10000;10000;20;50;0;0;16;.061586;NA;.001576;2.021204;2.021201;2.080000;4;0
2.12;264;1;0;1;32;22;1;0;5;10000;10000;20;50;1;0;16;.142537;.000394;.001496;2.018755;2.018752;2.160000;4;0
2.12;261;1;0;1;32;22;1;0;5;10000;10000;20;50;0;0;16;.060395;NA;.001977;2.021368;2.021364;2.080000;4;0
2.13;265;1;0;1;32;22;1;0;5;10000;10000;20;50;1;0;16;.145817;.000189;.001253;2.037705;2.037703;2.180000;4;0
2.20;260;1;0;1;32;22;1;0;5;10000;10000;20;50;0;0;16;.065927;NA;.002048;2.021949;2.021944;2.090000;4;0
2.39;264;1;0;1;32;22;1;0;5;10000;10000;20;50;1;0;16;.145356;.000405;.001279;2.039760;2.039757;2.190000;4;0
2.07;261;1;0;1;32;22;1;0;5;10000;10000;20;50;0;0;16;.063830;NA;.002302;2.021455;2.021448;2.080000;4;0
2.34;263;1;0;1;32;22;1;0;5;10000;10000;20;50;1;0;16;.147805;.000769;.001375;2.017338;2.017335;2.170000;4;0
2.20;262;1;0;1;32;22;1;0;5;10000;10000;30;50;0;0;16;.095013;NA;.002287;3.021551;3.021543;3.120000;4;0
2.13;264;1;0;1;32;22;1;0;5;10000;10000;30;50;1;0;16;.210816;.000553;.001535;3.017822;3.017818;3.230000;4;0
2.04;260;1;0;1;32;22;1;0;5;10000;10000;30;50;0;0;16;.089969;NA;.002359;3.022469;3.022466;3.110000;4;0
2.24;265;1;0;1;32;22;1;0;5;10000;10000;30;50;1;0;16;.214483;.000420;.001780;3.051487;3.051482;3.270000;4;0
2.27;262;1;0;1;32;22;1;0;5;10000;10000;30;50;0;0;16;.093990;NA;.002416;3.021925;3.021917;3.120000;4;0
2.14;265;1;0;1;32;22;1;0;5;10000;10000;30;50;1;0;16;.216039;.000230;.001375;3.049660;3.049657;3.270000;4;0
2.12;262;1;0;1;32;22;1;0;5;10000;10000;30;50;0;0;16;.090129;NA;.002118;3.021895;3.021889;3.110000;4;0
2.17;264;1;0;1;32;22;1;0;5;10000;10000;30;50;1;0;16;.229726;.000458;.001375;3.047681;3.047676;3.280000;4;0
2.20;261;1;0;1;32;22;1;0;5;10000;10000;30;50;0;0;16;.093571;NA;.002457;3.020943;3.020935;3.110000;4;0
2.12;265;1;0;1;32;22;1;0;5;10000;10000;30;50;1;0;16;.223074;.000406;.001532;3.047791;3.047789;3.270000;4;0
2.04;262;1;0;1;32;22;1;0;5;10000;10000;40;50;0;0;16;.121195;NA;.002524;4.022140;4.022132;4.140000;4;0
2.41;265;1;0;1;32;22;1;0;5;10000;10000;40;50;1;0;16;.284132;.000803;.001291;4.017437;4.017433;4.300000;4;0
2.23;261;1;0;1;32;22;1;0;5;10000;10000;40;50;0;0;16;.121264;NA;.002579;4.021682;4.021677;4.140000;4;0
2.14;264;1;0;1;32;22;1;0;5;10000;10000;40;50;1;0;16;.296747;.000398;.001484;4.058927;4.058922;4.350000;4;0
2.21;260;1;0;1;32;22;1;0;5;10000;10000;40;50;0;0;16;.120786;NA;.002048;4.021765;4.021760;4.140000;4;0
2.40;264;1;0;1;32;22;1;0;5;10000;10000;40;50;1;0;16;.291968;.000401;.001443;4.021222;4.021220;4.310000;4;0
2.04;262;1;0;1;32;22;1;0;5;10000;10000;40;50;0;0;16;.122529;NA;.002158;4.021439;4.021434;4.140000;4;0
2.31;265;1;0;1;32;22;1;0;5;10000;10000;40;50;1;0;16;.288978;.000349;.001560;4.057808;4.057805;4.350000;4;0
2.12;261;1;0;1;32;22;1;0;5;10000;10000;40;50;0;0;16;.127147;NA;.002233;4.021755;4.021748;4.150000;4;0
2.36;264;1;0;1;32;22;1;0;5;10000;10000;40;50;1;0;16;.291135;.000360;.001390;4.021446;4.021442;4.310000;4;0
2.05;261;1;0;1;32;22;1;0;5;10000;10000;50;50;0;0;16;.147676;NA;.001977;5.024054;5.024049;5.170000;4;0
2.10;265;1;0;1;32;22;1;0;5;10000;10000;50;50;1;0;16;.362307;.000330;.001341;5.071911;5.071908;5.440000;4;0
2.04;261;1;0;1;32;22;1;0;5;10000;10000;50;50;0;0;16;.153229;NA;.002565;5.019997;5.019989;5.170000;4;0
2.12;264;1;0;1;32;22;1;0;5;10000;10000;50;50;1;0;16;.362193;.000288;.001691;5.067994;5.067989;5.430000;4;0
2.20;262;1;0;1;32;22;1;0;5;10000;10000;50;50;0;0;16;.157446;NA;.002257;5.021177;5.021169;5.180000;4;0
2.31;265;1;0;1;32;22;1;0;5;10000;10000;50;50;1;0;16;.357710;.000521;.001469;5.067589;5.067586;5.430000;4;0
2.07;262;1;0;1;32;22;1;0;5;10000;10000;50;50;0;0;16;.151461;NA;.001783;5.021780;5.021773;5.170000;4;0
2.16;265;1;0;1;32;22;1;0;5;10000;10000;50;50;1;0;16;.355261;.000279;.001350;5.068172;5.068168;5.420000;4;0
2.08;261;1;0;1;32;22;1;0;5;10000;10000;50;50;0;0;16;.160311;NA;.002319;5.020393;5.020388;5.180000;4;0
2.33;265;1;0;1;32;22;1;0;5;10000;10000;50;50;1;0;16;.355609;.000370;.001559;5.021611;5.021606;5.380000;4;0
2.30;261;1;0;1;32;22;1;0;5;10000;10000;60;50;0;0;16;.178697;NA;.002154;6.023609;6.023604;6.200000;4;0
2.29;263;1;0;1;32;22;1;0;5;10000;10000;60;50;1;0;16;.423460;.000425;.001414;6.017788;6.017785;6.440000;4;0
2.49;262;1;0;1;32;22;1;0;5;10000;10000;60;50;0;0;16;.174662;NA;.002105;6.027662;6.027658;6.200000;4;0
2.31;264;1;0;1;32;22;1;0;5;10000;10000;60;50;1;0;16;.440250;.000423;.001370;6.081159;6.081155;6.520000;4;0
2.31;260;1;0;1;32;22;1;0;5;10000;10000;60;50;0;0;16;.175115;NA;.002212;6.026065;6.026058;6.200000;4;0
2.29;264;1;0;1;32;22;1;0;5;10000;10000;60;50;1;0;16;.419485;.000805;.001489;6.017852;6.017849;6.440000;4;0
2.24;262;1;0;1;32;22;1;0;5;10000;10000;60;50;0;0;16;.187446;NA;.002024;6.021269;6.021264;6.210000;4;0
2.40;264;1;0;1;32;22;1;0;5;10000;10000;60;50;1;0;16;.424733;.000450;.001447;6.019156;6.019151;6.440000;4;0
2.29;262;1;0;1;32;22;1;0;5;10000;10000;60;50;0;0;16;.181822;NA;.002323;6.021860;6.021853;6.200000;4;0
2.36;265;1;0;1;32;22;1;0;5;10000;10000;60;50;1;0;16;.429412;.000379;.001619;6.077770;6.077765;6.510000;4;0
2.71;267;1;0;1;32;22;1;0;11;10000;10000;10;50;0;0;16;.046257;NA;.030893;1.078061;1.078058;1.120000;4;3
2.28;268;1;0;1;32;22;1;0;11;10000;10000;10;50;1;0;16;.079548;.020725;.029165;1.038748;1.038745;1.140000;4;3
2.21;265;1;0;1;32;22;1;0;11;10000;10000;10;50;0;0;16;.040139;NA;.030158;1.069531;1.069527;1.110000;4;3
