comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             10          0           1           2             .000346      NA          .000027           .000429             .000618            .001250              3             226
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             100         0           1           2             .000405      NA          .000030           .000449             .000741            .001250              3             218
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             1000        0           1           2             .000398      NA          .000037           .000512             .000742            .001250              4             236
0.03          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             10000       0           1           2             .000391      NA          .000164           .001204             .001614            .002083              5             265
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             100000      0           1           2             .000324      NA          .001318           .008282             .011826            .012083              26            281
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             1000000     0           1           2             .000636      NA          .010676           .076562             .097192            .098333              199           268
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             10          0           1           2             .000380      NA          .000033           .000432             .000609            .000833              3             227
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             100         0           1           2             .000379      NA          .000029           .000433             .000612            .001250              3             210
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             1000        0           1           2             .000410      NA          .000046           .000519             .000736            .001250              4             220
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             10000       0           1           2             .000709      NA          .000190           .001344             .002047            .002916              5             220
0.03          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             100000      0           1           2             .000603      NA          .001488           .008149             .010951            .011666              22            328
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             1000000     0           1           2             .000625      NA          .010615           .081344             .105160            .105833              198           250
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             10          0           1           2             .000410      NA          .000026           .000459             .000691            .001250              3             212
0.03          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             100         0           1           2             .000369      NA          .000033           .000433             .000607            .001250              3             236
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             1000        0           1           2             .000592      NA          .000047           .000530             .000784            .001250              4             197
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             10000       0           1           2             .000350      NA          .000189           .001193             .001880            .002500              5             271
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             100000      0           1           2             .000425      NA          .001333           .008255             .013246            .013750              22            254
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     1              2500             1000000     0           1           2             .000956      NA          .010904           .079319             .102504            .103750              197           260
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             10          0           1           2             .000390      NA          .000027           .000377             .000562            .000833              3             231
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             100         0           1           2             .000385      NA          .000034           .000385             .000564            .000833              9             258
0.03          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             1000        0           1           2             .000326      NA          .000052           .000557             .000722            .001250              4             250
0.03          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             10000       0           1           2             .000322      NA          .000289           .002491             .004131            .004583              7             200
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             100000      0           1           2             .000764      NA          .002714           .022373             .026651            .027500              33            251
