comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.37;229;1;0;1;256;2;1;0;1;0;0;1500;1000000;0;0;0;0.001315;NA;0.101162;0.266086;0.266085;0.28;186;37
1.38;230;1;0;1;256;2;1;0;1;0;0;1000;1000000;0;0;0;0.002738;NA;0.126604;0.335353;0.335351;0.34;186;38
1.38;229;1;0;1;256;2;1;0;1;0;0;500;1000000;0;0;0;0.001083;NA;0.103079;0.597638;0.597637;0.61;186;17
1.38;229;1;0;1;256;2;1;0;2;0;0;1500;1000000;0;0;0;0.000017;NA;0.075240;0.207619;0.207617;0.22;125;35
1.39;229;1;0;1;256;2;1;0;2;0;0;1000;1000000;0;0;0;0.000008;NA;0.046039;0.265697;0.265696;0.28;125;17
1.34;230;1;0;1;256;2;1;0;2;0;0;500;1000000;0;0;0;0.000017;NA;0.076783;0.546610;0.546609;0.55;125;14
1.34;230;1;0;1;256;2;1;0;3;0;0;1500;1000000;0;0;0;0.000017;NA;0.074119;0.135539;0.135537;0.15;64;52
1.34;229;1;0;1;256;2;1;0;3;0;0;1000;1000000;0;0;0;0.000016;NA;0.071636;0.133621;0.133619;0.14;64;50
1.39;229;1;0;1;256;2;1;0;3;0;0;500;1000000;0;0;0;0.000017;NA;0.069340;0.129564;0.129563;0.13;66;52
1.38;228;1;0;1;256;2;1;0;5;0;0;1500;1000000;0;0;0;0.000020;NA;0.076664;0.129148;0.129147;0.14;95;55
1.35;228;1;0;1;256;2;1;0;5;0;0;1000;1000000;0;0;0;0.000018;NA;0.075170;0.131146;0.131145;0.14;95;56
1.38;229;1;0;1;256;2;1;0;5;0;0;500;1000000;0;0;0;0.000017;NA;0.069955;0.123113;0.123111;0.13;95;56
1.44;231;1;0;1;256;2;1;0;8;0;0;1500;1000000;0;0;0;0.001109;NA;0.132387;0.269507;0.269506;0.28;278;49
1.40;233;1;0;1;256;2;1;0;8;0;0;1000;1000000;0;0;0;0.002832;NA;0.160142;0.266393;0.266392;0.28;278;59
1.43;232;1;0;1;256;2;1;0;8;0;0;500;1000000;0;0;0;0.002793;NA;0.158257;0.257861;0.257860;0.27;278;61
1.41;231;1;0;1;256;2;1;0;9;0;0;1500;1000000;0;0;0;0.000010;NA;0.006276;0.006455;0.006454;0.02;34;40
1.41;230;1;0;1;256;2;1;0;9;0;0;1000;1000000;0;0;0;0.000008;NA;0.006507;0.009174;0.009173;0.02;34;43
1.41;230;1;0;1;256;2;1;0;9;0;0;500;1000000;0;0;0;0.000019;NA;0.008266;0.011343;0.011342;0.02;34;60
1.40;232;1;0;1;256;2;1;0;10;0;0;1500;1000000;0;0;0;0.002751;NA;0.150861;0.233176;0.233174;0.25;247;61
1.41;232;1;0;1;256;2;1;0;10;0;0;1000;1000000;0;0;0;0.002836;NA;0.155827;0.234917;0.234916;0.25;247;64
1.40;231;1;0;1;256;2;1;0;10;0;0;500;1000000;0;0;0;0.002825;NA;0.150972;0.232394;0.232392;0.25;247;63
1.41;232;1;0;1;256;2;1;0;11;0;0;1500;1000000;0;0;0;0.001651;NA;0.171354;0.276042;0.276040;0.29;278;59
1.44;233;1;0;1;256;2;1;0;11;0;0;1000;1000000;0;0;0;0.000731;NA;0.174829;0.276217;0.276216;0.29;278;60
1.44;234;1;0;1;256;2;1;0;11;0;0;500;1000000;0;0;0;0.001616;NA;0.168585;0.270252;0.270251;0.29;278;59
1.41;234;1;0;1;256;2;1;0;12;0;0;1500;1000000;0;0;0;0.002826;NA;0.159468;0.248809;0.248808;0.26;247;62
1.39;232;1;0;1;256;2;1;0;12;0;0;1000;1000000;0;0;0;0.002828;NA;0.157949;0.244583;0.244582;0.25;247;64
1.38;232;1;0;1;256;2;1;0;12;0;0;500;1000000;0;0;0;0.002765;NA;0.162389;0.251340;0.251339;0.26;247;63
