comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
8.95          508                1                  0    1        32        71        1         0         5         10000     10000     0              25000            1           0           0           1               1             .228166      NA          .645006           18.857039           18.857027          19.090000            224           4
8.87          510                1                  0    1        32        71        1         0         5         10000     10000     0              25000            1           0           0           2               1             1.251182     NA          .702060           29.350935           29.350914          30.610000            275           3
8.65          507                1                  0    1        32        71        1         0         5         10000     10000     0              25000            1           0           0           5               1             1.232141     NA          .582676           70.147639           70.147627          71.390000            255           1
8.71          507                1                  0    1        32        71        1         1         5         10000     10000     0              25000            1           0           0           1               1             .239999      NA          .601803           4.728631            4.728615           4.970000             223           16
8.72          509                1                  0    1        32        71        1         1         5         10000     10000     0              25000            1           0           0           2               1             .223720      NA          .699707           12.916374           12.916361          13.150000            300           7
8.65          508                1                  0    1        32        71        1         1         5         10000     10000     0              25000            1           0           0           5               1             1.245460     NA          .637231           18.160520           18.160498          19.410000            277           4
8.94          508                1                  0    1        32        171       1         0         5         10000     10000     0              25000            1           0           0           1               1             .233947      NA          .817998           3.599672            3.599658           3.840000             227           27
9.14          508                1                  0    1        32        171       1         0         5         10000     10000     0              25000            1           0           0           2               1             .242647      NA          .576663           5.406150            5.406137           5.650000             310           14
8.93          508                1                  0    1        32        171       1         0         5         10000     10000     0              25000            1           0           0           5               1             .235447      NA          .709520           15.651224           15.651218          15.890000            309           5
8.93          509                1                  0    1        32        171       1         1         5         10000     10000     0              25000            1           0           0           1               1             .230984      NA          .634594           3.383148            3.383134           3.620000             214           24
8.89          507                1                  0    1        32        171       1         1         5         10000     10000     0              25000            1           0           0           2               1             .228342      NA          .810452           4.356382            4.356376           4.590000             213           22
8.97          507                1                  0    1        32        171       1         1         5         10000     10000     0              25000            1           0           0           5               1             1.199522     NA          .468945           11.339548           11.339527          12.540000            299           5
8.83          508                1                  0    1        32        271       1         0         5         10000     10000     0              25000            1           0           0           1               1             .237269      NA          .725915           5.242638            5.242625           5.490000             304           17
8.70          508                1                  0    1        32        271       1         0         5         10000     10000     0              25000            1           0           0           2               1             1.252033     NA          .591936           6.840730            6.840721           8.100000             246           10
8.91          509                1                  0    1        32        271       1         0         5         10000     10000     0              25000            1           0           0           5               1             .230324      NA          .445075           17.640267           17.640247          17.870000            252           3
8.86          509                1                  0    1        32        271       1         1         5         10000     10000     0              25000            1           0           0           1               1             .228292      NA          .554036           5.070098            5.070086           5.300000             215           14
