program;protocol;partysize;input_size;runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
BitAnd;boolean_gmw;4;10000;6465.982;11.82;6793;169;157.384;157.384;392;392
BitAnd;boolean_gmw;4;10000;6398.891;11.76;6825;157;157.384;157.384;392;392
BitAnd;boolean_gmw;4;10000;6866.431;12.21;6788;130;157.384;157.384;392;392
BitAnd;boolean_gmw;4;10000;6477.041;12.15;6797;172;157.384;157.384;392;392
BitAnd;boolean_gmw;4;10000;6605.257;11.85;6669;166;157.384;157.384;392;392
BitAnd;boolean_gmw;4;10000;6665.515;12.36;6846;137;157.384;157.384;392;392
BitAnd;boolean_gmw;4;10000;7032.128;12.37;6794;152;157.384;157.384;392;392
BitAnd;boolean_gmw;4;10000;6512.688;11.89;6661;174;157.384;157.384;392;392
BitAnd;boolean_gmw;4;10000;6946.496;12.29;6728;135;157.384;157.384;392;392
BitAnd;boolean_gmw;4;10000;6517.591;11.99;6726;159;157.384;157.384;392;392
