program  protocol     partysize  input_size  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec  multTripPresetup  multTripSetup  sharedPowerPresetup  sharedPowerSetup  sharedBitPresetup  sharedBitSetup  baseOT  otExtension  kk13OtExtension  preprocessingTime  gatesSetup  gatesOnline
BitAnd   boolean_gmw  4          10000       6465.982              11.82                6793          169        157.384          157.384         392              392             1035.243          1746.788       0.000                0.000             0.000              0.000           0.000   Setup        Extension        6162.475           0.005       289.352
BitAnd   boolean_gmw  4          10000       6398.891              11.76                6825          157        157.384          157.384         392              392             1017.215          1757.201       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5869.574           0.005       515.801
BitAnd   boolean_gmw  4          10000       6866.431              12.21                6788          130        157.384          157.384         392              392             896.557           1692.220       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5725.030           0.006       1130.052
BitAnd   boolean_gmw  4          10000       6477.041              12.15                6797          172        157.384          157.384         392              392             883.579           1744.692       0.000                0.000             0.000              0.000           0.000   Setup        Extension        6435.386           0.004       23.573
BitAnd   boolean_gmw  4          10000       6605.257              11.85                6669          166        157.384          157.384         392              392             1043.307          1439.439       0.000                0.000             0.000              0.000           0.000   Setup        Extension        6079.520           0.006       509.950
BitAnd   boolean_gmw  4          10000       6665.515              12.36                6846          137        157.384          157.384         392              392             668.726           1795.024       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5415.285           0.007       1232.879
BitAnd   boolean_gmw  4          10000       7032.128              12.37                6794          152        157.384          157.384         392              392             1038.580          1526.675       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5882.935           0.005       1129.962
BitAnd   boolean_gmw  4          10000       6512.688              11.89                6661          174        157.384          157.384         392              392             907.299           1443.602       0.000                0.000             0.000              0.000           0.000   Setup        Extension        6495.015           0.005       11.138
BitAnd   boolean_gmw  4          10000       6946.496              12.29                6728          135        157.384          157.384         392              392             909.830           1795.738       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5996.959           0.006       938.023
BitAnd   boolean_gmw  4          10000       6517.591              11.99                6726          159        157.384          157.384         392              392             712.926           1519.473       0.000                0.000             0.000              0.000           0.000   Setup        Extension        5739.844           0.005       767.967
