comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.26          262                1                  0    1        32        23        1         0         5         10000     10000     10             50          0           0           16            .029838      NA          .001846           1.019105            1.019100           1.050000             4             0
2.29          265                1                  0    1        32        23        1         0         5         10000     10000     10             50          1           0           16            .077147      .000317     .001330           1.020506            1.020503           1.100000             4             0
2.23          261                1                  0    1        32        23        1         0         5         10000     10000     10             50          0           0           16            .034941      NA          .001869           1.018078            1.018073           1.050000             4             0
2.15          264                1                  0    1        32        23        1         0         5         10000     10000     10             50          1           0           16            .078846      .000505     .001539           1.021109            1.021106           1.100000             4             0
2.22          261                1                  0    1        32        23        1         0         5         10000     10000     10             50          0           0           16            .044591      NA          .002039           1.020928            1.020925           1.060000             4             0
2.18          263                1                  0    1        32        23        1         0         5         10000     10000     10             50          1           0           16            .092414      .000236     .001498           1.027231            1.027229           1.120000             4             0
2.19          262                1                  0    1        32        23        1         0         5         10000     10000     10             50          0           0           16            .029068      NA          .001925           1.019928            1.019923           1.050000             4             0
2.11          264                1                  0    1        32        23        1         0         5         10000     10000     10             50          1           0           16            .083268      .000826     .001087           1.018755            1.018750           1.100000             4             0
2.24          261                1                  0    1        32        23        1         0         5         10000     10000     10             50          0           0           16            .026956      NA          .001202           1.021664            1.021658           1.050000             4             0
2.23          265                1                  0    1        32        23        1         0         5         10000     10000     10             50          1           0           16            .076363      .000362     .001415           1.027689            1.027685           1.100000             4             0
2.05          261                1                  0    1        32        23        1         0         5         10000     10000     20             50          0           0           16            .074349      NA          .001888           2.017089            2.017085           2.090000             4             0
2.44          264                1                  0    1        32        23        1         0         5         10000     10000     20             50          1           0           16            .152231      .000323     .001631           2.037696            2.037691           2.190000             4             0
2.06          261                1                  0    1        32        23        1         0         5         10000     10000     20             50          0           0           16            .059217      NA          .001866           2.019399            2.019394           2.080000             4             0
2.21          264                1                  0    1        32        23        1         0         5         10000     10000     20             50          1           0           16            .142368      .000347     .001494           2.021751            2.021746           2.160000             4             0
2.34          262                1                  0    1        32        23        1         0         5         10000     10000     20             50          0           0           16            .065492      NA          .002659           2.018040            2.018035           2.080000             4             0
2.26          264                1                  0    1        32        23        1         0         5         10000     10000     20             50          1           0           16            .143724      .000391     .001142           2.021051            2.021048           2.160000             4             0
2.29          262                1                  0    1        32        23        1         0         5         10000     10000     20             50          0           0           16            .067465      NA          .001726           2.019943            2.019939           2.090000             4             0
2.25          265                1                  0    1        32        23        1         0         5         10000     10000     20             50          1           0           16            .143462      .000414     .001478           2.017228            2.017225           2.160000             4             0
2.26          262                1                  0    1        32        23        1         0         5         10000     10000     20             50          0           0           16            .061112      NA          .002012           2.017315            2.017310           2.080000             4             0
2.08          265                1                  0    1        32        23        1         0         5         10000     10000     20             50          1           0           16            .153054      .000401     .001382           2.021117            2.021114           2.170000             4             0
2.26          261                1                  0    1        32        23        1         0         5         10000     10000     30             50          0           0           16            .089545      NA          .001811           3.019443            3.019437           3.110000             4             0
2.21          264                1                  0    1        32        23        1         0         5         10000     10000     30             50          1           0           16            .230858      .000453     .001316           3.021127            3.021122           3.250000             4             0
2.19          262                1                  0    1        32        23        1         0         5         10000     10000     30             50          0           0           16            .091181      NA          .002176           3.017871            3.017866           3.110000             4             0
2.32          264                1                  0    1        32        23        1         0         5         10000     10000     30             50          1           0           16            .219863      .000400     .001530           3.047714            3.047710           3.270000             4             0
