comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             10          0           1           2             .001924      NA          .000145           .018094             .026959            .027916              3             21
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             100         0           1           2             .001934      NA          .000147           .018017             .026863            .028750              3             19
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             1000        0           1           2             .001979      NA          .000188           .018577             .026999            .029166              4             22
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             10000       0           1           2             .001914      NA          .000408           .022223             .031790            .032916              6             37
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             100000      0           1           2             .001355      NA          .002123           .043417             .059235            .060833              31            90
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             1000000     0           1           2             .002297      NA          .016766           .343661             .533015            .535416              282           77
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             10          0           1           2             .001905      NA          .000149           .017695             .026949            .029166              3             20
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             100         0           1           2             .001006      NA          .000143           .018015             .026750            .027916              3             21
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             1000        0           1           2             .000966      NA          .000165           .018591             .027306            .028333              4             22
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             10000       0           1           2             .001919      NA          .000426           .022304             .031907            .033750              6             37
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             100000      0           1           2             .001963      NA          .002507           .043178             .061611            .063750              32            100
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             1000000     0           1           2             .002440      NA          .016343           .347134             .570429            .571666              281           70
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             10          0           1           2             .001330      NA          .000145           .017823             .026482            .027916              3             21
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             100         0           1           2             .001674      NA          .000146           .017647             .026126            .027916              3             21
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             1000        0           1           2             .001075      NA          .000177           .018599             .027356            .028333              4             22
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             10000       0           1           2             .001034      NA          .000397           .022430             .031992            .033333              6             36
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             100000      0           1           2             .001648      NA          .002541           .045056             .058145            .060000              33            108
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             1000000     0           1           2             .002062      NA          .016321           .355961             .570920            .572916              284           70
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             10          0           1           2             .001658      NA          .000139           .017641             .026109            .027916              3             20
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             100         0           1           2             .001260      NA          .000148           .017833             .026511            .027916              3             21
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             1000        0           1           2             .001646      NA          .000176           .018428             .026987            .028750              4             21
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             10000       0           1           2             .001238      NA          .000405           .022353             .031631            .032916              6             37
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             100000      0           1           2             .001485      NA          .002490           .043822             .059825            .061250              31            104
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             1000000     0           1           2             .002329      NA          .016620           .348327             .527187            .529583              283           77
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             10          0           1           2             .001330      NA          .000140           .017835             .026602            .027916              3             19
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             100         0           1           2             .001932      NA          .000151           .018013             .026879            .027916              3             21
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             1000        0           1           2             .001930      NA          .000156           .018550             .027007            .028750              4             21
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             10000       0           1           2             .001917      NA          .000433           .022350             .031748            .033750              7             38
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             100000      0           1           2             .001431      NA          .002272           .043352             .058784            .060416              31            97
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     10             1000             1000000     0           1           2             .002297      NA          .016201           .361402             .548918            .551250              284           72
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             10          0           1           2             .001093      NA          .000044           .004528             .006716            .007916              3             41
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             100         0           1           2             .001914      NA          .000051           .004276             .006678            .007916              3             43
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             1000        0           1           2             .001541      NA          .000065           .004628             .006819            .008333              7             43
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             10000       0           1           2             .001283      NA          .000237           .007371             .010443            .011666              5             65
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             100000      0           1           2             .001940      NA          .001669           .023913             .031718            .033750              22            128
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             1000000     0           1           2             .002264      NA          .012275           .225933             .390864            .393333              216           76
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             10          0           1           2             .000998      NA          .000051           .004560             .006629            .007500              3             44
0.03          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             100         0           1           2             .001590      NA          .000058           .004320             .006522            .008333              3             44
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             1000        0           1           2             .001900      NA          .000064           .004634             .006778            .008750              6             43
0.03          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             10000       0           1           2             .001352      NA          .000275           .007426             .010411            .011666              5             75
0.03          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             100000      0           1           2             .001236      NA          .001733           .027574             .058818            .060000              22            74
0.01          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             1000000     0           1           2             .002155      NA          .011842           .222214             .359970            .361666              196           81
0.03          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             10          0           1           2             .001913      NA          .000056           .004470             .006713            .008750              3             39
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             100         0           1           2             .000972      NA          .000045           .004601             .006689            .007916              3             41
0.02          3                  1                  0    4        256       404       1         1         5         10000     10000     10             1000             1000        0           1           2             .001079      NA          .000078           .004745             .006802            .007916              4             52
