comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.36;227;1;0;1;256;2;1;0;1;0;0;1000000;0;0;0.007326;NA;0.126659;0.102080;0.102078;0.11;186;115
1.34;225;1;0;1;256;2;1;0;2;0;0;1000000;0;0;0.003482;NA;0.078156;0.073539;0.073537;0.09;125;92
1.32;225;1;0;1;256;2;1;0;3;0;0;1000000;0;0;0.000862;NA;0.069670;0.075588;0.075587;0.08;64;86
1.36;226;1;0;1;256;2;1;0;4;0;0;1000000;0;0;0.002149;NA;0.086047;0.101919;0.101918;0.11;95;83
1.34;225;1;0;1;256;2;1;0;5;0;0;1000000;0;0;0.000914;NA;0.076317;0.081464;0.081463;0.09;95;83
1.34;228;1;0;1;256;2;1;0;6;0;0;1000000;0;0;0.000019;NA;0.009115;0.008782;0.008780;0.01;34;72
1.36;227;1;0;5;256;2;1;0;1;0;0;1000000;0;0;.001343;NA;.024255;.024288;.024288;.028000;186;440
1.36;225;1;0;5;256;2;1;0;2;0;0;1000000;0;0;.000612;NA;.014842;.019758;.019757;.022000;125;340
1.34;225;1;0;5;256;2;1;0;3;0;0;1000000;0;0;.000194;NA;.013781;.020449;.020448;.024000;64;295
1.35;225;1;0;5;256;2;1;0;4;0;0;1000000;0;0;.000326;NA;.016015;.027436;.027436;.032000;98;252
1.37;226;1;0;5;256;2;1;0;5;0;0;1000000;0;0;.000189;NA;.013185;.017758;.017758;.022000;94;296
1.36;226;1;0;5;256;2;1;0;6;0;0;1000000;0;0;.000014;NA;.001827;.001706;.001706;.002000;33;315
1.33;227;1;0;10;256;2;1;0;1;0;0;1000000;0;0;.000666;NA;.011252;.014523;.014523;.017000;186;683
1.36;226;1;0;10;256;2;1;0;2;0;0;1000000;0;0;.000325;NA;.007321;.012555;.012555;.014000;125;543
1.34;226;1;0;10;256;2;1;0;3;0;0;1000000;0;0;.000094;NA;.005491;.010529;.010529;.015000;64;380
1.33;226;1;0;10;256;2;1;0;4;0;0;1000000;0;0;.000183;NA;.007846;.021133;.021133;.026000;94;314
1.32;226;1;0;10;256;2;1;0;5;0;0;1000000;0;0;.000095;NA;.006244;.010925;.010925;.015000;94;425
1.36;226;1;0;10;256;2;1;0;6;0;0;1000000;0;0;.000006;NA;.000859;.000797;.000796;.001000;33;552
1.35;230;1;0;15;256;2;1;0;1;0;0;1000000;0;0;.000463;NA;.007885;.013580;.013580;.015333;187;835
1.34;226;1;0;15;256;2;1;0;2;0;0;1000000;0;0;.000212;NA;.004281;.011123;.011123;.012666;125;523
1.34;226;1;0;15;256;2;1;0;3;0;0;1000000;0;0;.000061;NA;.004019;.009560;.009560;.013333;64;463
1.35;225;1;0;15;256;2;1;0;4;0;0;1000000;0;0;.000101;NA;.005332;.019531;.019531;.024666;94;337
1.36;226;1;0;15;256;2;1;0;5;0;0;1000000;0;0;.000064;NA;.003920;.010236;.010236;.013333;95;457
1.33;226;1;0;15;256;2;1;0;6;0;0;1000000;0;0;.000004;NA;.000636;.000607;.000607;.001333;33;600
1.36;226;1;0;20;256;2;1;0;1;0;0;1000000;0;0;.000302;NA;.006662;.012837;.012837;.014000;187;983
1.37;227;1;0;20;256;2;1;0;2;0;0;1000000;0;0;.000150;NA;.003351;.010745;.010745;.012500;125;557
1.33;226;1;0;20;256;2;1;0;3;0;0;1000000;0;0;.000041;NA;.002553;.009641;.009641;.012000;64;430
1.35;226;1;0;20;256;2;1;0;4;0;0;1000000;0;0;.000083;NA;.003578;.019622;.019622;.023000;94;319
1.34;225;1;0;20;256;2;1;0;5;0;0;1000000;0;0;.000044;NA;.002920;.010005;.010005;.013000;94;473
1.35;225;1;0;20;256;2;1;0;6;0;0;1000000;0;0;.000003;NA;.000518;.000498;.000498;.001500;33;812
1.36;227;1;0;25;256;2;1;0;1;0;0;1000000;0;0;.000259;NA;.005474;.012331;.012331;.013600;187;1051
1.37;226;1;0;25;256;2;1;0;2;0;0;1000000;0;0;.000120;NA;.003022;.010581;.010581;.012400;126;649
1.36;227;1;0;25;256;2;1;0;3;0;0;1000000;0;0;.000031;NA;.001963;.008946;.008946;.012000;64;427
1.36;227;1;0;25;256;2;1;0;4;0;0;1000000;0;0;.000068;NA;.002853;.018052;.018052;.022800;94;323
1.37;225;1;0;25;256;2;1;0;5;0;0;1000000;0;0;.000033;NA;.002088;.009520;.009520;.012000;94;445
1.36;225;1;0;25;256;2;1;0;6;0;0;1000000;0;0;.000002;NA;.000423;.000407;.000407;.000800;33;1041
1.36;226;1;0;30;256;2;1;0;1;0;0;1000000;0;0;.000213;NA;.004948;.012101;.012101;.013666;187;1152
1.34;226;1;0;30;256;2;1;0;2;0;0;1000000;0;0;.000104;NA;.002784;.010669;.010669;.012333;125;713
1.35;225;1;0;30;256;2;1;0;3;0;0;1000000;0;0;.000028;NA;.001755;.009523;.009523;.012333;65;448
1.36;227;1;0;30;256;2;1;0;4;0;0;1000000;0;0;.000057;NA;.002393;.017714;.017714;.022666;94;331
1.34;226;1;0;30;256;2;1;0;5;0;0;1000000;0;0;.000026;NA;.001887;.009184;.009184;.012000;95;490
1.34;226;1;0;30;256;2;1;0;6;0;0;1000000;0;0;.000001;NA;.000411;.000395;.000395;.001000;33;1250
1.35;226;1;0;35;256;2;1;0;1;0;0;1000000;0;0;.000174;NA;.004732;.011914;.011914;.013142;186;1325
1.34;225;1;0;35;256;2;1;0;2;0;0;1000000;0;0;.000091;NA;.002514;.010165;.010165;.012285;126;758
1.33;226;1;0;35;256;2;1;0;3;0;0;1000000;0;0;.000021;NA;.001400;.009408;.009408;.011714;63;433
1.33;226;1;0;35;256;2;1;0;4;0;0;1000000;0;0;.000045;NA;.001989;.017992;.017992;.022285;94;323
1.36;226;1;0;35;256;2;1;0;5;0;0;1000000;0;0;.000022;NA;.001728;.009291;.009291;.011714;95;528
1.35;226;1;0;35;256;2;1;0;6;0;0;1000000;0;0;.000001;NA;.000400;.000390;.000390;.000857;33;1803
1.34;226;1;0;40;256;2;1;0;1;0;0;1000000;0;0;.000184;NA;.004210;.011785;.011785;.013250;187;1333
1.37;226;1;0;40;256;2;1;0;2;0;0;1000000;0;0;.000070;NA;.002449;.009944;.009944;.011750;125;863
1.37;227;1;0;40;256;2;1;0;3;0;0;1000000;0;0;.000020;NA;.001259;.008873;.008873;.011500;64;454
1.37;227;1;0;40;256;2;1;0;4;0;0;1000000;0;0;.000038;NA;.001991;.016915;.016915;.022250;94;371
1.35;227;1;0;40;256;2;1;0;5;0;0;1000000;0;0;.000017;NA;.001682;.008526;.008526;.011750;95;585
1.35;226;1;0;40;256;2;1;0;6;0;0;1000000;0;0;.000001;NA;.000328;.000328;.000328;.000750;33;1900
