comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     1              10          0           1           2             .000404      NA          .000053           .002708             .002755            .003333              3             104
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              100         0           1           2             .000340      NA          .000051           .002677             .002740            .003333              3             101
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     1              1000        0           1           2             .000405      NA          .000078           .002712             .002761            .003333              4             117
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              10000       0           1           2             .000411      NA          .000246           .003361             .003678            .004166              6             198
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     1              100000      0           1           2             .000759      NA          .002061           .005098             .005925            .006666              32            767
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              1000000     0           1           2             .001008      NA          .015151           .018309             .019853            .020416              270           1813
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     1              10          0           1           2             .000740      NA          .000054           .002759             .002812            .003750              3             90
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     1              100         0           1           2             .000410      NA          .000058           .002738             .002771            .003333              4             109
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     1              1000        0           1           2             .000722      NA          .000077           .002760             .002779            .003750              4             105
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     1              10000       0           1           2             .000417      NA          .000262           .003465             .003722            .004166              6             197
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     1              100000      0           1           2             .000463      NA          .001874           .005114             .005821            .006250              33            744
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     1              1000000     0           1           2             .001070      NA          .015145           .017865             .020631            .021666              271           1711
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     1              10          0           1           2             .000323      NA          .000053           .002715             .002751            .003333              3             103
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              100         0           1           2             .000365      NA          .000062           .002682             .002735            .003333              3             114
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              1000        0           1           2             .000727      NA          .000085           .002841             .002944            .003750              4             108
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     1              10000       0           1           2             .000417      NA          .000289           .003403             .003581            .004166              6             223
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     1              100000      0           1           2             .000439      NA          .001957           .004997             .005726            .006250              32            792
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     1              1000000     0           1           2             .001277      NA          .014895           .017971             .020938            .022083              268           1666
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     2              10          0           1           2             .000658      NA          .000066           .005466             .005728            .006666              3             61
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     2              100         0           1           2             .000551      NA          .000074           .005313             .005424            .006250              3             66
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     2              1000        0           1           2             .000573      NA          .000086           .005337             .005433            .006250              4             70
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     2              10000       0           1           2             .000324      NA          .000253           .006532             .006853            .007083              6             113
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     2              100000      0           1           2             .000632      NA          .001951           .008071             .008418            .009166              31            564
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     2              1000000     0           1           2             .001494      NA          .016202           .018713             .019504            .020833              259           1902
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     2              10          0           1           2             .000376      NA          .000060           .005368             .005411            .005833              3             59
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     2              100         0           1           2             .000337      NA          .000063           .005377             .005432            .005833              6             64
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     2              1000        0           1           2             .000566      NA          .000085           .005408             .005473            .005833              4             72
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     2              10000       0           1           2             .000602      NA          .000300           .006562             .006921            .007500              6             126
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     2              100000      0           1           2             .000629      NA          .001895           .007916             .008309            .009166              31            541
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     2              1000000     0           1           2             .001066      NA          .015465           .018428             .019529            .020416              262           1842
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     2              10          0           1           2             .000600      NA          .000064           .005501             .005593            .006250              3             62
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     2              100         0           1           2             .000604      NA          .000064           .005420             .005486            .006250              3             60
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     2              1000        0           1           2             .000319      NA          .000085           .005386             .005432            .005833              4             72
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     2              10000       0           1           2             .000580      NA          .000282           .006544             .006961            .007500              6             121
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     2              100000      0           1           2             .000727      NA          .002076           .008002             .008259            .009166              31            596
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     2              1000000     0           1           2             .001303      NA          .015544           .018408             .019476            .020416              259           1879
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     4              10          0           1           2             .000907      NA          .000084           .010816             .010954            .012083              3             35
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     4              100         0           1           2             .000985      NA          .000090           .010872             .011053            .012083              4             36
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     4              1000        0           1           2             .000565      NA          .000124           .010756             .011005            .011666              4             46
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     4              10000       0           1           2             .000734      NA          .000351           .012994             .013683            .014583              6             76
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     4              100000      0           1           2             .000959      NA          .001953           .014702             .015345            .016250              32            314
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     4              1000000     0           1           2             .001513      NA          .015149           .024503             .025277            .026666              263           1409
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     4              10          0           1           2             .000750      NA          .000092           .010694             .010812            .011666              3             38
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     4              100         0           1           2             .000789      NA          .000080           .010588             .010791            .011666              3             35
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     4              1000        0           1           2             .000905      NA          .000117           .010597             .010824            .011666              4             41
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     4              10000       0           1           2             .001009      NA          .000335           .013230             .014008            .015000              6             68
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     4              100000      0           1           2             .000746      NA          .002027           .014817             .015589            .016666              31            319
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     4              1000000     0           1           2             .001690      NA          .015109           .024623             .025124            .026666              261           1406
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     4              10          0           1           2             .000646      NA          .000085           .010696             .010811            .011666              3             37
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     4              100         0           1           2             .000672      NA          .000092           .010701             .010805            .011666              3             38
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     4              1000        0           1           2             .001068      NA          .000121           .010750             .010860            .012083              4             41
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     4              10000       0           1           2             .000915      NA          .000305           .013031             .013648            .014583              6             67
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     4              100000      0           1           2             .000831      NA          .002084           .014768             .015280            .016250              32            339
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     4              1000000     0           1           2             .001444      NA          .015463           .024252             .024956            .026250              262           1452
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     8              10          0           1           2             .001341      NA          .000150           .021382             .021591            .022916              3             25
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     8              100         0           1           2             .001643      NA          .000147           .021734             .021890            .023750              3             24
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     8              1000        0           1           2             .001036      NA          .000181           .021436             .021585            .022500              4             30
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     8              10000       0           1           2             .001244      NA          .000453           .026090             .027149            .028333              6             47
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     8              100000      0           1           2             .001631      NA          .002187           .029209             .029964            .031666              31            177
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     8              1000000     0           1           2             .002051      NA          .014885           .044333             .046253            .047916              261           769
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     8              10          0           1           2             .001502      NA          .000128           .021154             .021521            .023333              3             23
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     8              100         0           1           2             .001600      NA          .000157           .021731             .021877            .023750              3             26
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     8              1000        0           1           2             .001511      NA          .000173           .021160             .021543            .023333              5             27
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     8              10000       0           1           2             .001614      NA          .000411           .025681             .026434            .028333              6             44
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     8              100000      0           1           2             .001629      NA          .002315           .029363             .030609            .031666              31            185
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     8              1000000     0           1           2             .002081      NA          .014823           .044804             .047809            .050000              265           731
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     8              10          0           1           2             .001592      NA          .000155           .021742             .021894            .023750              3             25
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     8              100         0           1           2             .001614      NA          .000157           .021678             .021856            .023750              3             26
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     8              1000        0           1           2             .001153      NA          .000166           .021805             .022060            .023333              4             26
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     8              10000       0           1           2             .001596      NA          .000426           .026117             .027085            .028750              6             43
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     8              100000      0           1           2             .001329      NA          .002149           .029115             .030187            .031666              31            177
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     8              1000000     0           1           2             .002144      NA          .014865           .044778             .046183            .047916              261           766
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     16             10          0           1           2             .002163      NA          .000181           .042796             .043108            .045416              3             14
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     16             100         0           1           2             .002508      NA          .000202           .042885             .043202            .045833              3             15
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     16             1000        0           1           2             .002119      NA          .000218           .042895             .044324            .046666              4             16
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     16             10000       0           1           2             .002020      NA          .000521           .052424             .054098            .056250              6             27
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     16             100000      0           1           2             .002013      NA          .002521           .058013             .060863            .062916              31            102
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     16             1000000     0           1           2             .003080      NA          .015197           .088170             .092004            .095000              262           398
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     16             10          0           1           2             .001951      NA          .000205           .042971             .043210            .045416              3             16
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     16             100         0           1           2             .001989      NA          .000217           .042919             .043189            .045416              3             17
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     16             1000        0           1           2             .002441      NA          .000239           .042852             .043111            .045833              4             17
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     16             10000       0           1           2             .002553      NA          .000535           .051740             .053962            .056666              6             26
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     16             100000      0           1           2             .002468      NA          .002505           .058446             .061434            .064166              31            100
0.03          3                  1                  0    4        256       404       1         0         5         10000     10000     16             1000000     0           1           2             .003506      NA          .014908           .088263             .091264            .093750              262           395
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     16             10          0           1           2             .002496      NA          .000215           .042875             .043253            .045833              3             16
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     16             100         0           1           2             .002039      NA          .000201           .042882             .043146            .045416              3             16
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     16             1000        0           1           2             .002512      NA          .000245           .042804             .043119            .045833              4             17
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     16             10000       0           1           2             .002481      NA          .000524           .052088             .054001            .056666              6             26
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     16             100000      0           1           2             .002099      NA          .002561           .058087             .060715            .062916              31            104
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     16             1000000     0           1           2             .003365      NA          .014976           .088282             .091490            .093750              263           397
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     32             10          0           1           2             .004426      NA          .000222           .085341             .085825            .090416              3             8
0.02          3                  1                  0    4        256       404       1         0         5         10000     10000     32             100         0           1           2             .004508      NA          .000194           .085346             .085957            .090416              3             7
0.01          3                  1                  0    4        256       404       1         0         5         10000     10000     32             1000        0           1           2             .004547      NA          .000240           .085329             .085848            .090416              7             9
