comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              0                1           0           1           0               1             .000402      NA          .000118           .000179             .000283            .000833              6             904
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              0                1           0           1           0               1             .000400      NA          .000140           .000171             .000226            .000833              6             990
0.03          3                  1                  0    4        512       507       1         0         5         10000     10000     0              0                1           0           1           0               1             .000778      NA          .000118           .000283             .000373            .001250              6             543
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              0                1           0           1           0               1             .000399      NA          .000141           .000170             .000240            .000833              6             1000
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              0                1           0           1           0               1             .000369      NA          .000114           .000154             .000222            .000833              6             861
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              0                1           0           1           0               1             .000591      NA          .000089           .000245             .000307            .000833              6             581
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              0                1           0           1           0               1             .000380      NA          .000107           .000205             .000347            .000833              6             708
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              0                1           0           1           0               1             .000384      NA          .000115           .000136             .000170            .000833              6             930
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              0                1           0           1           0               1             .000390      NA          .000142           .000203             .000289            .000833              6             913
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     0              0                1           0           1           0               1             .000557      NA          .000136           .000167             .000262            .000833              6             913
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     25             0                1           0           1           0               1             .003382      NA          .000534           .066841             .067274            .070833              6             26
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     25             0                1           0           1           0               1             .003481      NA          .000541           .066832             .067275            .070833              6             25
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     25             0                1           0           1           0               1             .003378      NA          .000545           .066837             .067261            .070833              6             26
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     25             0                1           0           1           0               1             .003368      NA          .000546           .066823             .067221            .070833              6             25
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     25             0                1           0           1           0               1             .003310      NA          .000560           .066839             .067243            .070833              6             27
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     25             0                1           0           1           0               1             .003422      NA          .000576           .066887             .067312            .070833              6             27
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     25             0                1           0           1           0               1             .003253      NA          .000563           .066889             .067426            .070833              6             26
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     25             0                1           0           1           0               1             .003450      NA          .000564           .066870             .067303            .070833              6             26
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     25             0                1           0           1           0               1             .003274      NA          .000507           .066862             .067268            .070833              6             25
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     25             0                1           0           1           0               1             .003353      NA          .000511           .066852             .067266            .070833              5             24
0.02          3                  1                  0    4        512       507       1         0         5         10000     10000     50             0                1           0           1           0               1             .006274      NA          .000592           .133352             .134099            .140416              6             13
