program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     semihonest  shamir            3          0.34          29                 1                  4           0.0256545            0.12                 15            57         ~38           0.648352        1.13651
31       FIELD     semihonest  shamir            3          0.17          18                 1                  6           0.0291971            0.12                 15            58         ~54           0.652512        1.14474
31       FIELD     semihonest  shamir            3          0.17          18                 1                  8           0.0266232            0.11                 17            67         ~70           0.656672        1.15296
31       FIELD     semihonest  shamir            3          0.18          18                 1                  10          0.0351384            0.13                 15            57         ~86           0.660832        1.16118
31       FIELD     semihonest  shamir            3          0.17          18                 1                  12          0.029469             0.11                 15            66         ~102          0.664992        1.16941
31       FIELD     semihonest  shamir            3          0.17          18                 1                  14          0.0344547            0.13                 15            69         ~118          0.669152        1.17763
31       FIELD     malhonest   malicious-shamir  3          0.34          29                 1                  4           0.116839             0.19                 22            81         ~50           3.53675         8.21002
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  6           0.143685             0.23                 21            80         ~64           3.54494         8.23446
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  8           0.11035              0.19                 22            78         ~78           3.55314         8.25891
31       FIELD     malhonest   malicious-shamir  3          0.18          18                 1                  10          0.112712             0.19                 22            75         ~92           3.56133         8.28336
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  12          0.123662             0.21                 21            85         ~106          3.56952         8.30781
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  14          0.142667             0.23                 22            73         ~120          3.57771         8.33226
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  4           0.0101847            0.10                 15            48         ~35           0.082488        0.247408
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  6           0.0120322            0.09                 15            48         ~49           0.083528        0.250496
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  8           0.0135155            0.09                 17            47         ~63           0.084568        0.253584
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  10          0.0146961            0.10                 15            56         ~77           0.085608        0.256672
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  12          0.015238             0.10                 15            41         ~91           0.086648        0.25976
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  14          0.0186694            0.10                 15            52         ~105          0.087688        0.262848
