comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.72          289                1                  0    1        1         58        1         0         3         10000     10000     30             1           0           0           16            .090934      NA          .011923           77.365702           77.365697          77.460000            4             0
2.76          290                1                  0    1        1         58        1         0         3         10000     10000     30             1           0           0           16            .094957      NA          .010258           77.365074           77.365069          77.460000            4             0
2.60          289                1                  0    1        1         58        1         0         3         10000     10000     40             1           0           0           16            .120896      NA          .011617           102.960970          102.960962         103.080000           4             0
2.58          289                1                  0    1        1         58        1         0         3         10000     10000     40             1           0           0           16            .134759      NA          .008849           102.964718          102.964713         103.100000           4             0
2.72          289                1                  0    1        1         58        1         0         3         10000     10000     40             1           0           0           16            .121160      NA          .013497           102.962759          102.962753         103.080000           4             0
2.59          289                1                  0    1        1         58        1         0         3         10000     10000     40             1           0           0           16            .121411      NA          .008807           102.958289          102.958284         103.080000           4             0
2.58          290                1                  0    1        1         58        1         0         3         10000     10000     40             1           0           0           16            .125954      NA          .011137           102.967911          102.967906         103.090000           4             0
2.58          289                1                  0    1        1         58        1         0         3         10000     10000     50             1           0           0           16            .150132      NA          .008566           128.568221          128.568216         128.720000           4             0
2.80          290                1                  0    1        1         58        1         0         3         10000     10000     50             1           0           0           16            .147905      NA          .010781           128.560909          128.560902         128.710000           4             0
2.57          290                1                  0    1        1         58        1         0         3         10000     10000     50             1           0           0           16            .154959      NA          .009374           128.554615          128.554612         128.710000           4             0
2.74          290                1                  0    1        1         58        1         0         3         10000     10000     50             1           0           0           16            .151946      NA          .010284           128.555813          128.555809         128.710000           4             0
2.76          289                1                  0    1        1         58        1         0         3         10000     10000     50             1           0           0           16            .154393      NA          .010245           128.531823          128.531816         128.690000           4             0
2.74          289                1                  0    1        1         58        1         0         3         10000     10000     60             1           0           0           16            .182174      NA          .012128           154.162645          154.162636         154.340000           4             0
2.58          290                1                  0    1        1         58        1         0         3         10000     10000     60             1           0           0           16            .182292      NA          .010556           154.166604          154.166599         154.350000           4             0
2.69          290                1                  0    1        1         58        1         0         3         10000     10000     60             1           0           0           16            .179085      NA          .010464           154.163564          154.163559         154.340000           4             0
2.59          290                1                  0    1        1         58        1         0         3         10000     10000     60             1           0           0           16            .177421      NA          .011668           154.162262          154.162257         154.340000           4             0
2.57          289                1                  0    1        1         58        1         0         3         10000     10000     60             1           0           0           16            .179755      NA          .009557           154.097955          154.097950         154.280000           4             0
3.29          301                1                  0    1        1         58        1         0         5         10000     10000     10             1           0           0           16            .026723      NA          .008369           26.147181           26.147173          26.170000            4             0
3.29          302                1                  0    1        1         58        1         0         5         10000     10000     10             1           0           0           16            .034211      NA          .009261           26.163549           26.163544          26.200000            4             0
3.13          301                1                  0    1        1         58        1         0         5         10000     10000     10             1           0           0           16            .031509      NA          .008814           26.158300           26.158295          26.190000            4             0
3.15          303                1                  0    1        1         58        1         0         5         10000     10000     10             1           0           0           16            .032669      NA          .008184           26.164218           26.164213          26.200000            4             0
3.15          300                1                  0    1        1         58        1         0         5         10000     10000     10             1           0           0           16            .032012      NA          .008466           26.161124           26.161120          26.190000            4             0
3.12          303                1                  0    1        1         58        1         0         5         10000     10000     20             1           0           0           16            .074268      NA          .011485           51.763975           51.763970          51.840000            4             0
3.12          301                1                  0    1        1         58        1         0         5         10000     10000     20             1           0           0           16            .064894      NA          .014687           51.705228           51.705223          51.770000            6             0
3.28          302                1                  0    1        1         58        1         0         5         10000     10000     20             1           0           0           16            .065494      NA          .010564           51.756788           51.756783          51.820000            4             0
3.15          302                1                  0    1        1         58        1         0         5         10000     10000     20             1           0           0           16            .057937      NA          .007609           51.756121           51.756116          51.810000            4             0
3.29          302                1                  0    1        1         58        1         0         5         10000     10000     20             1           0           0           16            .064184      NA          .008796           51.756143           51.756138          51.820000            4             0
3.45          300                1                  0    1        1         58        1         0         5         10000     10000     30             1           0           0           16            .089890      NA          .011786           77.365325           77.365320          77.460000            4             0
3.37          302                1                  0    1        1         58        1         0         5         10000     10000     30             1           0           0           16            .104259      NA          .009266           77.358369           77.358365          77.460000            4             0
3.10          305                1                  0    1        1         58        1         0         5         10000     10000     30             1           0           0           16            .091518      NA          .008787           77.366434           77.366429          77.460000            4             0
3.26          300                1                  0    1        1         58        1         0         5         10000     10000     30             1           0           0           16            .096170      NA          .010971           77.288617           77.288610          77.380000            4             0
3.23          301                1                  0    1        1         58        1         0         5         10000     10000     30             1           0           0           16            .091949      NA          .010123           77.367813           77.367809          77.460000            4             0
3.21          302                1                  0    1        1         58        1         0         5         10000     10000     40             1           0           0           16            .120700      NA          .010509           102.966439          102.966431         103.090000           4             0
3.11          300                1                  0    1        1         58        1         0         5         10000     10000     40             1           0           0           16            .133750      NA          .007637           102.963369          102.963365         103.100000           4             0
3.07          301                1                  0    1        1         58        1         0         5         10000     10000     40             1           0           0           16            .120696      NA          .009158           102.964501          102.964496         103.080000           4             0
3.12          301                1                  0    1        1         58        1         0         5         10000     10000     40             1           0           0           16            .122097      NA          .013934           102.964212          102.964204         103.080000           4             0
3.10          302                1                  0    1        1         58        1         0         5         10000     10000     40             1           0           0           16            .123649      NA          .013281           102.971823          102.971816         103.090000           4             0
3.24          301                1                  0    1        1         58        1         0         5         10000     10000     50             1           0           0           16            .152876      NA          .014360           128.559585          128.559580         128.710000           4             0
3.12          301                1                  0    1        1         58        1         0         5         10000     10000     50             1           0           0           16            .146647      NA          .011607           128.564395          128.564387         128.710000           4             0
