program;protocol;partysize;input_size;runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
multiplication;arithmetic_gmw;4;1000000;15462.454;23.91;21930;176;621.829;621.829;514;514;5910.143;2434.724;0.000;0.000;0.000;0.000;0.000;Setup;Extension;14919.856;0.004;533.629
multiplication;arithmetic_gmw;4;1000000;15673.832;24.73;21868;175;621.829;621.829;514;514;5991.157;2543.619;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15073.471;0.005;591.497
multiplication;arithmetic_gmw;4;1000000;15854.645;24.49;21930;174;621.829;621.829;514;514;6079.530;2994.210;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15369.846;0.004;472.076
multiplication;arithmetic_gmw;4;1000000;15518.719;24.24;21922;178;621.829;621.829;514;514;5904.405;2421.285;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15215.084;0.004;297.000
multiplication;arithmetic_gmw;4;1000000;15274.877;24.36;21922;175;621.829;621.829;514;514;6148.484;2518.515;0.000;0.000;0.000;0.000;0.000;Setup;Extension;14814.918;0.005;452.912
multiplication;arithmetic_gmw;4;1000000;15858.977;24.75;21930;176;621.829;621.829;514;514;5592.742;2481.704;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15681.623;0.005;167.611
multiplication;arithmetic_gmw;4;1000000;15638.701;23.91;21928;180;621.829;621.829;514;514;6176.715;2661.114;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15287.447;0.003;344.235
multiplication;arithmetic_gmw;4;1000000;15763.483;24.86;21983;178;621.829;621.829;514;514;5921.865;2646.521;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15316.916;0.005;434.662
multiplication;arithmetic_gmw;4;1000000;15904.085;24.89;21929;184;621.829;621.829;514;514;6229.905;2678.716;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15747.407;0.005;143.005
multiplication;arithmetic_gmw;4;1000000;15592.057;24.86;21867;176;621.829;621.829;514;514;5946.954;2489.100;0.000;0.000;0.000;0.000;0.000;Setup;Extension;15355.373;0.005;229.464
