program         protocol        partysize  input_size  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec
multiplication  arithmetic_gmw  4          1000000     15462.454             23.91                21930         176        621.829          621.829         514              514
multiplication  arithmetic_gmw  4          1000000     15673.832             24.73                21868         175        621.829          621.829         514              514
multiplication  arithmetic_gmw  4          1000000     15854.645             24.49                21930         174        621.829          621.829         514              514
multiplication  arithmetic_gmw  4          1000000     15518.719             24.24                21922         178        621.829          621.829         514              514
multiplication  arithmetic_gmw  4          1000000     15274.877             24.36                21922         175        621.829          621.829         514              514
multiplication  arithmetic_gmw  4          1000000     15858.977             24.75                21930         176        621.829          621.829         514              514
multiplication  arithmetic_gmw  4          1000000     15638.701             23.91                21928         180        621.829          621.829         514              514
multiplication  arithmetic_gmw  4          1000000     15763.483             24.86                21983         178        621.829          621.829         514              514
multiplication  arithmetic_gmw  4          1000000     15904.085             24.89                21929         184        621.829          621.829         514              514
multiplication  arithmetic_gmw  4          1000000     15592.057             24.86                21867         176        621.829          621.829         514              514
