program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest     replicated-field  3          2.19          139                1                  0              1000000     0.0606682            0.29                 220           257%       ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0566459            0.29                 212           240%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0621561            0.29                 222           236%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0617676            0.31                 215           235%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0627721            0.31                 218           219%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0644361            0.31                 219           236%       ~20           16.0002         48.0005          0.28             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0615499            0.31                 219           226%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0626218            0.27                 216           234%       ~20           16.0002         48.0005          0.19             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.065588             0.31                 219           238%       ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 0              1000000     0.0737622            0.33                 219           208%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.449286             2.61                 219           47%        ~20           16.0002         48.0005          0.35             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.442807             2.63                 217           46%        ~20           16.0002         48.0005          0.34             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.45342              2.62                 221           49%        ~20           16.0002         48.0005          0.33             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.456341             2.64                 213           46%        ~20           16.0002         48.0005          0.32             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.454739             2.63                 222           48%        ~20           16.0002         48.0005          0.36             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.453022             2.63                 223           44%        ~20           16.0002         48.0005          0.33             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.443545             2.62                 210           47%        ~20           16.0002         48.0005          0.33             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.447838             2.61                 214           48%        ~20           16.0002         48.0005          0.33             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.452685             2.64                 218           44%        ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 25             1000000     0.447528             2.63                 216           47%        ~20           16.0002         48.0005          0.36             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 50             1000000     0.793748             4.84                 210           25%        ~20           16.0002         48.0005          0.36             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 50             1000000     0.801995             4.85                 217           27%        ~20           16.0002         48.0005          0.34             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 50             1000000     0.789849             4.85                 215           26%        ~20           16.0002         48.0005          0.37             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 50             1000000     0.797946             4.86                 222           25%        ~20           16.0002         48.0005          0.33             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 50             1000000     0.70786              4.85                 214           25%        ~20           16.0002         48.0005          0.34             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 50             1000000     0.79723              4.85                 218           25%        ~20           16.0002         48.0005          0.32             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 50             1000000     0.808825             4.86                 219           26%        ~20           16.0002         48.0005          0.40             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 50             1000000     0.800255             4.85                 218           26%        ~20           16.0002         48.0005          0.32             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 50             1000000     0.804814             4.86                 214           25%        ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 50             1000000     0.804776             4.85                 210           26%        ~20           16.0002         48.0005          0.34             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 75             1000000     1.15596              7.07                 218           17%        ~20           16.0002         48.0005          0.35             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 75             1000000     1.14581              7.08                 217           17%        ~20           16.0002         48.0005          0.41             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 75             1000000     1.15333              7.07                 222           18%        ~20           16.0002         48.0005          0.34             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 75             1000000     1.15507              7.09                 213           17%        ~20           16.0002         48.0005          0.34             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 75             1000000     1.14436              7.07                 219           17%        ~20           16.0002         48.0005          0.33             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 75             1000000     1.15019              7.08                 220           17%        ~20           16.0002         48.0005          0.41             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 75             1000000     1.1507               7.08                 217           17%        ~20           16.0002         48.0005          0.32             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 75             1000000     1.1506               7.07                 218           19%        ~20           16.0002         48.0005          0.32             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 75             1000000     1.14376              7.08                 216           17%        ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 75             1000000     1.14573              7.07                 221           18%        ~20           16.0002         48.0005          0.36             on,threads             
51       RING      semidishonest  semi2k            3          2.05          140                1                  0              1000000     4.9274               5.16                 479           885%       ~18120        795.407         2370.22          20.05            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 0              1000000     6.27736              6.55                 470           981%       ~18120        795.407         2370.22          30.28            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 0              1000000     6.28376              6.57                 480           987%       ~18120        795.407         2370.22          30.48            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 0              1000000     6.35501              6.65                 471           977%       ~18120        795.407         2370.22          30.80            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 0              1000000     6.26474              6.58                 472           989%       ~18120        795.407         2370.22          30.87            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 0              1000000     6.21957              6.55                 478           989%       ~18120        795.407         2370.22          30.75            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 0              1000000     6.28604              6.58                 480           986%       ~18120        795.407         2370.22          30.67            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 0              1000000     6.37885              6.64                 471           998%       ~18120        795.407         2370.22          32.75            on,threads             
