comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     25000            1           0           1           1             .006961      NA          .032096           .853572             1.149805           1.157083             110           76
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     25000            1           0           1           1             .006960      NA          .028692           .666839             .903374            .910000              108           88
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     25000            1           0           1           1             .007897      NA          .029115           .500749             .702653            .707500              107           112
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     25000            1           0           1           1             .007109      NA          .031398           .857085             1.442933           1.447500             110           58
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     25000            1           0           1           1             .007164      NA          .030915           .901009             .903266            .910000              110           94
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     25000            1           0           1           1             .006909      NA          .031110           .902328             .920947            .925000              111           92
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     25000            1           0           1           1             .007194      NA          .029830           .805573             .904945            .912083              109           89
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     10000            1           0           1           1             .007349      NA          .031849           .906280             .928016            .932500              110           93
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     10000            1           0           1           1             .007290      NA          .032277           .908109             .952111            .957500              110           91
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     10000            1           0           1           1             .006943      NA          .034066           .900475             .932084            .938333              108           98
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     10000            1           0           1           1             .006722      NA          .031557           .737444             .905513            .912500              116           94
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     10000            1           0           1           1             .006968      NA          .033275           .527813             .778827            .783333              115           115
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     10000            1           0           1           1             .007513      NA          .031742           .797523             1.354998           1.359583             115           63
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     10000            1           0           1           1             .007037      NA          .032824           .887727             .909262            .913750              109           97
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     10000            1           0           1           1             .007010      NA          .032426           .904803             .907327            .913333              110           98
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     10000            1           0           1           1             .007104      NA          .032145           .838444             1.131651           1.138333             111           79
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     10000            1           0           1           1             .007030      NA          .032257           .822274             .973379            .980833              113           90
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     1000             1           0           1           1             .007173      NA          .037965           1.006602            1.052082           1.056666             118           97
0.03          3                  1                  0    4        512       530       1         0         5         10000     10000     1000             1           0           1           1             .007607      NA          .037161           .880254             1.043602           1.047916             120           95
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     1000             1           0           1           1             .007481      NA          .037202           .881618             1.005632           1.010833             118           98
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     1000             1           0           1           1             .007105      NA          .039620           .830230             1.005609           1.010000             120           104
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     1000             1           0           1           1             .007592      NA          .040477           .809574             1.005541           1.010416             117           106
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     1000             1           0           1           1             .007637      NA          .037113           .855293             1.211843           1.217500             122           82
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     1000             1           0           1           1             .007144      NA          .038808           1.005316            1.177922           1.182500             119           87
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     1000             1           0           1           1             .007531      NA          .041183           .923249             1.004965           1.010833             120           107
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     1000             1           0           1           1             .006954      NA          .040158           .842833             1.003689           1.009166             119           106
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     1000             1           0           1           1             .007601      NA          .039689           .966957             1.005123           1.009583             121           104
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     100              1           0           1           1             .007902      NA          .045668           1.817457            2.184647           2.189166             122           55
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     100              1           0           1           1             .007485      NA          .044525           1.960761            2.030646           2.035416             119           57
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     100              1           0           1           1             .007247      NA          .045428           1.863836            2.030351           2.037083             118           59
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     100              1           0           1           1             .007390      NA          .044607           1.812903            2.046351           2.050833             122           57
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     100              1           0           1           1             .007795      NA          .045225           1.809833            2.038264           2.046250             119           58
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     100              1           0           1           1             .007643      NA          .045230           1.840985            2.036259           2.040833             118           58
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     100              1           0           1           1             .007141      NA          .044637           1.932038            2.029501           2.034166             119           57
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     100              1           0           1           1             .007383      NA          .044417           1.863381            2.035244           2.039583             120           58
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     100              1           0           1           1             .006341      NA          .044662           1.945101            2.108418           2.112916             119           55
0.02          3                  1                  0    4        512       530       1         0         5         10000     10000     100              1           0           1           1             .004444      NA          .045323           1.796671            2.025216           2.029583             120           58
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     25000            1           0           1           1             .004595      NA          .030679           .917952             1.170372           1.175000             111           71
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     25000            1           0           1           1             .006908      NA          .030985           .881434             1.137194           1.141666             110           73
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     25000            1           0           1           1             .007109      NA          .031338           .806169             .906533            .913750              109           95
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     25000            1           0           1           1             .006990      NA          .030595           .756936             1.019360           1.023750             108           82
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     25000            1           0           1           1             .006900      NA          .030511           .671100             .941234            .945833              110           88
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     25000            1           0           1           1             .007059      NA          .030408           .772569             .937018            .941250              111           89
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     25000            1           0           1           1             .004114      NA          .031433           .898069             .937707            .942083              109           90
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     25000            1           0           1           1             .006852      NA          .031492           .903302             .906197            .913333              110           93
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     25000            1           0           1           1             .007366      NA          .030306           .771172             .904891            .910833              110           91
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     25000            1           0           1           1             .006931      NA          .029147           .900610             .904719            .912083              112           87
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     10000            1           0           1           1             .007108      NA          .031680           .907171             .933306            .937500              117           93
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     10000            1           0           1           1             .006977      NA          .032954           .875157             .908182            .913333              114           97
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     10000            1           0           1           1             .007113      NA          .031836           .763226             .909105            .914166              109           95
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     10000            1           0           1           1             .007581      NA          .031992           .466582             .695340            .702500              108           123
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     10000            1           0           1           1             .007446      NA          .031131           .758985             .909715            .916666              117           92
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     10000            1           0           1           1             .004643      NA          .032034           .921725             1.119741           1.124166             116           77
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     10000            1           0           1           1             .006948      NA          .031543           .907263             .910497            .917083              111           93
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     10000            1           0           1           1             .007144      NA          .030918           .810676             1.257177           1.261666             109           67
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     10000            1           0           1           1             .007080      NA          .031792           .907554             .935868            .940416              109           92
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     10000            1           0           1           1             .007173      NA          .031330           .906274             .907911            .914583              107           93
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     1000             1           0           1           1             .007089      NA          .038917           1.003511            1.007119           1.012500             121           102
0.01          3                  1                  0    4        512       531       1         0         5         10000     10000     1000             1           0           1           1             .007118      NA          .040676           .694306             1.003848           1.010416             118           107
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     1000             1           0           1           1             .007062      NA          .037921           .588871             .840531            .846250              116           119
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     1000             1           0           1           1             .007247      NA          .039986           .851634             1.008034           1.012916             122           106
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     1000             1           0           1           1             .007370      NA          .040783           1.004477            1.010127           1.014583             118           106
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     1000             1           0           1           1             .007265      NA          .039045           1.001942            1.006237           1.012083             120           103
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     1000             1           0           1           1             .004186      NA          .039691           .833049             1.008041           1.012500             118           103
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     1000             1           0           1           1             .007353      NA          .037892           .944002             1.004865           1.010416             119           101
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     1000             1           0           1           1             .007142      NA          .038465           1.003365            1.038304           1.042916             121           98
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     1000             1           0           1           1             .007412      NA          .038037           .979473             1.009537           1.014166             119           101
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     100              1           0           1           1             .007400      NA          .044871           1.808286            2.005300           2.010000             119           58
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     100              1           0           1           1             .007590      NA          .044828           1.805022            2.032309           2.040000             120           58
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     100              1           0           1           1             .007653      NA          .044910           1.769094            2.032765           2.038333             119           57
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     100              1           0           1           1             .007394      NA          .045059           1.982590            2.031494           2.036250             122           58
0.03          3                  1                  0    4        512       531       1         0         5         10000     10000     100              1           0           1           1             .007510      NA          .044991           1.806886            2.022361           2.027083             122           58
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     100              1           0           1           1             .007428      NA          .043852           1.954869            2.049499           2.057083             118           56
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     100              1           0           1           1             .007867      NA          .045002           1.911205            2.020381           2.025416             118           58
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     100              1           0           1           1             .007434      NA          .045060           1.799300            2.053090           2.057916             118           57
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     100              1           0           1           1             .007314      NA          .044563           1.769748            2.038968           2.043333             120           57
0.02          3                  1                  0    4        512       531       1         0         5         10000     10000     100              1           0           1           1             .007815      NA          .044191           1.849178            2.059907           2.067083             119           56
