comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    1        256       2         1         0         5         0         0         1000000     0           1           .000078      NA          .012655           .021580             .021580            .026666              125           291
0.02          3                  1                  0    1        256       2         1         0         5         0         0         1000000     0           2           .000014      NA          .002066           .003674             .003674            .006250              125           820
0.02          3                  1                  0    1        256       2         1         0         5         0         0         1000000     1           1           .000055      0.083969    .009198           .015643             .015643            .033333              126           263
0.01          3                  1                  0    1        256       2         1         0         5         0         0         1000000     1           2           .000012      0.061698    .001554           .002700             .002700            .007500              127           738
0.02          3                  1                  0    2        256       2         1         0         5         0         0         1000000     0           1           .000040      NA          .006071           .010663             .010663            .013333              126           547
0.02          3                  1                  0    2        256       2         1         0         5         0         0         1000000     0           2           .000005      NA          .001034           .002647             .002647            .004583              126           1137
0.02          3                  1                  0    2        256       2         1         0         5         0         0         1000000     1           1           .000037      0.071505    .004143           .007200             .007200            .017500              126           467
0.02          3                  1                  0    2        256       2         1         0         5         0         0         1000000     1           2           .000006      0.085809    .000773           .001588             .001588            .004166              126           1320
0.02          3                  1                  0    3        256       2         1         0         5         0         0         1000000     0           1           .000024      NA          .003992           .008254             .008254            .011111              125           668
0.02          3                  1                  0    3        256       2         1         0         5         0         0         1000000     0           2           .000004      NA          .000865           .002410             .002410            .004027              125           1565
0.02          3                  1                  0    3        256       2         1         0         5         0         0         1000000     1           1           .000028      0.094178    .002719           .005061             .005061            .011666              126           612
0.01          3                  1                  0    3        256       2         1         0         5         0         0         1000000     1           2           .000004      0.099095    .000639           .001590             .001590            .004027              126           1598
0.01          3                  1                  0    4        256       2         1         0         5         0         0         1000000     0           1           .000020      NA          .002915           .006679             .006679            .008750              125           837
0.02          3                  1                  0    4        256       2         1         0         5         0         0         1000000     0           2           .000003      NA          .000803           .002365             .002365            .003854              126           2036
0.02          3                  1                  0    4        256       2         1         0         5         0         0         1000000     1           1           .000021      0.041439    .002178           .003981             .003981            .008333              126           884
0.02          3                  1                  0    4        256       2         1         0         5         0         0         1000000     1           2           .000002      0.105644    .000538           .001411             .001411            .013020              126           556
0.01          3                  1                  0    5        256       2         1         0         5         0         0         1000000     0           1           .000018      NA          .002381           .006326             .006326            .007666              126           937
0.02          3                  1                  0    5        256       2         1         0         5         0         0         1000000     0           2           .000002      NA          .000718           .002430             .002430            .004333              126           2029
0.02          3                  1                  0    5        256       2         1         0         5         0         0         1000000     1           1           .000014      0.071829    .001522           .003546             .003546            .007666              126           919
0.02          3                  1                  0    5        256       2         1         0         5         0         0         1000000     1           2           .000003      0.215188    .000331           .001236             .001236            .010916              126           563
