comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.25          262                1                  0    1        32        26        1         0         5         10000     10000     10             50          0           0           16            .041133      NA          51.819006         53.840675           53.840670          53.880000            4             96
2.25          265                1                  0    1        32        26        1         0         5         10000     10000     10             50          1           0           16            .103704      54.639719   .002905           53.163637           53.163633          107.910000           7             50
2.24          261                1                  0    1        32        26        1         0         5         10000     10000     10             50          0           0           16            .039190      NA          49.999130         53.416714           53.416709          53.460000            4             93
2.32          265                1                  0    1        32        26        1         0         5         10000     10000     10             50          1           0           16            .100135      51.338854   .002616           53.257339           53.257334          104.700000           7             48
2.24          261                1                  0    1        32        26        1         0         5         10000     10000     10             50          0           0           16            .040899      NA          56.126369         56.648084           56.648078          56.690000            4             99
2.28          266                1                  0    1        32        26        1         0         5         10000     10000     10             50          1           0           16            .099743      53.259574   .003832           52.443437           52.443432          105.800000           7             50
2.06          262                1                  0    1        32        26        1         0         5         10000     10000     10             50          0           0           16            .040450      NA          52.073737         52.551073           52.551069          52.590000            4             99
2.19          265                1                  0    1        32        26        1         0         5         10000     10000     10             50          1           0           16            .084111      51.609990   .002236           49.835280           49.835278          101.530000           7             50
2.16          262                1                  0    1        32        26        1         0         5         10000     10000     10             50          0           0           16            .043025      NA          51.970416         52.767294           52.767290          52.810000            4             98
2.33          266                1                  0    1        32        26        1         0         5         10000     10000     10             50          1           0           16            .097861      51.056041   .004256           53.069681           53.069679          104.220000           7             48
2.04          262                1                  0    1        32        26        1         0         5         10000     10000     20             50          0           0           16            .067090      NA          54.627461         55.145459           55.145451          55.210000            4             98
2.46          264                1                  0    1        32        26        1         0         5         10000     10000     20             50          1           0           16            .188865      50.647441   .001868           50.195786           50.195783          101.030000           7             49
2.05          262                1                  0    1        32        26        1         0         5         10000     10000     20             50          0           0           16            .062201      NA          54.649043         55.210366           55.210359          55.270000            8             98
2.44          267                1                  0    1        32        26        1         0         5         10000     10000     20             50          1           0           16            .191839      53.236361   .003563           52.865139           52.865134          106.290000           7             49
2.24          261                1                  0    1        32        26        1         0         5         10000     10000     20             50          0           0           16            .067989      NA          53.198328         53.691323           53.691318          53.760000            4             98
2.21          264                1                  0    1        32        26        1         0         5         10000     10000     20             50          1           0           16            .190739      51.458527   .003620           52.959023           52.959018          104.610000           7             48
2.22          262                1                  0    1        32        26        1         0         5         10000     10000     20             50          0           0           16            .068698      NA          49.226303         52.684000           52.683995          52.750000            4             93
2.15          266                1                  0    1        32        26        1         0         5         10000     10000     20             50          1           0           16            .190091      51.513484   .001716           53.340666           53.340663          105.040000           7             48
2.24          262                1                  0    1        32        26        1         0         5         10000     10000     20             50          0           0           16            .072589      NA          51.789673         54.224063           54.224058          54.300000            4             95
2.12          266                1                  0    1        32        26        1         0         5         10000     10000     20             50          1           0           16            .190943      50.357783   .003824           53.168140           53.168135          103.720000           7             48
2.05          262                1                  0    1        32        26        1         0         5         10000     10000     30             50          0           0           16            .098516      NA          51.671339         53.170069           53.170064          53.270000            4             97
2.11          264                1                  0    1        32        26        1         0         5         10000     10000     30             50          1           0           16            .225481      53.922156   .004103           53.550049           53.550044          107.700000           7             49
2.22          262                1                  0    1        32        26        1         0         5         10000     10000     30             50          0           0           16            .100730      NA          53.165127         54.446121           54.446116          54.550000            4             97
2.14          264                1                  0    1        32        26        1         0         5         10000     10000     30             50          1           0           16            .285536      50.128401   .003212           52.020179           52.020175          102.430000           7             48
2.07          261                1                  0    1        32        26        1         0         5         10000     10000     30             50          0           0           16            .095714      NA          53.577052         54.931015           54.931008          55.030000            4             97
2.27          264                1                  0    1        32        26        1         0         5         10000     10000     30             50          1           0           16            .283418      49.680536   .003790           53.148573           53.148567          103.110000           7             47
2.26          261                1                  0    1        32        26        1         0         5         10000     10000     30             50          0           0           16            .100746      NA          53.176920         53.695417           53.695412          53.800000            4             98
2.01          265                1                  0    1        32        26        1         0         5         10000     10000     30             50          1           0           16            .278991      53.682031   .002107           51.847398           51.847394          105.810000           7             50
2.19          261                1                  0    1        32        26        1         0         5         10000     10000     30             50          0           0           16            .096155      NA          53.464207         53.979303           53.979299          54.070000            4             98
2.14          266                1                  0    1        32        26        1         0         5         10000     10000     30             50          1           0           16            .280060      52.135031   .003620           51.684325           51.684319          104.100000           7             49
2.05          261                1                  0    1        32        26        1         0         5         10000     10000     40             50          0           0           16            .134059      NA          51.974117         52.553524           52.553519          52.690000            4             98
2.25          265                1                  0    1        32        26        1         0         5         10000     10000     40             50          1           0           16            .305739      50.288391   .002103           51.445363           51.445360          102.040000           7             48
2.04          262                1                  0    1        32        26        1         0         5         10000     10000     40             50          0           0           16            .128090      NA          53.145838         53.704934           53.704927          53.830000            4             98
2.01          264                1                  0    1        32        26        1         0         5         10000     10000     40             50          1           0           16            .458304      53.202853   .003803           53.543660           53.543654          107.200000           7             49
2.07          263                1                  0    1        32        26        1         0         5         10000     10000     40             50          0           0           16            .129881      NA          51.755234         53.043125           53.043121          53.170000            4             97
2.28          264                1                  0    1        32        26        1         0         5         10000     10000     40             50          1           0           16            .296736      50.804084   .003211           51.447604           51.447599          102.550000           7             49
