comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     25             10000            1           0           1           0             .000681      NA          .014795           .094494             .098704            .099583              138           381
0.01          3                  1                  0    4        256       71        1         1         5         10000     10000     25             10000            1           1           1           0             .007572      .013853     .012514           .092147             .094963            .110833              191           372
0.03          3                  1                  0    4        256       71        1         1         5         10000     10000     25             1000             1           0           1           0             .000773      NA          .014805           .189038             .195309            .196250              132           190
0.03          3                  1                  0    4        256       71        1         1         5         10000     10000     25             1000             1           1           1           0             .071626      .077551     .012422           .133331             .150933            .207500              189           190
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     25             100              1           0           1           0             .002610      NA          .017807           1.545666            1.555237           1.556666             149           28
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     25             100              1           1           1           0             .592534      .598205     .014273           .959638             .962994            1.563333             185           30
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     50             25000            1           0           1           0             .000853      NA          .014606           .091672             .096672            .097916              130           382
0.03          3                  1                  0    4        256       71        1         1         5         10000     10000     50             25000            1           1           1           0             .003269      .010696     .011752           .091154             .093434            .104583              189           370
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     50             10000            1           0           1           0             .000664      NA          .014474           .094163             .098342            .099583              135           370
0.03          3                  1                  0    4        256       71        1         1         5         10000     10000     50             10000            1           1           1           0             .007584      .014230     .012246           .092250             .094918            .109166              185           358
0.01          3                  1                  0    4        256       71        1         1         5         10000     10000     50             1000             1           0           1           0             .000782      NA          .014682           .188643             .197515            .198333              135           187
0.01          3                  1                  0    4        256       71        1         1         5         10000     10000     50             1000             1           1           1           0             .067615      .076902     .012544           .133591             .143730            .206666              187           193
0.01          3                  1                  0    4        256       71        1         1         5         10000     10000     50             100              1           0           1           0             .000630      NA          .017689           1.550658            1.553146           1.554166             135           28
0.03          3                  1                  0    4        256       71        1         1         5         10000     10000     50             100              1           1           1           0             .652229      .599496     .014511           .941038             1.053907           1.565416             204           30
0.01          3                  1                  0    4        256       71        1         1         5         10000     10000     75             25000            1           0           1           0             .000698      NA          .014935           .090620             .095330            .096250              132           396
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     75             25000            1           1           1           0             .002895      .010341     .012224           .090901             .095715            .104583              185           375
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     75             10000            1           0           1           0             .000656      NA          .014392           .094726             .101734            .102500              137           360
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     75             10000            1           1           1           0             .007862      .014935     .012265           .092399             .094168            .108750              191           362
0.03          3                  1                  0    4        256       71        1         1         5         10000     10000     75             1000             1           0           1           0             .000689      NA          .014672           .190733             .198583            .199583              133           186
0.03          3                  1                  0    4        256       71        1         1         5         10000     10000     75             1000             1           1           1           0             .061860      .079236     .012601           .134041             .147688            .210000              187           190
0.01          3                  1                  0    4        256       71        1         1         5         10000     10000     75             100              1           0           1           0             .001353      NA          .017874           1.551766            1.554718           1.555833             148           29
0.02          3                  1                  0    4        256       71        1         1         5         10000     10000     75             100              1           1           1           0             .593904      .598958     .014642           .960170             .964755            1.564166             185           30
0.01          3                  1                  0    4        256       171       1         0         5         10000     10000     1              25000            1           0           1           0             .001001      NA          .012974           .015753             .017519            .018750              135           1778
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     1              25000            1           1           1           0             .008167      .015540     .009014           .013439             .016808            .030833              199           1097
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     1              10000            1           0           1           0             .000905      NA          .014786           .027858             .030542            .031666              165           1195
0.01          3                  1                  0    4        256       171       1         0         5         10000     10000     1              10000            1           1           1           0             .016406      .024345     .009517           .015844             .021389            .041250              198           846
0.03          3                  1                  0    4        256       171       1         0         5         10000     10000     1              1000             1           0           1           0             .001056      NA          .017119           .234359             .254157            .255416              191           169
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     1              1000             1           1           1           0             .167523      .203121     .012839           .087806             .134862            .268333              198           167
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     1              100              1           0           1           0             .001324      NA          .019415           2.285288            2.347159           2.348333             192           20
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     1              100              1           1           1           0             1.713956     1.730692    .014128           1.159376            1.799872           2.361250             197           23
0.01          3                  1                  0    4        256       171       1         0         5         10000     10000     25             25000            1           0           1           0             .000945      NA          .012920           .015437             .016337            .017500              148           1901
0.01          3                  1                  0    4        256       171       1         0         5         10000     10000     25             25000            1           1           1           0             .007220      .016040     .008440           .012729             .014707            .030416              196           1095
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     25             10000            1           0           1           0             .000944      NA          .014643           .027766             .029135            .030000              161           1242
0.01          3                  1                  0    4        256       171       1         0         5         10000     10000     25             10000            1           1           1           0             .016332      .022968     .009147           .015711             .020297            .041666              198           813
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     25             1000             1           0           1           0             .001150      NA          .016656           .219901             .232505            .234166              191           180
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     25             1000             1           1           1           0             .172450      .180014     .013232           .083030             .112866            .242916              198           188
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     25             100              1           0           1           0             .002107      NA          .020996           2.289508            2.291917           2.293333             191           23
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     25             100              1           1           1           0             1.408401     1.416479    .014896           .886227             .887880            2.306250             198           24
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     50             25000            1           0           1           0             .000879      NA          .013054           .015814             .017374            .018333              136           1835
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     50             25000            1           1           1           0             .007077      .016409     .008957           .013256             .015534            .031250              198           1064
0.03          3                  1                  0    4        256       171       1         0         5         10000     10000     50             10000            1           0           1           0             .001072      NA          .014548           .028043             .029715            .030833              147           1198
0.03          3                  1                  0    4        256       171       1         0         5         10000     10000     50             10000            1           1           1           0             .015783      .024523     .009523           .016394             .021123            .041666              197           834
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     50             1000             1           0           1           0             .001326      NA          .016950           .219325             .232067            .233750              189           182
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     50             1000             1           1           1           0             .184909      .177975     .013133           .082348             .118126            .243333              198           186
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     50             100              1           0           1           0             .003390      NA          .020744           2.291517            2.292218           2.294583             193           23
0.01          3                  1                  0    4        256       171       1         0         5         10000     10000     50             100              1           1           1           0             1.409056     1.567788    .014855           .815183             .992640            2.305833             196           24
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     75             25000            1           0           1           0             .001378      NA          .013097           .015638             .017360            .018750              136           1774
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     75             25000            1           1           1           0             .006927      .015075     .008544           .012959             .014409            .030000              196           1096
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     75             10000            1           0           1           0             .001434      NA          .014792           .028154             .030210            .031666              159           1196
0.01          3                  1                  0    4        256       171       1         0         5         10000     10000     75             10000            1           1           1           0             .014918      .023534     .009639           .016085             .021250            .041250              198           856
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     75             1000             1           0           1           0             .001228      NA          .016646           .219429             .232608            .233750              190           179
