program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest  replicated-field  3          2.15          139                1                  25000            1000000     0.0587445            0.28                 220           243%       ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 250000           1000000     0.0714504            0.32                 217           219%       ~20           16.0002         48.0005          0.31             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.06058              0.29                 211           224%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0649147            0.30                 218           237%       ~20           16.0002         48.0005          0.23             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0518056            0.29                 217           232%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0491821            0.26                 214           244%       ~20           16.0002         48.0005          0.20             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0664561            0.31                 217           239%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0646716            0.31                 213           222%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0695632            0.34                 218           198%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0523225            0.30                 216           220%       ~20           16.0002         48.0005          0.14             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0520724            0.30                 213           236%       ~20           16.0002         48.0005          0.23             on,threads             
