program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              300         159.914              160.35               1068          615%       ~999706       4730.03         14105.4          586.04           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              300         160.02               160.49               1079          617%       ~999706       4730.03         14105.4          592.33           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              300         161.2                161.71               1082          615%       ~999706       4730.03         14105.4          588.71           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              300         162.074              162.54               1077          618%       ~999706       4730.03         14105.4          595.81           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              300         160.061              160.57               1080          618%       ~999706       4730.03         14105.4          593.86           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              300         161.635              162.12               1102          615%       ~999706       4730.03         14105.4          591.98           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              300         158.284              158.82               1092          626%       ~999706       4730.03         14105.4          592.28           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              300         158.574              159.00               1073          622%       ~999706       4730.03         14105.4          587.70           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 0              300         159.402              159.92               1106          622%       ~999706       4730.03         14105.4          590.19           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             300         1031.79              1032.73              1149          107%       ~999706       4730.03         14105.4          630.50           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             300         1031.88              1032.82              1140          107%       ~999706       4730.03         14105.4          633.67           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             300         1034.15              1035.08              1143          107%       ~999706       4730.03         14105.4          635.45           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             300         1034.07              1035.01              1096          106%       ~999706       4730.03         14105.4          631.42           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             300         1033.46              1034.40              1167          107%       ~999706       4730.03         14105.4          631.80           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             300         1031.55              1032.48              1146          107%       ~999706       4730.03         14105.4          634.47           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             300         1033.99              1034.94              1101          107%       ~999706       4730.03         14105.4          631.53           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             300         1033.87              1034.81              1093          107%       ~999706       4730.03         14105.4          629.44           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             300         1032.76              1033.68              1076          107%       ~999706       4730.03         14105.4          634.67           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25             300         1033.83              1034.75              1082          106%       ~999706       4730.03         14105.4          630.00           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 50             300         2021.77              2023.19              1196          58%        ~999706       4730.03         14105.4          680.52           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 50             300         2017.39              2018.81              1151          58%        ~999706       4730.03         14105.4          683.67           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 50             300         2020.73              2022.10              1233          58%        ~999706       4730.03         14105.4          686.23           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 50             300         2019.1               2020.45              1202          58%        ~999706       4730.03         14105.4          682.34           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 50             300         2021.37              2022.81              1204          58%        ~999706       4730.03         14105.4          684.81           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 50             300         2019.39              2020.75              1211          58%        ~999706       4730.03         14105.4          682.43           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 50             300         2022.06              2023.41              1222          58%        ~999706       4730.03         14105.4          681.56           on,threads             
