comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.41          213                1                  0    15       512       2         1         0         2         0         0         1000000000  0           0           .040520      NA          .589224           .593977             .593977            4.810666             183110        720
1.41          213                1                  0    15       512       2         1         0         3         0         0         1000000000  0           0           .047075      NA          .881799           .889364             .889364            3.662000             122073        933
1.39          211                1                  0    15       512       2         1         0         4         0         0         1000000000  0           0           .037618      NA          .626033           .630834             .630834            5.150666             183108        775
1.43          212                1                  0    15       512       2         1         0         5         0         0         1000000000  0           0           .023751      NA          .545378           .550337             .550337            4.461333             183108        772
1.44          212                1                  0    15       512       2         1         0         6         0         0         1000000000  0           0           .000002      NA          .789788           .800529             .800529            1.521333             61038         1278
1.30          212                1                  0    25       512       2         1         0         2         0         0         1000000000  0           0           .015736      NA          .225918           .229159             .229159            3.090000             183109        980
1.43          213                1                  0    25       512       2         1         0         3         0         0         1000000000  0           0           .017830      NA          .348524           .354340             .354340            2.484400             122073        1216
1.57          213                1                  0    25       512       2         1         0         4         0         0         1000000000  0           0           .014414      NA          .244131           .247337             .247337            3.385200             183108        1006
1.40          212                1                  0    25       512       2         1         0         5         0         0         1000000000  0           0           .008516      NA          .218570           .221772             .221772            2.989200             183108        1023
1.29          212                1                  0    25       512       2         1         0         6         0         0         1000000000  0           0           .000001      NA          .315710           .325551             .325551            1.100400             61038         1601
1.58          212                1                  0    35       512       2         1         0         2         0         0         1000000000  0           0           .008058      NA          .124614           .127004             .127004            2.384571             183110        1288
1.49          212                1                  0    35       512       2         1         0         3         0         0         1000000000  0           0           .008716      NA          .198673           .203200             .203200            1.929142             122073        1619
1.43          212                1                  0    35       512       2         1         0         4         0         0         1000000000  0           0           .007296      NA          .132426           .134702             .134702            2.577142             183108        1327
1.54          212                1                  0    35       512       2         1         0         5         0         0         1000000000  0           0           .004448      NA          .119659           .121950             .121950            2.282857             183108        1368
1.60          212                1                  0    35       512       2         1         0         6         0         0         1000000000  0           0           0            NA          .202042           .210430             .210430            .943142              61038         2170
1.59          212                1                  0    45       512       2         1         0         2         0         0         1000000000  0           0           .004873      NA          .076876           .078569             .078569            1.890444             183110        1559
1.57          212                1                  0    45       512       2         1         0         3         0         0         1000000000  0           0           .004459      NA          .124219           .127707             .127707            1.548000             122073        1939
1.57          212                1                  0    45       512       2         1         0         4         0         0         1000000000  0           0           .004455      NA          .082673           .084445             .084445            2.070444             183108        1598
1.60          212                1                  0    45       512       2         1         0         5         0         0         1000000000  0           0           .002273      NA          .074341           .076125             .076125            1.825777             183108        1643
1.41          212                1                  0    45       512       2         1         0         6         0         0         1000000000  0           0           0            NA          .131162           .137113             .137113            .780000              61038         2668
1.31          212                1                  0    55       512       2         1         0         2         0         0         1000000000  0           0           .003270      NA          .051066           .053622             .053622            1.597818             183110        1698
1.47          213                1                  0    55       512       2         1         0         3         0         0         1000000000  0           0           .003165      NA          .083472           .088631             .088631            1.328727             122073        2080
1.41          212                1                  0    55       512       2         1         0         4         0         0         1000000000  0           0           .002974      NA          .054795           .056986             .056986            1.759090             183108        1741
1.41          213                1                  0    55       512       2         1         0         5         0         0         1000000000  0           0           .001595      NA          .049688           .052040             .052040            1.559090             183108        1775
1.42          212                1                  0    55       512       2         1         0         6         0         0         1000000000  0           0           0            NA          .088044           .098722             .098722            .692000              61038         2826
1.41          211                1                  0    65       512       2         1         0         2         0         0         1000000000  0           0           .002341      NA          .036459           .039561             .039561            1.405538             183110        1821
1.58          213                1                  0    65       512       2         1         0         3         0         0         1000000000  0           0           .002252      NA          .059808           .065721             .065721            1.179384             122073        2178
1.44          213                1                  0    65       512       2         1         0         4         0         0         1000000000  0           0           .002162      NA          .039435           .042560             .042560            1.553692             183108        1832
1.41          212                1                  0    65       512       2         1         0         5         0         0         1000000000  0           0           .001073      NA          .036225           .038716             .038716            1.374769             183108        1873
1.53          211                1                  0    65       512       2         1         0         6         0         0         1000000000  0           0           0            NA          .063132           .074051             .074051            .609692              61038         2935
