program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s);Preprocessing Time(s);Online Phase(s)
51;RING;;rep4-ring;4;19.74;1147;1;10000000;0.720887;1.54;3923;446%;~280;320.05;960.201;1.00;on,threads
51;RING;;rep4-ring;4;19.66;1144;1;10000000;0.726416;1.54;3935;443%;~280;320.05;960.201;1.13;on,threads
51;RING;;rep4-ring;4;19.63;1144;1;10000000;0.715875;1.57;3951;442%;~280;320.05;960.201;1.24;on,threads
51;RING;;rep4-ring;4;19.45;1144;1;10000000;0.709838;1.53;3940;446%;~280;320.05;960.201;1.16;on,threads
51;RING;;rep4-ring;4;19.64;1144;1;10000000;0.720724;1.57;3930;441%;~280;320.05;960.201;1.11;on,threads
51;RING;;rep4-ring;4;19.71;1144;1;10000000;0.70514;1.54;3946;449%;~280;320.05;960.201;1.22;on,threads
51;RING;;rep4-ring;4;19.62;1144;1;10000000;0.711086;1.57;3932;447%;~280;320.05;960.201;1.16;on,threads
51;RING;;rep4-ring;4;19.76;1144;1;10000000;0.716271;1.56;3932;435%;~280;320.05;960.201;1.13;on,threads
51;RING;;rep4-ring;4;19.70;1144;1;10000000;0.707527;1.54;3933;440%;~280;320.05;960.201;1.15;on,threads
51;RING;;rep4-ring;4;19.74;1144;1;10000000;0.70693;1.55;3939;449%;~280;320.05;960.201;1.17;on,threads
