comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.36          225                1                  0    15       256       2         1         0         2         0         0         100000000   0           0           .010661      NA          .245998           .245972             .245972            .263333              9159          1473
1.35          225                1                  0    15       256       2         1         0         3         0         0         100000000   0           0           .003959      NA          .213486           .213467             .213467            .224000              6106          1465
1.33          226                1                  0    15       256       2         1         0         4         0         0         100000000   0           0           .007175      NA          .337609           .828309             .828309            .999333              9158          519
1.32          226                1                  0    15       256       2         1         0         5         0         0         100000000   0           0           .003809      NA          .236818           .236800             .236800            .250000              9158          1451
1.33          226                1                  0    15       256       2         1         0         6         0         0         100000000   0           0           .000004      NA          .043358           .043327             .043327            .046000              3054          1431
1.36          225                1                  0    25       256       2         1         0         2         0         0         100000000   0           0           .006234      NA          .222768           .222763             .222763            .243200              9159          2368
1.35          225                1                  0    25       256       2         1         0         3         0         0         100000000   0           0           .002099      NA          .148300           .148294             .148294            .158000              6106          2390
1.36          227                1                  0    25       256       2         1         0         4         0         0         100000000   0           0           .004171      NA          .223828           .739218             .739218            .885200              9158          645
1.33          226                1                  0    25       256       2         1         0         5         0         0         100000000   0           0           .002311      NA          .169456           .169446             .169446            .189600              9158          2279
1.32          226                1                  0    25       256       2         1         0         6         0         0         100000000   0           0           .000002      NA          .041406           .041399             .041399            .047200              3054          2213
1.36          227                1                  0    35       256       2         1         0         2         0         0         100000000   0           0           .005116      NA          .217718           .217736             .217736            .241428              9160          3255
1.33          226                1                  0    35       256       2         1         0         3         0         0         100000000   0           0           .001833      NA          .119809           .119806             .119806            .129142              6106          3319
1.36          226                1                  0    35       256       2         1         0         4         0         0         100000000   0           0           .003284      NA          .184704           .708119             .708119            .849428              9159          776
1.36          226                1                  0    35       256       2         1         0         5         0         0         100000000   0           0           .001770      NA          .153383           .153383             .153382            .170000              9158          3210
1.34          225                1                  0    35       256       2         1         0         6         0         0         100000000   0           0           .000001      NA          .042939           .042953             .042953            .047428              3054          3207
1.34          226                1                  0    45       256       2         1         0         2         0         0         100000000   0           0           .004904      NA          .217429           .217469             .217469            .248666              9160          4049
1.31          225                1                  0    45       256       2         1         0         3         0         0         100000000   0           0           .001677      NA          .109246           .109252             .109252            .122000              6106          4106
1.35          225                1                  0    45       256       2         1         0         4         0         0         100000000   0           0           .002965      NA          .170060           .653684             .653684            .831111              9158          938
1.36          230                1                  0    45       256       2         1         0         5         0         0         100000000   0           0           .001666      NA          .150427           .150452             .150452            .168000              9158          4093
1.33          226                1                  0    45       256       2         1         0         6         0         0         100000000   0           0           .000001      NA          .041624           .041648             .041647            .047555              3054          3980
1.36          226                1                  0    55       256       2         1         0         2         0         0         100000000   0           0           .004843      NA          .239719           .239781             .239781            .265090              9160          5102
1.36          225                1                  0    55       256       2         1         0         3         0         0         100000000   0           0           .001533      NA          .104922           .104933             .104933            .114727              6106          5129
1.37          225                1                  0    55       256       2         1         0         4         0         0         100000000   0           0           .002627      NA          .177786           .649874             .649874            .827818              9158          1200
1.32          226                1                  0    55       256       2         1         0         5         0         0         100000000   0           0           .001551      NA          .163708           .163757             .163757            .185636              9158          4928
1.35          225                1                  0    55       256       2         1         0         6         0         0         100000000   0           0           0            NA          .044693           .044731             .044731            .049272              3054          5035
1.34          226                1                  0    65       256       2         1         0         2         0         0         100000000   0           0           .003844      NA          .220696           .228293             .228293            .280461              9160          5894
1.33          226                1                  0    65       256       2         1         0         3         0         0         100000000   0           0           .001373      NA          .117804           .119712             .119712            .126923              6106          6196
1.32          227                1                  0    65       256       2         1         0         4         0         0         100000000   0           0           .001996      NA          .162084           .540881             .540881            .771230              9158          1612
1.36          227                1                  0    65       256       2         1         0         5         0         0         100000000   0           0           .001252      NA          .167700           .173954             .173954            .205076              9158          5998
1.36          225                1                  0    65       256       2         1         0         6         0         0         100000000   0           0           0            NA          .051268           .052266             .052266            .055230              3054          6175
