comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;1;256;2;1;0;2;0;0;1000000;0;2;0;NA;.004021;.005208;.005208;.006111;125;1165
0.02;3;1;0;1;256;2;1;0;2;0;50;1000000;0;2;.000127;NA;.010014;.005118;.005118;.006666;131;2812
0.02;3;1;0;1;256;2;1;0;2;0;100;1000000;0;2;.000130;NA;.008935;.004805;.004805;.006111;128;2762
0.02;3;1;0;1;256;2;1;0;2;0;200;1000000;0;2;.000107;NA;.008330;.004636;.004636;.006666;128;2393
0.02;3;1;0;1;256;2;1;0;2;0;1000;1000000;0;2;.000086;NA;.006591;.004432;.004432;.005555;126;2235
0.02;3;1;0;1;256;2;1;0;2;50;0;1000000;0;2;.000142;NA;.008429;.006721;.006721;.008888;130;1734
0.02;3;1;0;1;256;2;1;0;2;50;50;1000000;0;2;.000259;NA;.012677;.005238;.005238;.007777;136;3205
0.02;3;1;0;1;256;2;1;0;2;50;100;1000000;0;2;.000256;NA;.011610;.004909;.004909;.007222;133;3192
0.01;3;1;0;1;256;2;1;0;2;50;200;1000000;0;2;.000256;NA;.010509;.004831;.004831;.006666;132;3088
0.02;3;1;0;1;256;2;1;0;2;50;1000;1000000;0;2;.000245;NA;.009346;.004935;.004935;.006666;131;2654
0.02;3;1;0;1;256;2;1;0;2;100;0;1000000;0;2;.000145;NA;.008057;.006457;.006457;.008333;128;1804
0.02;3;1;0;1;256;2;1;0;2;100;50;1000000;0;2;.000274;NA;.012033;.005290;.005290;.007222;135;3125
0.02;3;1;0;1;256;2;1;0;2;100;100;1000000;0;2;.000249;NA;.010612;.004870;.004870;.006666;131;3096
0.02;3;1;0;1;256;2;1;0;2;100;200;1000000;0;2;.000256;NA;.009785;.004550;.004550;.006666;129;2960
