comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.51          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           0               16            .007838      NA          .028063           4.639853            4.639841           4.650000             4             0
2.38          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           0               16            .007902      NA          .027450           4.473188            4.473177           4.480000             4             0
2.37          281                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           0               16            .007378      NA          .028999           4.555264            4.555253           4.560000             4             0
2.42          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           0               16            .007781      NA          .027129           4.524833            4.524821           4.530000             4             0
2.54          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           0               16            .013176      NA          .028898           4.701156            4.701151           4.710000             4             0
2.36          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           1               16            .007315      NA          .021549           11.546106           11.546103          11.550000            4             0
2.38          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           1               16            .013612      NA          .022460           12.306075           12.306066          12.320000            5             0
2.37          281                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           1               16            .007566      NA          .021815           12.643862           12.643858          12.650000            4             0
2.44          281                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           1               16            1.015342     NA          .046160           12.715683           12.715662          13.730000            4             0
2.59          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           1               16            1.020796     NA          .059797           12.451117           12.451095          13.470000            4             0
2.40          281                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           2               16            .008077      NA          .030290           16.739107           16.739095          16.750000            4             0
2.37          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           2               16            .007682      NA          .024976           17.174281           17.174264          17.180000            4             0
2.52          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           2               16            .007133      NA          .027736           19.115082           19.115071          19.120000            4             0
2.52          281                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           2               16            .007826      NA          .024739           23.795592           23.795587          23.800000            5             0
2.53          279                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           2               16            1.031546     NA          .060435           18.820057           18.820036          19.850000            4             0
2.58          281                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           5               16            .007730      NA          .021273           40.260252           40.260248          40.270000            4             0
2.59          281                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           5               16            .015488      NA          .024970           39.179655           39.179647          39.200000            4             0
2.58          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           5               16            .013088      NA          .019455           39.245386           39.245368          39.260000            5             0
2.48          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           5               16            .007678      NA          .029367           41.334633           41.334621          41.340000            4             0
2.40          280                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         0           0           5               16            .008690      NA          .022332           43.224327           43.224316          43.230000            5             0
2.65          291                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           0               16            .013894      .010034     .007890           4.596244            4.596240           4.620000             5             0
2.72          290                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           0               16            .016140      .009940     .008304           4.663638            4.663634           4.690000             5             0
2.67          292                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           0               16            .024406      .009817     .006012           4.596655            4.596652           4.630000             5             0
2.41          290                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           0               16            .019765      .011200     .008981           4.603953            4.603951           4.640000             5             0
2.52          292                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           0               16            .014060      .010556     .007220           4.642529            4.642526           4.670000             5             0
2.53          291                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           1               16            .013703      .010423     .008934           10.771956           10.771954          10.800000            5             0
2.74          294                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           1               16            1.019615     .021087     .014957           10.022953           10.022949          11.060000            5             0
2.56          292                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           1               16            1.038688     .012733     .011119           12.262275           12.262272          13.310000            5             0
2.54          290                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           1               16            .013876      .010503     .007854           10.867600           10.867597          10.890000            5             0
2.68          291                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           1               16            .010059      .010440     .008245           10.636145           10.636141          10.660000            5             0
2.50          290                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           2               16            .014410      1.003086    .013243           14.452819           14.452815          15.470000            5             0
2.62          290                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           2               16            1.019888     .014041     .013112           20.606615           20.606610          21.640000            5             0
