comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;256;404;1;0;5;10000;10000;25000;10;0;1;2;.000443;NA;.000055;.000202;.000293;.000416;3;405
0.01;3;1;0;4;256;404;1;0;5;10000;10000;25000;100;0;1;2;.000210;NA;.000065;.000082;.000176;.000416;3;593
0.01;3;1;0;4;256;404;1;0;5;10000;10000;25000;1000;0;1;2;.000219;NA;.000097;.000498;.005564;.005833;4;76
0.02;3;1;0;4;256;404;1;0;5;10000;10000;25000;10000;0;1;2;.000696;NA;.000282;.000344;.000514;.001250;6;706
0.02;3;1;0;4;256;404;1;0;5;10000;10000;25000;100000;0;1;2;.000514;NA;.001637;.002023;.002513;.003333;30;1310
0.03;3;1;0;4;256;404;1;0;5;10000;10000;25000;1000000;0;1;2;.001290;NA;.015280;.016424;.019283;.020416;254;1813
0.02;3;1;0;4;256;404;1;0;5;10000;10000;25000;10;0;1;2;.000249;NA;.000057;.000118;.000185;.000416;3;511
0.03;3;1;0;4;256;404;1;0;5;10000;10000;25000;100;0;1;2;.000183;NA;.000060;.000113;.000186;.000416;6;580
0.02;3;1;0;4;256;404;1;0;5;10000;10000;25000;1000;0;1;2;.000246;NA;.000080;.000435;.003682;.004166;5;101
0.02;3;1;0;4;256;404;1;0;5;10000;10000;25000;10000;0;1;2;.000262;NA;.000249;.000355;.000407;.000833;6;900
