comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.91;253;1;0;45;256;2;1;0;8;1000;1000;10000;10000000;0;0;1;.001673;NA;.035835;.226859;.282039;.284666;1837;598
1.91;254;1;0;45;256;2;1;0;8;1000;1000;1000;10000000;0;0;1;.001563;NA;.036030;2.447189;2.583894;2.586888;1837;65
1.93;252;1;0;45;256;2;1;0;8;1000;10000;10000;10000000;0;0;1;.001805;NA;.035289;.230052;.273028;.276444;1838;609
1.91;254;1;0;45;256;2;1;0;8;1000;10000;1000;10000000;0;0;1;.001775;NA;.036017;2.461527;2.582901;2.585555;1838;65
1.92;252;1;0;45;256;2;1;0;8;1000;100000;10000;10000000;0;0;1;.001446;NA;.035891;.228425;.271501;.274222;1838;622
1.93;252;1;0;45;256;2;1;0;8;1000;100000;1000;10000000;0;0;1;.001687;NA;.036196;2.462279;2.583081;2.585333;1837;66
1.92;253;1;0;45;256;2;1;0;8;1000;1000000;10000;10000000;0;0;1;.001474;NA;.035807;.231949;.272987;.275777;1837;619
1.93;253;1;0;45;256;2;1;0;8;1000;1000000;1000;10000000;0;0;1;.001748;NA;.036005;2.399917;2.583063;9.333333;1837;18
