program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
48;RING;semihonest;replicated-ring;3;1.89;94;1;1;10000;1.06966;1.23;15;8;~1001;0.080008;0.240024
48;RING;semihonest;replicated-ring;3;19.64;800;6;1;100000;1.07619;1.34;43;14;~1001;0.800008;2.40002
48;RING;semihonest;replicated-ring;3;NA;NA;NA;2;10000;2.06981;2.28;17;4;~1001;0.080008;0.240024
48;RING;semihonest;replicated-ring;3;NA;NA;NA;2;100000;2.08567;2.41;43;9;~1001;0.800008;2.40002
48;RING;semihonest;replicated-ring;3;NA;NA;NA;4;10000;4.11075;4.43;15;2;~1001;0.080008;0.240024
48;RING;semihonest;replicated-ring;3;NA;NA;NA;4;100000;4.11943;4.55;45;5;~1001;0.800008;2.40002
48;RING;semihonest;replicated-ring;3;NA;NA;NA;8;10000;8.29226;8.83;17;1;~1001;0.080008;0.240024
48;RING;semihonest;replicated-ring;3;NA;NA;NA;8;100000;8.2758;8.93;43;3;~1001;0.800008;2.40002
48;RING;semihonest;replicated-ring;3;NA;NA;NA;10;10000;10.3409;10.97;15;1;~1001;0.080008;0.240024
48;RING;semihonest;replicated-ring;3;NA;NA;NA;10;100000;10.3679;11.13;45;3;~1001;0.800008;2.40002
48;RING;semihonest;replicated-ring;3;NA;NA;NA;20;10000;20.3432;21.52;15;1;~1001;0.080008;0.240024
48;RING;semihonest;replicated-ring;3;NA;NA;NA;20;100000;20.3526;21.65;43;1;~1001;0.800008;2.40002
48;RING;semihonest;replicated-ring;3;NA;NA;NA;30;10000;30.3395;32.04;15;0;~1001;0.080008;0.240024
48;RING;semihonest;replicated-ring;3;NA;NA;NA;30;100000;30.4018;32.23;43;1;~1001;0.800008;2.40002
48;RING;semihonest;replicated-ring;3;NA;NA;NA;40;10000;40.4108;42.64;15;0;~1001;0.080008;0.240024
48;RING;semihonest;replicated-ring;3;NA;NA;NA;40;100000;40.3704;42.67;43;0;~1001;0.800008;2.40002
48;RING;semihonest;replicated-ring;3;NA;NA;NA;50;10000;50.3979;53.16;15;0;~1001;0.080008;0.240024
48;RING;semihonest;replicated-ring;3;NA;NA;NA;50;100000;50.3763;53.26;43;0;~1001;0.800008;2.40002
48;RING;semihonest;replicated-ring;3;NA;NA;NA;60;10000;60.3835;63.68;15;0;~1001;0.080008;0.240024
48;RING;semihonest;replicated-ring;3;NA;NA;NA;60;100000;60.3918;63.81;45;0;~1001;0.800008;2.40002
