program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0621716            0.33                 219           200%       ~20           16.0002         48.0005          0.19             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0599344            0.30                 219           243%       ~20           16.0002         48.0005          0.23             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0567751            0.30                 215           204%       ~20           16.0002         48.0005          0.19             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0617585            0.30                 218           223%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.062818             0.32                 216           218%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0615673            0.31                 216           214%       ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0623392            0.30                 219           243%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.0633624            0.31                 218           254%       ~20           16.0002         48.0005          0.26             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     0               0.058712             0.28                 218           242%       ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     1               0.0955947            2.34                 211           49%        ~20           16.0002         48.0005          0.31             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     1               0.0879863            3.55                 219           27%        ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     1               0.0963808            1.30                 215           69%        ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     1               0.0965972            1.52                 218           61%        ~20           16.0002         48.0005          0.23             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     1               0.322402             2.79                 212           38%        ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     1               0.145822             1.60                 212           65%        ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     1               0.10344              1.51                 218           67%        ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     1               0.0937449            1.32                 216           68%        ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     1               0.310721             1.59                 221           67%        ~20           16.0002         48.0005          0.30             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     1               0.092455             1.56                 218           62%        ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     2               0.289946             3.78                 221           23%        ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     2               0.12                 3.72                 215           28%        ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     2               0.301114             0.97                 217           106%       ~20           16.0002         48.0005          0.26             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     2               0.299419             4.86                 221           21%        ~20           16.0002         48.0005          0.30             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     2               0.145283             3.33                 220           31%        ~20           16.0002         48.0005          0.28             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     2               0.350893             3.86                 216           26%        ~20           16.0002         48.0005          0.28             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     2               0.112148             4.08                 218           29%        ~20           16.0002         48.0005          0.26             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     2               0.297248             1.97                 218           53%        ~20           16.0002         48.0005          0.30             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     2               0.103092             2.63                 219           35%        ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     2               0.322582             2.79                 218           39%        ~20           16.0002         48.0005          0.30             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     5               0.951454             4.61                 220           24%        ~20           16.0002         48.0005          0.33             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     5               0.738283             6.75                 218           16%        ~20           16.0002         48.0005          0.34             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     5               0.319388             5.60                 218           20%        ~20           16.0002         48.0005          0.35             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     5               0.965725             4.06                 219           28%        ~20           16.0002         48.0005          0.26             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     5               0.315611             6.28                 217           16%        ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     5               0.352958             7.06                 212           16%        ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     5               0.565707             5.25                 213           20%        ~20           16.0002         48.0005          0.30             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     5               0.308689             4.25                 217           23%        ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     5               0.525343             5.92                 216           16%        ~20           16.0002         48.0005          0.26             on,threads             
51       FIELD     semihonest     replicated-field  3          NA            NA                 NA                 1000000     5               0.317449             4.22                 215           28%        ~20           16.0002         48.0005          0.32             on,threads             
51       RING      semidishonest  semi2k            3          2.04          140                1                  1000000     0               2.05497              2.28                 486           1131%      ~18120        795.407         2370.22          10.51            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     0               6.27703              6.59                 470           979%       ~18120        795.407         2370.22          29.91            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     0               6.30019              6.59                 473           981%       ~18120        795.407         2370.22          30.96            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     0               6.2546               6.60                 470           984%       ~18120        795.407         2370.22          30.89            on,threads             
