comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.80          247                1                  0    1        256       3         1         0         2         0         0         800              1000000     0           0           1             0.010997     NA          0.147307          0.316834            0.316807           0.33                 127           46
1.78          248                1                  0    1        256       3         1         0         2         0         0         600              1000000     0           0           1             0.011213     NA          0.153781          0.424653            0.424640           0.44                 127           36
1.80          247                1                  0    1        256       3         1         0         2         0         0         400              1000000     0           0           1             0.004429     NA          0.139465          0.637493            0.637483           0.65                 127           22
1.78          247                1                  0    1        256       3         1         0         2         0         0         200              1000000     0           0           1             0.004826     NA          0.156391          1.282711            1.282698           1.29                 127           12
1.76          248                1                  0    1        256       3         1         0         2         0         0         100              1000000     0           0           1             0.011059     NA          0.169664          2.577211            2.577205           2.59                 127           6
1.78          248                1                  0    1        256       3         1         0         2         0         0         50               1000000     0           0           1             0.005110     NA          0.169477          5.153488            5.153484           5.16                 127           3
1.79          248                1                  0    1        256       3         1         0         2         0         0         25               1000000     0           0           1             0.004882     NA          0.211646          10.686364           10.686354          10.69                127           2
1.79          248                1                  0    1        256       3         1         0         5         0         0         800              1000000     0           0           1             0.005903     NA          0.079778          0.318234            0.318220           0.32                 96            25
1.80          247                1                  0    1        256       3         1         0         5         0         0         600              1000000     0           0           1             0.005014     NA          0.084095          0.424523            0.424511           0.43                 96            20
1.78          248                1                  0    1        256       3         1         0         5         0         0         400              1000000     0           0           1             0.016462     NA          0.084935          0.639743            0.639732           0.66                 96            13
1.80          248                1                  0    1        256       3         1         0         5         0         0         200              1000000     0           0           1             0.005860     NA          0.087611          1.286369            1.286355           1.29                 96            7
1.78          247                1                  0    1        256       3         1         0         5         0         0         100              1000000     0           0           1             0.011216     NA          0.085028          2.577546            2.577532           2.59                 96            3
1.78          249                1                  0    1        256       3         1         0         5         0         0         50               1000000     0           0           1             0.005930     NA          0.089246          5.166828            5.166822           5.17                 96            1
1.79          250                1                  0    1        256       3         1         0         5         0         0         25               1000000     0           0           1             0.011234     NA          0.065919          25.097585           25.097569          25.11                96            0
