program;protocol;partysize;input_size;runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
multiplication;arithmetic_gmw;3;1000000;12348.622;18.64;14587;146;621.829;621.829;514;514;3823.078;1843.527;0.000;0.000;0.000;0.000;0.000;Setup;Extension;12151.584;0.005;186.601
multiplication;arithmetic_gmw;3;1000000;11762.416;18.05;14648;146;621.829;621.829;514;514;3801.826;1923.266;0.000;0.000;0.000;0.000;0.000;Setup;Extension;11727.304;0.003;26.444
multiplication;arithmetic_gmw;3;1000000;12067.377;19.77;14650;143;621.829;621.829;514;514;3715.433;1615.988;0.000;0.000;0.000;0.000;0.000;Setup;Extension;11837.510;0.005;220.557
multiplication;arithmetic_gmw;3;1000000;11829.100;18.14;14814;153;621.829;621.829;514;514;4103.113;1761.592;0.000;0.000;0.000;0.000;0.000;Setup;Extension;11560.030;0.005;262.019
multiplication;arithmetic_gmw;3;1000000;12321.985;19.45;14648;143;621.829;621.829;514;514;3836.223;1658.352;0.000;0.000;0.000;0.000;0.000;Setup;Extension;11762.298;0.005;550.266
multiplication;arithmetic_gmw;3;1000000;12107.533;18.76;14650;145;621.829;621.829;514;514;3840.660;1671.130;0.000;0.000;0.000;0.000;0.000;Setup;Extension;11747.371;0.004;351.917
multiplication;arithmetic_gmw;3;1000000;12138.232;19.27;14589;143;621.829;621.829;514;514;3804.180;1800.321;0.000;0.000;0.000;0.000;0.000;Setup;Extension;11903.580;0.004;228.237
multiplication;arithmetic_gmw;3;1000000;12319.012;19.15;14587;147;621.829;621.829;514;514;3834.074;1879.973;0.000;0.000;0.000;0.000;0.000;Setup;Extension;12285.661;0.005;24.776
multiplication;arithmetic_gmw;3;1000000;12331.353;19.70;14587;142;621.829;621.829;514;514;4482.425;1669.950;0.000;0.000;0.000;0.000;0.000;Setup;Extension;12196.951;0.004;126.588
multiplication;arithmetic_gmw;3;1000000;11696.627;18.75;14648;148;621.829;621.829;514;514;3775.483;1907.134;0.000;0.000;0.000;0.000;0.000;Setup;Extension;11666.164;0.005;21.800
