comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.36          278                1                  0    1        32        59        1         0         5         10000     10000     0              300         0           0           16            .007353      NA          .027339           5.569028            5.569017           5.580000             4             0
2.68          288                1                  0    1        32        59        1         0         5         10000     10000     0              300         1           0           16            .014232      .008145     .021409           5.044662            5.044659           5.070000             5             0
2.35          279                1                  0    1        32        59        1         0         5         10000     10000     0              300         0           0           16            .012502      NA          .029331           5.237993            5.237981           5.250000             4             0
2.47          289                1                  0    1        32        59        1         0         5         10000     10000     0              300         1           0           16            .010951      .008242     .021021           5.063828            5.063827           5.080000             5             0
2.52          280                1                  0    1        32        59        1         0         5         10000     10000     0              300         0           0           16            .008302      NA          .038066           5.083498            5.083486           5.090000             4             0
2.70          289                1                  0    1        32        59        1         0         5         10000     10000     0              300         1           0           16            .013387      .007499     .021440           5.147394            5.147388           5.170000             4             0
2.51          280                1                  0    1        32        59        1         0         5         10000     10000     0              300         0           0           16            .007498      NA          .037441           5.616791            5.616781           5.620000             4             0
2.69          290                1                  0    1        32        59        1         0         5         10000     10000     0              300         1           0           16            .014213      .008493     .021925           5.601030            5.601027           5.620000             5             0
2.54          280                1                  0    1        32        59        1         0         5         10000     10000     0              300         0           0           16            .007113      NA          .035685           5.294352            5.294347           5.300000             4             0
2.53          290                1                  0    1        32        59        1         0         5         10000     10000     0              300         1           0           16            .019249      .008785     .023804           5.020750            5.020746           5.050000             5             0
2.35          279                1                  0    1        32        59        1         0         5         10000     10000     25             300         0           0           16            .082245      NA          .051291           181.924251          181.924231         182.010000           5             0
2.53          289                1                  0    1        32        59        1         0         5         10000     10000     25             300         1           0           16            .237389      .207880     .036771           181.827009          181.827006         182.270000           5             0
2.52          280                1                  0    1        32        59        1         0         5         10000     10000     25             300         0           0           16            .084502      NA          .039282           181.920905          181.920890         182.010000           5             0
2.65          288                1                  0    1        32        59        1         0         5         10000     10000     25             300         1           0           16            .187977      .309794     .040296           180.683299          180.683294         181.180000           5             0
2.49          278                1                  0    1        32        59        1         0         5         10000     10000     25             300         0           0           16            .082223      NA          .050574           181.856068          181.856056         181.940000           5             0
2.68          289                1                  0    1        32        59        1         0         5         10000     10000     25             300         1           0           16            .227439      .216777     .039389           181.566575          181.566570         182.010000           4             0
2.44          280                1                  0    1        32        59        1         0         5         10000     10000     25             300         0           0           16            .079709      NA          .038882           181.928420          181.928408         182.010000           5             0
2.60          289                1                  0    1        32        59        1         0         5         10000     10000     25             300         1           0           16            .190368      .308881     .039062           181.933404          181.933401         182.430000           5             0
2.50          280                1                  0    1        32        59        1         0         5         10000     10000     25             300         0           0           16            .077004      NA          .034874           181.930618          181.930606         182.010000           5             0
2.50          290                1                  0    1        32        59        1         0         5         10000     10000     25             300         1           0           16            .235946      .258855     .040666           181.364354          181.364351         181.860000           5             0
2.37          278                1                  0    1        32        59        1         0         5         10000     10000     50             300         0           0           16            .159573      NA          .040137           361.807681          361.807671         361.970000           5             0
2.48          289                1                  0    1        32        59        1         0         5         10000     10000     50             300         1           0           16            .554511      .509550     .041851           361.804850          361.804844         362.870000           5             0
2.52          280                1                  0    1        32        59        1         0         5         10000     10000     50             300         0           0           16            .154090      NA          .045843           361.803878          361.803857         361.960000           5             0
2.48          290                1                  0    1        32        59        1         0         5         10000     10000     50             300         1           0           16            .457763      .509153     .038234           361.806838          361.806833         362.770000           5             0
2.45          279                1                  0    1        32        59        1         0         5         10000     10000     50             300         0           0           16            .158071      NA          .053986           361.806965          361.806953         361.970000           5             0
2.47          289                1                  0    1        32        59        1         0         5         10000     10000     50             300         1           0           16            .455260      .511492     .042807           361.805759          361.805753         362.770000           5             0
