comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)    runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    1        32        70        1         0         5         10000     10000     64          0           3           2             .008971      NA            .084363           .123947             .172253            .181666              346           1178
0.01          3                  1                  0    1        32        70        1         0         5         10000     10000     64          1           3           2             .014631      .100800       .058974           .120606             .177754            .286666              624           740
0.03          3                  1                  0    1        32        70        1         1         5         10000     10000     64          0           3           2             .007927      NA            .080505           .094024             .130564            .139166              338           1463
0.02          3                  1                  0    1        32        70        1         1         5         10000     10000     64          1           3           2             .012796      .096857       .053541           .093683             .131050            .233750              606           835
0.01          3                  1                  0    1        32        170       1         0         5         10000     10000     64          0           3           2             .012722      NA            .089488           .091971             .137727            .150833              350           1531
0.03          3                  1                  0    1        32        170       1         0         5         10000     10000     64          1           3           2             .025725      .117494       .055365           .087600             .122042            .250833              810           871
0.01          3                  1                  0    1        32        170       1         1         5         10000     10000     64          0           3           2             .010178      NA            .080833           .084497             .127117            .137500              331           1496
0.01          3                  1                  0    1        32        170       1         1         5         10000     10000     64          1           3           2             .016000      .101770       .052001           .081350             .113812            .223333              620           878
0.01          3                  1                  0    1        32        270       1         0         5         10000     10000     64          0           3           2             .010326      NA            .085499           .089276             .128045            .138750              369           1576
0.02          3                  1                  0    1        32        270       1         0         5         10000     10000     64          1           3           2             .018813      .106738       .056912           .088530             .123591            .238750              690           887
0.01          3                  1                  0    1        32        270       1         1         5         10000     10000     64          0           3           2             .007658      NA            .080285           .083274             .121107            .129166              341           1571
0.01          3                  1                  0    1        32        270       1         1         5         10000     10000     64          1           3           2             .014486      .099229       .053196           .083658             .116784            .222083              630           883
0.02          3                  1                  0    1        32        71        1         0         5         10000     10000     64          0           3           2             .013110      NA            .144675           .213786             .303660            .317083              517           1150
0.01          3                  1                  0    1        32        71        1         0         5         10000     10000     64          1           3           2             .022409      .170133       .102211           .225739             .312453            .493750              927           732
0.01          3                  1                  0    1        32        71        1         1         5         10000     10000     64          0           3           2             .011043      NA            .133702           .167461             .238381            .248750              515           1348
0.02          3                  1                  0    1        32        71        1         1         5         10000     10000     64          1           3           2             .019145      .166354       .094805           .171855             .241935            .414583              932           818
0.02          3                  1                  0    1        32        171       1         0         5         10000     10000     64          0           3           2             .019780      NA            .149388           .157903             .245777            .265000              505           1448
0.02          3                  1                  0    1        32        171       1         0         5         10000     10000     64          1           3           2             .039874      .197346       .091382           .145665             .204412            .418333              1264          865
0.02          3                  1                  0    1        32        171       1         1         5         10000     10000     64          0           3           2             .014254      NA            .134399           .141206             .208557            .221666              486           1532
0.02          3                  1                  0    1        32        171       1         1         5         10000     10000     64          1           3           2             .024387      .171524       .085485           .137897             .196088            .374583              945           864
0.02          3                  1                  0    1        32        271       1         0         5         10000     10000     64          0           3           2             .015590      NA            .147057           .151076             .221948            .237500              528           1569
0.01          3                  1                  0    1        32        271       1         0         5         10000     10000     64          1           3           2             .028804      .179445       .094980           .151526             .217316            .409583              1068          862
0.01          3                  1                  0    1        32        271       1         1         5         10000     10000     64          0           3           2             .011466      NA            .130303           .139645             .193433            .205416              495           1596
0.02          3                  1                  0    1        32        271       1         1         5         10000     10000     64          1           3           2             .021477      .166739       .084708           .138436             .198901            .374583              947           846
0.02          3                  1                  0    1        32        72        1         0         5         10000     10000     64          0           3           2             .019583      NA            .257836           .394990             .557855            .578333              797           1114
0.01          3                  1                  0    1        32        72        1         0         5         10000     10000     64          1           3           2             .032541      .303475       .187435           .412294             .579406            .897083              1385          729
0.03          3                  1                  0    1        32        72        1         1         5         10000     10000     64          0           3           2             .015770      NA            .246676           .339983             .475892            .492500              778           1245
0.02          3                  1                  0    1        32        72        1         1         5         10000     10000     64          1           3           2             .026986      .296596       .172365           .345338             .495061            .800833              1392          759
0.01          3                  1                  0    1        32        172       1         0         5         10000     10000     64          0           3           2             .028191      NA            .261808           .280229             .432934            .462083              731           1439
0.02          3                  1                  0    1        32        172       1         0         5         10000     10000     64          1           3           2             .059759      .344123       .159118           .259633             .365308            .734583              1886          851
0.02          3                  1                  0    1        32        172       1         1         5         10000     10000     64          0           3           2             .020982      NA            .235132           .253503             .361044            .382916              715           1538
0.01          3                  1                  0    1        32        172       1         1         5         10000     10000     64          1           3           2             .035197      .310552       .149145           .246442             .337403            .659166              1406          855
0.01          3                  1                  0    1        32        272       1         0         5         10000     10000     64          0           3           2             .022880      NA            .251226           .269651             .386326            .410000              804           1542
0.02          3                  1                  0    1        32        272       1         0         5         10000     10000     64          1           3           2             .042283      .317754       .164975           .267028             .372465            .707083              1605          865
0.02          3                  1                  0    1        32        272       1         1         5         10000     10000     64          0           3           2             .015674      NA            .230688           .249611             .347599            .364583              718           1577
0.02          3                  1                  0    1        32        272       1         1         5         10000     10000     64          1           3           2             .032457      .299163       .149750           .247993             .341772            .654583              1380          853
0.02          3                  1                  0    1        32        73        1         0         5         10000     10000     64          0           3           2             .026523      NA            .377454           .566609             .785210            .814166              1149          1155
0.02          3                  1                  0    1        32        73        1         0         5         10000     10000     64          1           3           2             .045946      .442041       .267568           .580712             .804931            1.269166             1911          739
0.01          3                  1                  0    1        32        73        1         1         5         10000     10000     64          0           3           2             .021780      NA            .355569           .504173             .703738            .726250              1092          1214
0.01          3                  1                  0    1        32        73        1         1         5         10000     10000     64          1           3           2             .037612      .433793       .256044           .516983             .746020            1.190833             1914          753
