comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              25000            2605        0           1           0               16            .000380      NA          .000170           .000166             .000271            .000833              7             925
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              25000            2605        0           1           0               16            .000332      NA          .000126           .000137             .000241            .000833              7             909
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              25000            2605        0           1           0               16            .000536      NA          .000118           .000168             .000400            .000833              12            666
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              25000            2605        0           1           0               16            .000383      NA          .000151           .000158             .000259            .000833              7             1009
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              25000            2605        0           1           0               16            .000605      NA          .000141           .000140             .000287            .000833              7             815
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              25000            2605        0           1           0               16            .000429      NA          .000147           .000146             .000230            .000833              7             1009
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              25000            2605        0           1           0               16            .000541      NA          .000143           .000166             .000334            .000833              6             826
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              25000            2605        0           1           0               16            .000762      NA          .000099           .000142             .000372            .001250              7             452
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              25000            2605        0           1           0               16            .000320      NA          .000149           .000164             .000267            .000833              7             977
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              25000            2605        0           1           0               16            .000377      NA          .000133           .000146             .000238            .000833              6             865
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              10000            2605        0           1           0               16            .000827      NA          .000138           .000150             .000315            .001250              7             609
0.02          3                  1                  0    4        512       511       1         0         5         10000     10000     0              10000            2605        0           1           0               16            .000386      NA          .000157           .000155             .000277            .000833              6             908
