program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
64       RING      semidishonest  semi2k           3          0.93          35                 1                  25000            300         157.508              157.83               1066          616%       ~999706       4730.03         14105.4          579.50           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25000            300         162.016              162.56               1085          619%       ~999706       4730.03         14105.4          600.59           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25000            300         161.471              161.90               1058          617%       ~999706       4730.03         14105.4          591.72           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25000            300         158.946              159.39               1091          621%       ~999706       4730.03         14105.4          591.68           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25000            300         159.923              160.33               1071          619%       ~999706       4730.03         14105.4          591.75           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25000            300         161.162              161.61               1107          623%       ~999706       4730.03         14105.4          596.11           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25000            300         159.887              160.36               1083          618%       ~999706       4730.03         14105.4          588.43           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25000            300         159.288              159.75               1099          618%       ~999706       4730.03         14105.4          587.21           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25000            300         161.652              162.10               1083          612%       ~999706       4730.03         14105.4          590.52           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 25000            300         161.164              161.64               1079          616%       ~999708       4730.03         14105.4          593.17           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 10000            300         160.628              161.09               1067          622%       ~999706       4730.03         14105.4          596.82           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 10000            300         162.203              162.66               1076          616%       ~999706       4730.03         14105.4          597.79           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 10000            300         162.814              163.26               1071          621%       ~999706       4730.03         14105.4          602.80           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 10000            300         160.552              161.01               1076          615%       ~999706       4730.03         14105.4          590.33           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 10000            300         160.971              161.40               1080          615%       ~999706       4730.03         14105.4          592.73           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 10000            300         162.483              162.94               1098          618%       ~999706       4730.03         14105.4          600.40           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 10000            300         160.943              161.39               1084          617%       ~999706       4730.03         14105.4          594.97           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 10000            300         160.596              161.04               1064          620%       ~999706       4730.03         14105.4          594.32           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 10000            300         164.084              164.58               1064          614%       ~999706       4730.03         14105.4          602.12           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 10000            300         160.992              161.44               1078          619%       ~999706       4730.03         14105.4          595.76           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 1000             300         170.779              171.24               1097          601%       ~999706       4730.03         14105.4          612.24           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 1000             300         169.359              169.75               1075          606%       ~999706       4730.03         14105.4          611.70           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 1000             300         168.233              168.68               1092          612%       ~999706       4730.03         14105.4          612.65           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 1000             300         166.398              166.83               1066          613%       ~999706       4730.03         14105.4          613.08           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 1000             300         167.555              168.05               1081          611%       ~999706       4730.03         14105.4          610.42           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 1000             300         168.556              169.10               1093          613%       ~999706       4730.03         14105.4          619.89           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 1000             300         168.148              168.60               1080          609%       ~999706       4730.03         14105.4          612.12           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 1000             300         168.408              168.88               1080          602%       ~999706       4730.03         14105.4          603.97           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 1000             300         166.828              167.36               1092          610%       ~999706       4730.03         14105.4          608.85           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 1000             300         166.096              166.59               1088          613%       ~999706       4730.03         14105.4          608.49           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 100              300         340.684              341.09               1057          434%       ~999706       4730.03         14105.4          972.18           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 100              300         345.24               345.75               1099          427%       ~999706       4730.03         14105.4          967.95           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 100              300         343.934              344.35               1093          447%       ~999706       4730.03         14105.4          1019.44          on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 100              300         343.046              343.50               1077          441%       ~999706       4730.03         14105.4          1000.73          on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 100              300         343.088              343.53               1096          454%       ~999706       4730.03         14105.4          1037.10          on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 100              300         345.439              345.92               1098          440%       ~999706       4730.03         14105.4          1006.79          on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 100              300         346                  346.45               1085          427%       ~999706       4730.03         14105.4          971.42           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 100              300         341.707              342.18               1068          444%       ~999706       4730.03         14105.4          1005.44          on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 100              300         343.663              344.15               1057          437%       ~999706       4730.03         14105.4          991.24           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 100              300         343.35               343.82               1101          457%       ~999706       4730.03         14105.4          1047.05          on,threads             
