program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       FIELD     semihonest  shamir            3          0.35          29                 1                  4           0.0313019            0.13                 17            48         ~38           0.648352        1.13651
31       FIELD     semihonest  shamir            3          0.17          18                 1                  6           0.0239368            0.11                 15            60         ~54           0.652512        1.14474
31       FIELD     semihonest  shamir            3          0.17          18                 1                  8           0.0261812            0.11                 15            61         ~70           0.656672        1.15296
31       FIELD     semihonest  shamir            3          0.17          18                 1                  10          0.0312568            0.12                 15            65         ~86           0.660832        1.16118
31       FIELD     semihonest  shamir            3          0.17          18                 1                  12          0.036327             0.13                 15            57         ~102          0.664992        1.16941
31       FIELD     semihonest  shamir            3          0.17          18                 1                  14          0.0316595            0.12                 15            64         ~118          0.669152        1.17763
31       FIELD     malhonest   malicious-shamir  3          0.35          29                 1                  4           0.121034             0.21                 22            74         ~50           3.53675         8.21002
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  6           0.113084             0.20                 20            79         ~64           3.54494         8.23446
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  8           0.118963             0.20                 23            75         ~78           3.55314         8.25891
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  10          0.134797             0.22                 23            83         ~92           3.56133         8.28336
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  12          0.169173             0.26                 21            74         ~106          3.56952         8.30781
31       FIELD     malhonest   malicious-shamir  3          0.17          18                 1                  14          0.123531             0.20                 23            75         ~120          3.57771         8.33226
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  4           0.0103956            0.10                 15            51         ~35           0.082488        0.247408
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  6           0.0128089            0.10                 16            52         ~49           0.083528        0.250496
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  8           0.0140954            0.09                 15            48         ~63           0.084568        0.253584
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  10          0.0163324            0.10                 15            46         ~77           0.085608        0.256672
31       RING      semihonest  replicated-ring   3          0.18          18                 1                  12          0.017846             0.10                 14            53         ~91           0.086648        0.25976
31       RING      semihonest  replicated-ring   3          0.17          18                 1                  14          0.0182601            0.10                 15            57         ~105          0.087688        0.262848
