comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.76          217                1                  0    50       512       2         1         0         1         100000    10000     10000000    0           0           1             .002517      NA          .105981           .204732             .204732            .231400              3671          2447
1.73          217                1                  0    50       512       2         1         0         2         100000    10000     10000000    0           0           1             .001443      NA          .063030           .190832             .190832            .213600              2447          1575
1.64          216                1                  0    50       512       2         1         0         3         100000    10000     10000000    0           0           1             .001260      NA          .029793           .187122             .187121            .213400              1226          722
1.63          216                1                  0    50       512       2         1         0         5         100000    10000     10000000    0           0           1             .001068      NA          .040838           .181559             .181559            .213000              1837          980
1.73          215                1                  0    50       512       2         1         0         6         100000    10000     10000000    0           0           1             .000781      NA          .054807           .193327             .193327            .212200              1839          1376
1.65          216                1                  0    50       512       2         1         0         7         100000    10000     10000000    0           0           1             .000825      NA          .052726           .191513             .191513            .211000              1837          1314
1.59          219                1                  0    50       512       2         1         0         8         100000    10000     10000000    0           0           1             .001825      NA          .126696           .263619             .263619            .335400              3665          1915
1.87          221                1                  0    50       512       2         1         0         9         100000    10000     10000000    0           0           1             .003265      NA          .189511           .210337             .210337            .235200              4892          4144
1.42          220                1                  0    50       512       2         1         0         10        100000    10000     10000000    0           0           1             .002126      NA          .111110           .203033             .203032            .242800              3058          2345
1.55          220                1                  0    50       512       2         1         0         11        100000    10000     10000000    0           0           1             .002016      NA          .140343           .404026             .404026            .543400              3058          1314
1.58          218                1                  0    50       512       2         1         0         12        100000    10000     10000000    0           0           1             .001955      NA          .104605           .201156             .201156            .243200              2444          2186
