comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000613;NA;.005381;.188836;.255814;.256666;5;52
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000563;NA;.005337;.207127;.247924;.248750;5;53
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000405;NA;.006349;.200389;.256192;.256666;5;61
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000435;NA;.006233;.224677;.247799;.248333;5;62
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000642;NA;.005733;.238623;.246292;.247083;5;58
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000420;NA;.006537;.203063;.255707;.256250;5;63
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000434;NA;.005946;.201489;.255889;.256666;8;58
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000532;NA;.005391;.237677;.246459;.247083;5;54
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000414;NA;.005719;.218012;.242044;.242500;6;59
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000417;NA;.005835;.204736;.243750;.244166;5;59
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;1;1;.043313;NA;.006022;.247449;.405244;.443750;5;33
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;1;1;.042493;NA;.005163;.290205;.469309;.511666;5;25
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;1;1;.042849;NA;.006144;.324365;.458968;.459583;8;33
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;1;1;.043807;NA;.006453;.283012;.543603;.544583;7;29
