comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     1           1           1           3               0             .169280      .092816     .010781           .080773             .164307            .287500              192           124
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     1           1           1           4               0             .173222      .096012     .011150           .131338             .232466            .370416              182           100
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     1           1           1           5               0             .168969      .134207     .011557           .217775             .628593            .707916              181           53
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     1           1           1           6               0             .290069      .139879     .011595           .282329             .471566            .693333              179           54
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           0           1           1               0             .043294      NA          .013481           .038314             .109162            .110416              134           310
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           0           1           2               0             .043918      NA          .014608           .066242             .108650            .141250              163           263
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           0           1           3               0             .083787      NA          .015753           .122427             .235272            .236250              169           169
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           0           1           4               0             .086193      NA          .016168           .191554             .231915            .276250              163           147
0.01          3                  1                  0    4        256       271       1         0         5         10000     10000     1           0           1           5               0             .127318      NA          .016644           .279740             .407103            .488750              164           85
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           0           1           6               0             .126763      NA          .016775           .496486             .873951            .875416              164           48
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           1           1           1               0             .085031      .058060     .010584           .050885             .170273            .225416              183           160
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           1           1           2               0             .170524      .052200     .011876           .075595             .135108            .285000              189           138
