program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest  replicated-field  3          2.11          139                1                  25000            1000000     0.0670505            0.30                 222           224%       ~20           16.0002         48.0005          0.20             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 250000           1000000     0.0690144            0.32                 217           244%       ~20           16.0002         48.0005          0.18             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0669849            0.30                 214           198%       ~20           16.0002         48.0005          0.18             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0608629            0.30                 218           241%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0570254            0.30                 217           240%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0592498            0.31                 216           211%       ~20           16.0002         48.0005          0.20             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0606605            0.30                 217           211%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0729063            0.30                 217           240%       ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0621264            0.29                 215           236%       ~20           16.0002         48.0005          0.23             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 25000            1000000     0.0692051            0.32                 212           224%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0652433            0.29                 210           224%       ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0693127            0.30                 223           247%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0578365            0.30                 219           215%       ~20           16.0002         48.0005          0.18             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0615485            0.31                 217           230%       ~20           16.0002         48.0005          0.22             on,threads             
