comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)    runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  0    1        256       70        1         0         12        10000     10000     32          0           3           2             .007137      NA            .314813           .301855             .309479            .317500              2060          2420
0.02          3                  1                  0    1        256       70        1         0         12        10000     10000     32          1           3           2             .216566      .211338       .218390           .265854             .276215            .491666              3001          1359
0.02          3                  1                  0    1        256       70        1         1         12        10000     10000     32          0           3           2             .005994      NA            .293859           .277351             .287070            .293750              2095          2441
0.01          3                  1                  0    1        256       70        1         1         12        10000     10000     32          1           3           2             .196014      .191670       .193633           .242362             .255369            .442916              2757          1346
0.02          3                  1                  0    1        256       170       1         0         12        10000     10000     32          0           3           2             .009949      NA            .370823           .339937             .353380            .362916              2280          2499
0.01          3                  1                  0    1        256       170       1         0         12        10000     10000     32          1           3           2             .302478      .296446       .227113           .280407             .289626            .592500              4892          1264
0.01          3                  1                  0    1        256       170       1         1         12        10000     10000     32          0           3           2             .006938      NA            .290172           .276832             .290350            .297500              2152          2384
0.03          3                  1                  0    1        256       170       1         1         12        10000     10000     32          1           3           2             .225473      .217632       .187722           .235402             .246001            .470833              3415          1275
0.01          3                  1                  0    1        256       270       1         0         12        10000     10000     32          0           3           2             .007904      NA            .371644           .345105             .357941            .366250              2227          2475
0.02          3                  1                  0    1        256       270       1         0         12        10000     10000     32          1           3           2             .258963      .252592       .237985           .291652             .304424            .563333              3879          1324
0.02          3                  1                  0    1        256       270       1         1         12        10000     10000     32          0           3           2             .006311      NA            .290850           .279603             .291212            .297916              2103          2384
0.02          3                  1                  0    1        256       270       1         1         12        10000     10000     32          1           3           2             .218882      .209533       .189155           .238594             .246994            .461250              3269          1297
0.01          3                  1                  0    1        256       71        1         0         12        10000     10000     32          0           3           2             .022037      NA            .496371           .484156             .496747            .507916              3128          2382
0.01          3                  1                  0    1        256       71        1         0         12        10000     10000     32          1           3           2             .359666      .345034       .340460           .424650             .455631            .804583              4672          1302
0.03          3                  1                  0    1        256       71        1         1         12        10000     10000     32          0           3           2             .008458      NA            .460901           .440590             .449646            .459166              3133          2445
0.03          3                  1                  0    1        256       71        1         1         12        10000     10000     32          1           3           2             .317729      .312021       .312838           .387501             .401052            .719166              4233          1340
0.01          3                  1                  0    1        256       171       1         0         12        10000     10000     32          0           3           2             .012735      NA            .595356           .546993             .564847            .578333              3485          2516
0.02          3                  1                  0    1        256       171       1         0         12        10000     10000     32          1           3           2             .494745      .481809       .351730           .452755             .470444            .959583              7778          1225
0.03          3                  1                  0    1        256       171       1         1         12        10000     10000     32          0           3           2             .009443      NA            .464450           .443768             .457483            .468333              3208          2418
0.02          3                  1                  0    1        256       171       1         1         12        10000     10000     32          1           3           2             .359273      .352075       .291932           .373633             .386234            .746250              5346          1263
0.02          3                  1                  0    1        256       271       1         0         12        10000     10000     32          0           3           2             .011514      NA            .585094           .549798             .569867            .582916              3277          2445
0.02          3                  1                  0    1        256       271       1         0         12        10000     10000     32          1           3           2             .430103      .415196       .381481           .461859             .480927            .901666              6109          1328
0.01          3                  1                  0    1        256       271       1         1         12        10000     10000     32          0           3           2             .008478      NA            .473393           .443127             .455263            .463750              3103          2485
0.01          3                  1                  0    1        256       271       1         1         12        10000     10000     32          1           3           2             .346597      .336981       .302784           .380433             .399946            .733333              5146          1304
0.01          3                  1                  0    1        256       72        1         0         12        10000     10000     32          0           3           2             .014649      NA            .782836           .763632             .785312            .801666              4530          2380
0.01          3                  1                  0    1        256       72        1         0         12        10000     10000     32          1           3           2             .556415      .550227       .546245           .679980             .703562            1.251250             6947          1341
0.02          3                  1                  0    1        256       72        1         1         12        10000     10000     32          0           3           2             .011685      NA            .712753           .693464             .710066            .723750              4400          2399
0.01          3                  1                  0    1        256       72        1         1         12        10000     10000     32          1           3           2             .515569      .504578       .481166           .611221             .628108            1.145416             6306          1300
0.02          3                  1                  0    1        256       172       1         0         12        10000     10000     32          0           3           2             .020390      NA            .911667           .844395             .866684            .885833              4946          2514
0.01          3                  1                  0    1        256       172       1         0         12        10000     10000     32          1           3           2             .774665      .757747       .564388           .719869             .745549            1.519166             11718         1231
0.02          3                  1                  0    1        256       172       1         1         12        10000     10000     32          0           3           2             .012941      NA            .708158           .692505             .710488            .724583              4588          2385
0.01          3                  1                  0    1        256       172       1         1         12        10000     10000     32          1           3           2             .577474      .568415       .469454           .601241             .623581            1.203333             7993          1253
0.02          3                  1                  0    1        256       272       1         0         12        10000     10000     32          0           3           2             .016832      NA            .895063           .846866             .872735            .892083              4791          2443
0.02          3                  1                  0    1        256       272       1         0         12        10000     10000     32          1           3           2             .664892      .654627       .593748           .726456             .751281            1.415000             9145          1320
0.02          3                  1                  0    1        256       272       1         1         12        10000     10000     32          0           3           2             .011886      NA            .719851           .691947             .715168            .727916              4555          2408
0.01          3                  1                  0    1        256       272       1         1         12        10000     10000     32          1           3           2             .551814      .542470       .479326           .608340             .623646            1.174583             7656          1287
0.02          3                  1                  0    1        256       73        1         0         12        10000     10000     32          0           3           2             .019936      NA            1.099244          1.072024            1.097754           1.119166             6245          2393
0.02          3                  1                  0    1        256       73        1         0         12        10000     10000     32          1           3           2             .793117      .790397       .760685           .960476             .987744            1.770000             9763          1328
0.02          3                  1                  0    1        256       73        1         1         12        10000     10000     32          0           3           2             .015895      NA            1.004417          .974195             .987164            1.008750             6093          2429
0.02          3                  1                  0    1        256       73        1         1         12        10000     10000     32          1           3           2             .735926      .728226       .694762           .871423             .893157            1.622916             8820          1322
0.02          3                  1                  0    1        256       173       1         0         12        10000     10000     32          0           3           2             .028515      NA            1.276865          1.186296            1.217109           1.244583             6816          2506
0.02          3                  1                  0    1        256       173       1         0         12        10000     10000     32          1           3           2             1.108408     1.082168      .796353           1.013864            1.049766           2.152500             16566         1231
0.01          3                  1                  0    1        256       173       1         1         12        10000     10000     32          0           3           2             .018335      NA            1.014383          .972570             .992794            1.012500             6367          2441
0.01          3                  1                  0    1        256       173       1         1         12        10000     10000     32          1           3           2             .828069      .811216       .670065           .848682             .876524            1.692916             11245         1268
0.03          3                  1                  0    1        256       273       1         0         12        10000     10000     32          0           3           2             .022882      NA            1.262718          1.196654            1.274446           1.299583             6785          2367
0.03          3                  1                  0    1        256       273       1         0         12        10000     10000     32          1           3           2             .948500      .936123       .835291           1.024306            1.053275           2.007083             12890         1312
0.02          3                  1                  0    1        256       273       1         1         12        10000     10000     32          0           3           2             .016468      NA            1.012698          .975098             .993822            1.012083             6375          2438
0.01          3                  1                  0    1        256       273       1         1         12        10000     10000     32          1           3           2             .791895      .771939       .683708           .864273             .886581            1.675000             10718         1290
0.03          3                  1                  0    1        256       74        1         0         12        10000     10000     32          0           3           2             .009086      NA            .995793           1.007255            1.029996           1.039583             2240          2313
0.02          3                  1                  0    1        256       74        1         0         12        10000     10000     32          1           3           2             .730903      .723072       .716390           .916037             .939809            1.662500             3997          1308
0.02          3                  1                  0    1        256       74        1         1         12        10000     10000     32          0           3           2             .006635      NA            .910962           .937173             .953568            .960833              2191          2287
0.02          3                  1                  0    1        256       74        1         1         12        10000     10000     32          1           3           2             .675376      .678178       .672669           .869799             .894807            1.566250             3410          1302
0.02          3                  1                  0    1        256       174       1         0         12        10000     10000     32          0           3           2             .014907      NA            1.091291          1.079272            1.116316           1.130833             2628          2338
0.02          3                  1                  0    1        256       174       1         0         12        10000     10000     32          1           3           2             .911947      .901325       .734801           .966357             .978952            1.887083             8387          1247
0.02          3                  1                  0    1        256       174       1         1         12        10000     10000     32          0           3           2             .007453      NA            .922734           .932869             .948051            .955833              2318          2330
0.01          3                  1                  0    1        256       174       1         1         12        10000     10000     32          1           3           2             .717423      .716724       .651474           .848078             .861648            1.575000             4957          1283
0.02          3                  1                  0    1        256       274       1         0         12        10000     10000     32          0           3           2             .011258      NA            1.097012          1.074295            1.096206           1.107916             2466          2393
0.02          3                  1                  0    1        256       274       1         0         12        10000     10000     32          1           3           2             .827768      .813562       .769345           .963848             .981489            1.797083             6039          1316
0.02          3                  1                  0    1        256       274       1         1         12        10000     10000     32          0           3           2             .006978      NA            .925647           .934420             .961851            .969583              2258          2303
0.02          3                  1                  0    1        256       274       1         1         12        10000     10000     32          1           3           2             .717921      .716862       .657032           .844939             .855927            1.605416             4655          1264
0.01          3                  1                  0    1        256       80        1         0         12        10000     10000     32          0           3           2             .714520      preprocessin  .655273           .848055             .863780            1.573750             4653          1284
0.01          3                  1                  0    1        256       80        1         0         12        10000     10000     32          1           3           2             .713954      .711360       .654135           .846710             .865961            1.576666             4655          1280
0.02          3                  1                  0    1        256       80        1         1         12        10000     10000     32          0           3           2             .712682      preprocessin  .619614           .809960             .864697            41.666666            4655          46
